Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 50998 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.31 MBytes  10948 Kbits/sec    0    210 KBytes       
[  4]   1.00-2.00   sec  4.06 MBytes  34085 Kbits/sec   83    717 KBytes       
[  4]   2.00-3.00   sec  2.69 MBytes  22549 Kbits/sec  130   1.14 MBytes       
[  4]   3.00-4.00   sec  2.39 MBytes  20038 Kbits/sec   14   1.08 MBytes       
[  4]   4.00-5.00   sec  2.15 MBytes  18034 Kbits/sec    8    559 KBytes       
[  4]   5.00-6.00   sec  2.57 MBytes  21559 Kbits/sec    6   1.08 MBytes       
[  4]   6.00-7.00   sec  2.39 MBytes  20035 Kbits/sec   14   1.06 MBytes       
[  4]   7.00-8.00   sec  2.33 MBytes  19539 Kbits/sec    0   1.08 MBytes       
[  4]   8.00-9.00   sec  2.39 MBytes  20044 Kbits/sec   14   1.08 MBytes       
[  4]   9.00-10.00  sec  1.97 MBytes  16537 Kbits/sec   12    524 KBytes       
[  4]  10.00-11.00  sec  2.75 MBytes  23059 Kbits/sec    0   1.06 MBytes       
[  4]  11.00-12.00  sec  2.39 MBytes  20039 Kbits/sec   12   1.06 MBytes       
[  4]  12.00-13.00  sec  2.15 MBytes  18036 Kbits/sec    0   35.0 KBytes       
[  4]  13.00-14.00  sec  1.67 MBytes  14035 Kbits/sec   12   1.08 MBytes       
[  4]  14.00-15.00  sec  2.33 MBytes  19538 Kbits/sec    0   1.08 MBytes       
[  4]  15.00-16.00  sec  2.39 MBytes  20044 Kbits/sec   14   1.08 MBytes       
[  4]  16.00-17.00  sec  1.91 MBytes  16039 Kbits/sec   12    524 KBytes       
[  4]  17.00-18.00  sec  2.81 MBytes  23552 Kbits/sec    0   1.08 MBytes       
[  4]  18.00-19.00  sec  2.33 MBytes  19538 Kbits/sec   14   1.08 MBytes       
[  4]  19.00-20.00  sec  2.39 MBytes  20042 Kbits/sec    0   1.08 MBytes       
[  4]  20.00-21.00  sec  2.39 MBytes  20043 Kbits/sec   14   1.08 MBytes       
[  4]  21.00-22.00  sec  1.91 MBytes  16035 Kbits/sec   14    629 KBytes       
[  4]  22.00-23.00  sec  2.75 MBytes  23061 Kbits/sec    0   1.06 MBytes       
[  4]  23.00-24.00  sec  2.33 MBytes  19536 Kbits/sec   14   35.0 KBytes       
[  4]  24.00-25.00  sec  1.13 MBytes  9514 Kbits/sec   14    664 KBytes       
[  4]  25.00-26.00  sec  2.75 MBytes  23072 Kbits/sec    0   1.08 MBytes       
[  4]  26.00-27.00  sec  2.39 MBytes  20037 Kbits/sec   14   1.06 MBytes       
[  4]  27.00-28.00  sec  2.33 MBytes  19540 Kbits/sec    0   1.06 MBytes       
[  4]  28.00-29.00  sec  2.39 MBytes  20041 Kbits/sec   12   1.08 MBytes       
[  4]  29.00-30.00  sec  2.39 MBytes  20046 Kbits/sec   14   1.08 MBytes       
[  4]  30.00-31.00  sec  2.33 MBytes  19543 Kbits/sec    0   1.06 MBytes       
[  4]  31.00-32.00  sec  2.33 MBytes  19545 Kbits/sec   14   1.08 MBytes       
[  4]  32.00-33.00  sec  2.33 MBytes  19540 Kbits/sec    4    612 KBytes       
[  4]  33.00-34.00  sec  2.45 MBytes  20542 Kbits/sec   10   1.08 MBytes       
[  4]  34.00-35.00  sec  1.43 MBytes  12034 Kbits/sec    0   1.08 MBytes       
[  4]  35.00-36.00  sec  2.39 MBytes  20032 Kbits/sec    0   1.06 MBytes       
[  4]  36.00-37.00  sec  2.33 MBytes  19542 Kbits/sec   12   1.08 MBytes       
[  4]  37.00-38.00  sec  1.91 MBytes  16035 Kbits/sec   14    524 KBytes       
[  4]  38.00-39.00  sec  2.87 MBytes  24064 Kbits/sec    0   1.08 MBytes       
[  4]  39.00-40.00  sec  2.33 MBytes  19537 Kbits/sec   14   1.08 MBytes       
[  4]  40.00-41.00  sec  2.39 MBytes  20042 Kbits/sec    0   1.08 MBytes       
[  4]  41.00-42.00  sec  2.33 MBytes  19543 Kbits/sec   14   1.08 MBytes       
[  4]  42.00-43.00  sec  2.03 MBytes  17037 Kbits/sec   12    778 KBytes       
[  4]  43.00-44.00  sec  2.69 MBytes  22559 Kbits/sec    0   1.08 MBytes       
[  4]  44.00-45.00  sec  2.39 MBytes  20035 Kbits/sec   14   1.08 MBytes       
[  4]  45.00-46.00  sec  1.97 MBytes  16536 Kbits/sec   12    542 KBytes       
[  4]  46.00-47.00  sec  1.91 MBytes  16032 Kbits/sec    0   1.08 MBytes       
[  4]  47.00-48.00  sec  2.33 MBytes  19545 Kbits/sec    0   1.06 MBytes       
[  4]  48.00-49.00  sec  2.33 MBytes  19540 Kbits/sec   12   1.08 MBytes       
[  4]  49.00-50.00  sec  2.09 MBytes  17538 Kbits/sec   14    821 KBytes       
[  4]  50.00-51.00  sec  2.69 MBytes  22560 Kbits/sec    0   1.08 MBytes       
[  4]  51.00-52.00  sec  2.33 MBytes  19534 Kbits/sec   12   1.08 MBytes       
[  4]  52.00-53.00  sec  2.09 MBytes  17540 Kbits/sec   10    568 KBytes       
[  4]  53.00-54.00  sec  2.63 MBytes  22056 Kbits/sec    4   1.06 MBytes       
[  4]  54.00-55.00  sec  2.33 MBytes  19533 Kbits/sec   12   1.06 MBytes       
[  4]  55.00-56.00  sec  2.39 MBytes  20043 Kbits/sec    0   1.08 MBytes       
[  4]  56.00-57.00  sec  2.39 MBytes  20047 Kbits/sec   14   1.08 MBytes       
[  4]  57.00-58.00  sec  2.15 MBytes  18039 Kbits/sec    8    559 KBytes       
[  4]  58.00-59.00  sec  2.50 MBytes  20968 Kbits/sec    4   1.08 MBytes       
[  4]  59.00-60.00  sec  2.40 MBytes  20117 Kbits/sec   14   35.0 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec   139 MBytes  19457 Kbits/sec  665             sender
[  4]   0.00-60.00  sec   136 MBytes  18980 Kbits/sec                  receiver

iperf Done.
