Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 51356 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.31 MBytes  10947 Kbits/sec    0    210 KBytes       
[  4]   1.00-2.00   sec  4.92 MBytes  41304 Kbits/sec   61   1.94 MBytes       
[  4]   2.00-3.00   sec  5.60 MBytes  46972 Kbits/sec  320   2.58 MBytes       
[  4]   3.00-4.00   sec  6.21 MBytes  52106 Kbits/sec    0   2.49 MBytes       
[  4]   4.00-5.00   sec  5.85 MBytes  49110 Kbits/sec   34   2.49 MBytes       
[  4]   5.00-6.00   sec  5.79 MBytes  48610 Kbits/sec   32   2.47 MBytes       
[  4]   6.00-7.00   sec  5.91 MBytes  49603 Kbits/sec    0   2.49 MBytes       
[  4]   7.00-8.00   sec  5.79 MBytes  48599 Kbits/sec   34   2.49 MBytes       
[  4]   8.00-9.00   sec  4.96 MBytes  41586 Kbits/sec   34   1.56 MBytes       
[  4]   9.00-10.00  sec  6.81 MBytes  57143 Kbits/sec    0   2.49 MBytes       
[  4]  10.00-11.00  sec  5.79 MBytes  48601 Kbits/sec   36   2.49 MBytes       
[  4]  11.00-12.00  sec  5.20 MBytes  43596 Kbits/sec   20   1.32 MBytes       
[  4]  12.00-13.00  sec  5.26 MBytes  44090 Kbits/sec   12   2.47 MBytes       
[  4]  13.00-14.00  sec  4.78 MBytes  40089 Kbits/sec   32   2.49 MBytes       
[  4]  14.00-15.00  sec  4.78 MBytes  40080 Kbits/sec   36   1.22 MBytes       
[  4]  15.00-16.00  sec  6.93 MBytes  58142 Kbits/sec    0   2.49 MBytes       
[  4]  16.00-17.00  sec  5.85 MBytes  49105 Kbits/sec   34   2.49 MBytes       
[  4]  17.00-18.00  sec  5.50 MBytes  46101 Kbits/sec   10   1.47 MBytes       
[  4]  18.00-19.00  sec  6.15 MBytes  51603 Kbits/sec   24   2.49 MBytes       
[  4]  19.00-20.00  sec  5.85 MBytes  49113 Kbits/sec   34   2.49 MBytes       
[  4]  20.00-21.00  sec  5.91 MBytes  49608 Kbits/sec    0   2.49 MBytes       
[  4]  21.00-22.00  sec  5.79 MBytes  48601 Kbits/sec   34   2.49 MBytes       
[  4]  22.00-23.00  sec  4.96 MBytes  41583 Kbits/sec   34   1.84 MBytes       
[  4]  23.00-24.00  sec  4.90 MBytes  41087 Kbits/sec    0   2.51 MBytes       
[  4]  24.00-25.00  sec  5.44 MBytes  45617 Kbits/sec   34   2.49 MBytes       
[  4]  25.00-26.00  sec  5.44 MBytes  45597 Kbits/sec   14   1.43 MBytes       
[  4]  26.00-27.00  sec  6.25 MBytes  52422 Kbits/sec   22   2.49 MBytes       
[  4]  27.00-28.00  sec  5.88 MBytes  49294 Kbits/sec   35   2.49 MBytes       
[  4]  28.00-29.00  sec  5.85 MBytes  49107 Kbits/sec    0   2.49 MBytes       
[  4]  29.00-30.00  sec  5.85 MBytes  49106 Kbits/sec   34   2.49 MBytes       
[  4]  30.00-31.00  sec  5.85 MBytes  49114 Kbits/sec   34   2.49 MBytes       
[  4]  31.00-32.00  sec  5.91 MBytes  49604 Kbits/sec    0   2.49 MBytes       
[  4]  32.00-33.00  sec  5.73 MBytes  48104 Kbits/sec   32   2.49 MBytes       
[  4]  33.00-34.00  sec  4.78 MBytes  40076 Kbits/sec   34   1.28 MBytes       
[  4]  34.00-35.00  sec  5.91 MBytes  49611 Kbits/sec    0   2.49 MBytes       
[  4]  35.00-36.00  sec  3.70 MBytes  31065 Kbits/sec   34   1.89 MBytes       
