Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 40718 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  7.17 MBytes  60174 Kbits/sec    0   3.34 MBytes       
[  4]   1.00-2.00   sec  28.8 MBytes  241112 Kbits/sec    0   8.88 MBytes       
[  4]   2.00-3.00   sec  28.9 MBytes  242717 Kbits/sec    0   8.88 MBytes       
[  4]   3.00-4.00   sec  28.7 MBytes  241061 Kbits/sec    0   8.88 MBytes       
[  4]   4.00-5.00   sec  28.9 MBytes  242723 Kbits/sec    0   8.88 MBytes       
[  4]   5.00-6.00   sec  28.7 MBytes  240542 Kbits/sec    0   8.88 MBytes       
[  4]   6.00-7.00   sec  28.9 MBytes  242722 Kbits/sec    0   8.88 MBytes       
[  4]   7.00-8.00   sec  28.7 MBytes  240532 Kbits/sec    0   8.88 MBytes       
[  4]   8.00-9.00   sec  28.9 MBytes  242718 Kbits/sec    0   8.88 MBytes       
[  4]   9.00-10.00  sec  28.7 MBytes  240537 Kbits/sec    0   8.88 MBytes       
[  4]  10.00-11.00  sec  26.5 MBytes  222136 Kbits/sec    0   5.66 KBytes       
[  4]  11.00-12.00  sec  20.7 MBytes  173441 Kbits/sec    0   8.88 MBytes       
[  4]  12.00-13.00  sec  28.9 MBytes  242684 Kbits/sec    0   8.88 MBytes       
[  4]  13.00-14.00  sec  28.6 MBytes  240032 Kbits/sec    0   8.88 MBytes       
[  4]  14.00-15.00  sec  28.6 MBytes  240055 Kbits/sec    0   8.88 MBytes       
[  4]  15.00-16.00  sec  28.7 MBytes  241101 Kbits/sec    0   8.88 MBytes       
[  4]  16.00-17.00  sec  28.7 MBytes  240581 Kbits/sec    0   8.88 MBytes       
[  4]  17.00-18.00  sec  28.9 MBytes  242723 Kbits/sec    0   8.88 MBytes       
[  4]  18.00-19.00  sec  28.8 MBytes  241118 Kbits/sec    0   8.88 MBytes       
[  4]  19.00-20.00  sec  28.9 MBytes  242728 Kbits/sec    0   8.88 MBytes       
[  4]  20.00-21.00  sec  28.9 MBytes  242679 Kbits/sec    0   8.88 MBytes       
