Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 50474 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  23.00-24.00  sec  1.19 MBytes  10021 Kbits/sec    5   96.1 KBytes       
[  4]  24.00-25.00  sec  1.13 MBytes  9522 Kbits/sec   10   69.9 KBytes       
[  4]  25.00-26.00  sec  1.19 MBytes  10020 Kbits/sec    2   87.4 KBytes       
[  4]  26.00-27.00  sec  1.19 MBytes  10023 Kbits/sec    4    105 KBytes       
[  4]  27.00-28.00  sec  1.19 MBytes  10022 Kbits/sec    7   87.4 KBytes       
[  4]  28.00-29.00  sec  1.19 MBytes  10022 Kbits/sec    2    105 KBytes       
[  4]  29.00-30.00  sec  1.19 MBytes  10022 Kbits/sec    9   87.4 KBytes       
[  4]  30.00-31.00  sec  1.13 MBytes  9521 Kbits/sec    5   96.1 KBytes       
[  4]  31.00-32.00  sec  1.19 MBytes  10021 Kbits/sec    2    114 KBytes       
[  4]  32.00-33.00  sec  1.19 MBytes  10022 Kbits/sec    3    114 KBytes       
[  4]  33.00-34.00  sec  1.19 MBytes  10022 Kbits/sec    8   87.4 KBytes       
[  4]  34.00-35.00  sec  1.13 MBytes  9521 Kbits/sec    7   69.9 KBytes       
[  4]  35.00-36.00  sec  1.19 MBytes  10020 Kbits/sec    4   87.4 KBytes       
[  4]  36.00-37.00  sec  1.19 MBytes  10022 Kbits/sec    2   96.1 KBytes       
[  4]  37.00-38.00  sec  1.19 MBytes  10023 Kbits/sec    7   78.6 KBytes       
[  4]  38.00-39.00  sec  1.19 MBytes  10022 Kbits/sec    5   96.1 KBytes       
[  4]  39.00-40.00  sec  1.13 MBytes  9520 Kbits/sec   10   69.9 KBytes       
[  4]  40.00-41.00  sec  1.19 MBytes  10022 Kbits/sec    2   87.4 KBytes       
[  4]  41.00-42.00  sec  1.19 MBytes  10022 Kbits/sec    4    105 KBytes       
[  4]  42.00-43.00  sec  1.19 MBytes  10021 Kbits/sec    7   87.4 KBytes       
[  4]  43.00-44.00  sec  1.19 MBytes  10023 Kbits/sec    2   96.1 KBytes       
[  4]  44.00-45.00  sec  1.19 MBytes  10022 Kbits/sec    8   78.6 KBytes       
[  4]  45.00-46.00  sec  1.19 MBytes  10021 Kbits/sec    2   96.1 KBytes       
[  4]  46.00-47.00  sec  1.13 MBytes  9522 Kbits/sec    7   69.9 KBytes       
[  4]  47.00-48.00  sec  1.19 MBytes  10021 Kbits/sec    3   87.4 KBytes       
