Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 41670 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.15 MBytes  9659 Kbits/sec    0    120 KBytes       
[  4]   1.00-2.00   sec  6.13 MBytes  51403 Kbits/sec    0   3.52 MBytes       
[  4]   2.00-3.00   sec  14.3 MBytes  120346 Kbits/sec    0   8.82 MBytes       
[  4]   3.00-4.00   sec  14.8 MBytes  124550 Kbits/sec    0   8.82 MBytes       
[  4]   4.00-5.00   sec  14.3 MBytes  119826 Kbits/sec    0   8.82 MBytes       
[  4]   5.00-6.00   sec  14.1 MBytes  118249 Kbits/sec    0   8.82 MBytes       
[  4]   6.00-7.00   sec  14.4 MBytes  120840 Kbits/sec    0   8.82 MBytes       
[  4]   7.00-8.00   sec  14.6 MBytes  122415 Kbits/sec    0   8.82 MBytes       
[  4]   8.00-9.00   sec  14.0 MBytes  117742 Kbits/sec    0   8.82 MBytes       
[  4]   9.00-10.00  sec  14.5 MBytes  121361 Kbits/sec    0   8.82 MBytes       
[  4]  10.00-11.00  sec  14.3 MBytes  120337 Kbits/sec    0   8.82 MBytes       
[  4]  11.00-12.00  sec  14.1 MBytes  118250 Kbits/sec    0   8.82 MBytes       
[  4]  12.00-13.00  sec  14.5 MBytes  121348 Kbits/sec    0   8.82 MBytes       
[  4]  13.00-14.00  sec  14.8 MBytes  124546 Kbits/sec    0   8.82 MBytes       
[  4]  14.00-15.00  sec  14.2 MBytes  119308 Kbits/sec    0   8.82 MBytes       
[  4]  15.00-16.00  sec  14.1 MBytes  118238 Kbits/sec    0   8.82 MBytes       
[  4]  16.00-17.00  sec  14.5 MBytes  121370 Kbits/sec    0   8.82 MBytes       
[  4]  17.00-18.00  sec  14.8 MBytes  124537 Kbits/sec    0   8.82 MBytes       
[  4]  18.00-19.00  sec  14.3 MBytes  120354 Kbits/sec    0   8.82 MBytes       
[  4]  19.00-20.00  sec  14.8 MBytes  124546 Kbits/sec    0   8.82 MBytes       
[  4]  20.00-21.00  sec  14.3 MBytes  120339 Kbits/sec    0   8.82 MBytes       
[  4]  21.00-22.00  sec  6.41 MBytes  53788 Kbits/sec    0   8.82 MBytes       
[  4]  22.00-23.00  sec  14.9 MBytes  125143 Kbits/sec    0   8.82 MBytes       
[  4]  23.00-24.00  sec  14.3 MBytes  120314 Kbits/sec    0   8.82 MBytes       
[  4]  24.00-25.00  sec  14.8 MBytes  124560 Kbits/sec    0   8.82 MBytes       
[  4]  25.00-26.00  sec  14.3 MBytes  120335 Kbits/sec    0   8.82 MBytes       
[  4]  26.00-27.00  sec  14.8 MBytes  124547 Kbits/sec    0   8.82 MBytes       
[  4]  27.00-28.00  sec  14.3 MBytes  120343 Kbits/sec    0   8.82 MBytes       
[  4]  28.00-29.00  sec  14.8 MBytes  124553 Kbits/sec    0   8.82 MBytes       
[  4]  29.00-30.00  sec  14.3 MBytes  120336 Kbits/sec    0   8.82 MBytes       
