Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 40602 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  50.9 MBytes  427116 Kbits/sec    0   3.00 MBytes       
[  4]   1.00-2.00   sec  57.0 MBytes  477972 Kbits/sec    0   3.01 MBytes       
[  4]   2.00-3.00   sec  56.9 MBytes  477540 Kbits/sec    0   3.01 MBytes       
[  4]   3.00-4.00   sec  56.9 MBytes  477529 Kbits/sec    0   3.01 MBytes       
[  4]   4.00-5.00   sec  56.9 MBytes  477544 Kbits/sec    0   3.01 MBytes       
[  4]   5.00-6.00   sec  56.9 MBytes  477513 Kbits/sec    0   3.01 MBytes       
[  4]   6.00-7.00   sec  56.9 MBytes  477544 Kbits/sec    0   3.01 MBytes       
[  4]   7.00-8.00   sec  56.9 MBytes  477523 Kbits/sec    0   3.01 MBytes       
[  4]   8.00-9.00   sec  56.9 MBytes  477532 Kbits/sec    0   3.01 MBytes       
[  4]   9.00-10.00  sec  56.9 MBytes  477534 Kbits/sec    0   3.01 MBytes       
[  4]  10.00-11.00  sec  56.9 MBytes  477529 Kbits/sec    0   3.01 MBytes       
[  4]  11.00-12.00  sec  57.0 MBytes  478025 Kbits/sec    0   3.01 MBytes       
[  4]  12.00-13.00  sec  56.9 MBytes  477541 Kbits/sec    0   3.01 MBytes       
[  4]  13.00-14.00  sec  56.9 MBytes  477540 Kbits/sec    0   3.01 MBytes       
[  4]  14.00-15.00  sec  56.9 MBytes  477523 Kbits/sec    0   3.01 MBytes       
[  4]  15.00-16.00  sec  56.9 MBytes  477503 Kbits/sec    0   3.01 MBytes       
[  4]  16.00-17.00  sec  57.0 MBytes  478064 Kbits/sec    0   3.01 MBytes       
[  4]  17.00-18.00  sec  56.9 MBytes  477533 Kbits/sec    0   3.01 MBytes       
[  4]  18.00-19.00  sec  56.9 MBytes  477011 Kbits/sec    0   3.01 MBytes       
[  4]  19.00-20.00  sec  57.0 MBytes  478041 Kbits/sec    0   3.01 MBytes       
[  4]  20.00-21.00  sec  56.9 MBytes  477548 Kbits/sec    0   3.01 MBytes       
[  4]  21.00-22.00  sec  57.0 MBytes  478013 Kbits/sec    0   3.01 MBytes       
[  4]  22.00-23.00  sec  56.9 MBytes  477550 Kbits/sec    0   3.01 MBytes       
[  4]  23.00-24.00  sec  56.9 MBytes  477533 Kbits/sec    0   3.01 MBytes       
