Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 52866 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  7.79 MBytes  65346 Kbits/sec    0   3.93 MBytes       
[  4]   1.00-2.00   sec  28.9 MBytes  242658 Kbits/sec    0   8.87 MBytes       
[  4]   2.00-3.00   sec  28.6 MBytes  240190 Kbits/sec    0   8.87 MBytes       
[  4]   3.00-4.00   sec  28.9 MBytes  242693 Kbits/sec    0   8.87 MBytes       
[  4]   4.00-5.00   sec  29.3 MBytes  246148 Kbits/sec    0   8.87 MBytes       
[  4]   5.00-6.00   sec  28.5 MBytes  238670 Kbits/sec    0   8.87 MBytes       
[  4]   6.00-7.00   sec  28.9 MBytes  242694 Kbits/sec    0   8.87 MBytes       
[  4]   7.00-8.00   sec  29.4 MBytes  246642 Kbits/sec    0   8.87 MBytes       
[  4]   8.00-9.00   sec  28.7 MBytes  240670 Kbits/sec    0   8.87 MBytes       
[  4]   9.00-10.00  sec  28.6 MBytes  240177 Kbits/sec    0   8.87 MBytes       
[  4]  10.00-11.00  sec  28.9 MBytes  242663 Kbits/sec    0   8.87 MBytes       
[  4]  11.00-12.00  sec  28.9 MBytes  242650 Kbits/sec    0   8.87 MBytes       
[  4]  12.00-13.00  sec  24.5 MBytes  205214 Kbits/sec    0   35.0 KBytes       
[  4]  13.00-14.00  sec  24.8 MBytes  208314 Kbits/sec    0   8.87 MBytes       
[  4]  14.00-15.00  sec  28.4 MBytes  238237 Kbits/sec    0   8.87 MBytes       
[  4]  15.00-16.00  sec  28.9 MBytes  242694 Kbits/sec    0   8.87 MBytes       
[  4]  16.00-17.00  sec  29.4 MBytes  246679 Kbits/sec    0   8.87 MBytes       
[  4]  17.00-18.00  sec  29.4 MBytes  246653 Kbits/sec    0   8.87 MBytes       
[  4]  18.00-19.00  sec  29.4 MBytes  246723 Kbits/sec    0   8.87 MBytes       
[  4]  19.00-20.00  sec  28.9 MBytes  242222 Kbits/sec    0   8.87 MBytes       
[  4]  20.00-21.00  sec  28.1 MBytes  235657 Kbits/sec    0   8.87 MBytes       
[  4]  21.00-22.00  sec  28.5 MBytes  239156 Kbits/sec    0   8.87 MBytes       
[  4]  22.00-23.00  sec  28.9 MBytes  242733 Kbits/sec    0   8.87 MBytes       
[  4]  23.00-24.00  sec  29.4 MBytes  246713 Kbits/sec    0   35.0 KBytes       
[  4]  24.00-25.00  sec  20.7 MBytes  173324 Kbits/sec    0   8.87 MBytes       
[  4]  25.00-26.00  sec  29.4 MBytes  246723 Kbits/sec    0   8.87 MBytes       
[  4]  26.00-27.00  sec  29.4 MBytes  246717 Kbits/sec    0   8.87 MBytes       
[  4]  27.00-28.00  sec  29.1 MBytes  244157 Kbits/sec    0   8.87 MBytes       
[  4]  28.00-29.00  sec  28.5 MBytes  239128 Kbits/sec    0   8.87 MBytes       
[  4]  29.00-30.00  sec  28.5 MBytes  238675 Kbits/sec    0   8.87 MBytes       
[  4]  30.00-31.00  sec  28.9 MBytes  242659 Kbits/sec    0   8.87 MBytes       
[  4]  31.00-32.00  sec  28.7 MBytes  240652 Kbits/sec    0   8.87 MBytes       
[  4]  32.00-33.00  sec  28.9 MBytes  242699 Kbits/sec    0   8.87 MBytes       
[  4]  33.00-34.00  sec  29.4 MBytes  246644 Kbits/sec    0   8.87 MBytes       
[  4]  34.00-35.00  sec  29.4 MBytes  246640 Kbits/sec    0   8.87 MBytes       
[  4]  35.00-36.00  sec  18.2 MBytes  152289 Kbits/sec    0   8.87 MBytes       
[  4]  36.00-37.00  sec  29.4 MBytes  246726 Kbits/sec    0   8.87 MBytes       
[  4]  37.00-38.00  sec  28.6 MBytes  240130 Kbits/sec    0   8.87 MBytes       
[  4]  38.00-39.00  sec  28.5 MBytes  238744 Kbits/sec    0   8.87 MBytes       
[  4]  39.00-40.00  sec  28.5 MBytes  239132 Kbits/sec    0   8.87 MBytes       
[  4]  40.00-41.00  sec  28.9 MBytes  242729 Kbits/sec    0   8.87 MBytes       
[  4]  41.00-42.00  sec  28.8 MBytes  241151 Kbits/sec    0   8.87 MBytes       
[  4]  42.00-43.00  sec  28.9 MBytes  242670 Kbits/sec    0   8.87 MBytes       
[  4]  43.00-44.00  sec  29.4 MBytes  246687 Kbits/sec    0   8.87 MBytes       
[  4]  44.00-45.00  sec  29.4 MBytes  246644 Kbits/sec    0   8.87 MBytes       
[  4]  45.00-46.00  sec  28.9 MBytes  242732 Kbits/sec    0   8.87 MBytes       
[  4]  46.00-47.00  sec  18.7 MBytes  156740 Kbits/sec    0   8.87 MBytes       
[  4]  47.00-48.00  sec  28.9 MBytes  242235 Kbits/sec    0   8.87 MBytes       
[  4]  48.00-49.00  sec  28.1 MBytes  235705 Kbits/sec    0   8.87 MBytes       
[  4]  49.00-50.00  sec  28.6 MBytes  239680 Kbits/sec    0   8.87 MBytes       
