Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 41138 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  38.00-39.00  sec  28.9 MBytes  242729 Kbits/sec    0   8.87 MBytes       
[  4]  39.00-40.00  sec  28.7 MBytes  240540 Kbits/sec    0   8.87 MBytes       
[  4]  40.00-41.00  sec  28.7 MBytes  241101 Kbits/sec    0   8.87 MBytes       
[  4]  41.00-42.00  sec  28.9 MBytes  242730 Kbits/sec    0   8.87 MBytes       
[  4]  42.00-43.00  sec  29.4 MBytes  246816 Kbits/sec    0   8.87 MBytes       
[  4]  43.00-44.00  sec  28.6 MBytes  239528 Kbits/sec    0   8.87 MBytes       
[  4]  44.00-45.00  sec  28.9 MBytes  242698 Kbits/sec    0   8.87 MBytes       
[  4]  45.00-46.00  sec  29.4 MBytes  246810 Kbits/sec    0   8.87 MBytes       
[  4]  46.00-47.00  sec  28.9 MBytes  242703 Kbits/sec    0   8.87 MBytes       
[  4]  47.00-48.00  sec  28.7 MBytes  240534 Kbits/sec    0   8.87 MBytes       
[  4]  48.00-49.00  sec  28.9 MBytes  242722 Kbits/sec    0   8.87 MBytes       
[  4]  49.00-50.00  sec  28.7 MBytes  241037 Kbits/sec    0   8.87 MBytes       
[  4]  50.00-51.00  sec  17.7 MBytes  148342 Kbits/sec    0   8.87 MBytes       
[  4]  51.00-52.00  sec  28.7 MBytes  240530 Kbits/sec    0   8.87 MBytes       
[  4]  52.00-53.00  sec  28.9 MBytes  242718 Kbits/sec    0   8.87 MBytes       
[  4]  53.00-54.00  sec  29.4 MBytes  246827 Kbits/sec    0   8.87 MBytes       
[  4]  54.00-55.00  sec  29.4 MBytes  246827 Kbits/sec    0   8.87 MBytes       
[  4]  55.00-56.00  sec  29.1 MBytes  244256 Kbits/sec    0   8.87 MBytes       
[  4]  56.00-57.00  sec  28.7 MBytes  240541 Kbits/sec    0   8.87 MBytes       
[  4]  57.00-58.00  sec  28.6 MBytes  240078 Kbits/sec    0   8.87 MBytes       
[  4]  58.00-59.00  sec  28.6 MBytes  240060 Kbits/sec    0   8.87 MBytes       
[  4]  59.00-60.00  sec  28.7 MBytes  240587 Kbits/sec    0   8.87 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec  1.64 GBytes  235082 Kbits/sec    0             sender
[  4]   0.00-60.00  sec  1.64 GBytes  234926 Kbits/sec                  receiver

iperf Done.
