Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 40742 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  7.43 MBytes  62323 Kbits/sec    0   3.54 MBytes       
[  4]   1.00-2.00   sec  29.4 MBytes  246837 Kbits/sec    0   6.03 MBytes       
[  4]   2.00-3.00   sec  29.0 MBytes  243221 Kbits/sec    0   6.03 MBytes       
[  4]   3.00-4.00   sec  28.6 MBytes  239454 Kbits/sec    0   6.03 MBytes       
[  4]   4.00-5.00   sec  28.6 MBytes  239497 Kbits/sec    0   6.03 MBytes       
[  4]   5.00-6.00   sec  28.9 MBytes  242722 Kbits/sec    0   6.03 MBytes       
[  4]   6.00-7.00   sec  28.8 MBytes  241130 Kbits/sec    0   6.03 MBytes       
[  4]   7.00-8.00   sec  28.9 MBytes  242670 Kbits/sec    0   6.03 MBytes       
[  4]   8.00-9.00   sec  28.7 MBytes  240541 Kbits/sec    0   6.03 MBytes       
[  4]   9.00-10.00  sec  28.7 MBytes  241105 Kbits/sec    0   6.03 MBytes       
[  4]  10.00-11.00  sec  28.9 MBytes  242726 Kbits/sec    0   6.03 MBytes       
[  4]  11.00-12.00  sec  28.7 MBytes  240531 Kbits/sec    0   6.03 MBytes       
[  4]  12.00-13.00  sec  28.7 MBytes  241108 Kbits/sec    0   6.03 MBytes       
[  4]  13.00-14.00  sec  28.6 MBytes  240034 Kbits/sec    0   6.03 MBytes       
[  4]  14.00-15.00  sec  28.7 MBytes  240559 Kbits/sec    0   6.03 MBytes       
[  4]  15.00-16.00  sec  28.9 MBytes  242644 Kbits/sec    0   6.03 MBytes       
[  4]  16.00-17.00  sec  28.7 MBytes  240542 Kbits/sec    0   6.03 MBytes       
[  4]  17.00-18.00  sec  28.7 MBytes  241106 Kbits/sec    0   6.03 MBytes       
[  4]  18.00-19.00  sec  28.9 MBytes  242724 Kbits/sec    0   6.03 MBytes       
[  4]  19.00-20.00  sec  28.7 MBytes  240538 Kbits/sec    0   6.03 MBytes       
[  4]  20.00-21.00  sec  28.7 MBytes  241095 Kbits/sec    0   6.03 MBytes       
[  4]  21.00-22.00  sec  28.5 MBytes  238970 Kbits/sec    0   6.03 MBytes       
[  4]  22.00-23.00  sec  28.9 MBytes  242691 Kbits/sec    0   6.03 MBytes       
[  4]  23.00-24.00  sec  28.8 MBytes  241129 Kbits/sec    0   6.03 MBytes       
[  4]  24.00-25.00  sec  28.9 MBytes  242718 Kbits/sec    0   6.03 MBytes       
[  4]  25.00-26.00  sec  28.7 MBytes  240548 Kbits/sec    0   6.03 MBytes       
[  4]  26.00-27.00  sec  28.9 MBytes  242205 Kbits/sec    0   6.03 MBytes       
[  4]  27.00-28.00  sec  28.7 MBytes  240529 Kbits/sec    0   6.03 MBytes       
[  4]  28.00-29.00  sec  28.7 MBytes  240586 Kbits/sec    0   6.03 MBytes       
[  4]  29.00-30.00  sec  28.7 MBytes  241111 Kbits/sec    0   6.03 MBytes       
[  4]  30.00-31.00  sec  28.7 MBytes  240578 Kbits/sec    0   6.03 MBytes       
[  4]  31.00-32.00  sec  28.9 MBytes  242714 Kbits/sec    0   6.03 MBytes       
[  4]  32.00-33.00  sec  28.7 MBytes  240540 Kbits/sec    0   6.03 MBytes       
[  4]  33.00-34.00  sec  28.8 MBytes  241178 Kbits/sec    0   6.03 MBytes       
[  4]  34.00-35.00  sec  28.8 MBytes  241152 Kbits/sec    0   6.03 MBytes       
[  4]  35.00-36.00  sec  28.7 MBytes  240606 Kbits/sec    0   6.03 MBytes       
[  4]  36.00-37.00  sec  28.9 MBytes  242721 Kbits/sec    0   6.03 MBytes       
[  4]  37.00-38.00  sec  28.7 MBytes  240533 Kbits/sec    0   6.03 MBytes       
[  4]  38.00-39.00  sec  28.9 MBytes  242720 Kbits/sec    0   6.03 MBytes       
[  4]  39.00-40.00  sec  28.7 MBytes  240542 Kbits/sec    0   6.03 MBytes       
[  4]  40.00-41.00  sec  28.7 MBytes  240584 Kbits/sec    0   6.03 MBytes       
[  4]  41.00-42.00  sec  28.7 MBytes  240586 Kbits/sec    0   6.03 MBytes       
[  4]  42.00-43.00  sec  28.7 MBytes  240584 Kbits/sec    0   6.03 MBytes       
[  4]  43.00-44.00  sec  28.9 MBytes  242730 Kbits/sec    0   6.03 MBytes       
[  4]  44.00-45.00  sec  28.7 MBytes  240531 Kbits/sec    0   6.03 MBytes       
[  4]  45.00-46.00  sec  28.9 MBytes  242723 Kbits/sec    0   6.03 MBytes       
[  4]  46.00-47.00  sec  28.7 MBytes  240488 Kbits/sec    0   6.03 MBytes       
