Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 41214 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  2.14 MBytes  17951 Kbits/sec    0    337 KBytes       
[  4]   1.00-2.00   sec  15.5 MBytes  129880 Kbits/sec    0   6.02 MBytes       
[  4]   2.00-3.00   sec  17.7 MBytes  148302 Kbits/sec    0   6.02 MBytes       
[  4]   3.00-4.00   sec  20.7 MBytes  173437 Kbits/sec    0   6.02 MBytes       
[  4]   4.00-5.00   sec  18.3 MBytes  153507 Kbits/sec    0   6.02 MBytes       
[  4]   5.00-6.00   sec  19.9 MBytes  167173 Kbits/sec    0   6.02 MBytes       
[  4]   6.00-7.00   sec  20.2 MBytes  169314 Kbits/sec    0   6.02 MBytes       
[  4]   7.00-8.00   sec  18.2 MBytes  152446 Kbits/sec    0   6.02 MBytes       
[  4]   8.00-9.00   sec  19.9 MBytes  167179 Kbits/sec    0   6.02 MBytes       
[  4]   9.00-10.00  sec  18.7 MBytes  156698 Kbits/sec    0   6.02 MBytes       
[  4]  10.00-11.00  sec  19.9 MBytes  167189 Kbits/sec    0   6.02 MBytes       
[  4]  11.00-12.00  sec  19.4 MBytes  162983 Kbits/sec    0   6.02 MBytes       
[  4]  12.00-13.00  sec  18.7 MBytes  156678 Kbits/sec    0   6.02 MBytes       
[  4]  13.00-14.00  sec  19.9 MBytes  167190 Kbits/sec    0   6.02 MBytes       
[  4]  14.00-15.00  sec  18.9 MBytes  158829 Kbits/sec    0   6.02 MBytes       
[  4]  15.00-16.00  sec  19.4 MBytes  162936 Kbits/sec    0   6.02 MBytes       
[  4]  16.00-17.00  sec  19.4 MBytes  162969 Kbits/sec    0   6.02 MBytes       
[  4]  17.00-18.00  sec  19.4 MBytes  162953 Kbits/sec    0   6.02 MBytes       
[  4]  18.00-19.00  sec  19.4 MBytes  162959 Kbits/sec    0   6.02 MBytes       
[  4]  19.00-20.00  sec  19.1 MBytes  160355 Kbits/sec    0   6.02 MBytes       
[  4]  20.00-21.00  sec  18.9 MBytes  158791 Kbits/sec    0   6.02 MBytes       
[  4]  21.00-22.00  sec  19.4 MBytes  162942 Kbits/sec    0   6.02 MBytes       
[  4]  22.00-23.00  sec  19.4 MBytes  162956 Kbits/sec    0   6.02 MBytes       
[  4]  23.00-24.00  sec  19.4 MBytes  162956 Kbits/sec    0   6.02 MBytes       
[  4]  24.00-25.00  sec  19.4 MBytes  162965 Kbits/sec    0   6.02 MBytes       
[  4]  25.00-26.00  sec  19.3 MBytes  161913 Kbits/sec    0   6.02 MBytes       
[  4]  26.00-27.00  sec  19.6 MBytes  164513 Kbits/sec    0   6.02 MBytes       
[  4]  27.00-28.00  sec  18.6 MBytes  156113 Kbits/sec    0   6.02 MBytes       
[  4]  28.00-29.00  sec  19.4 MBytes  162980 Kbits/sec    0   6.02 MBytes       
[  4]  29.00-30.00  sec  19.4 MBytes  162963 Kbits/sec    0   6.02 MBytes       
[  4]  30.00-31.00  sec  19.4 MBytes  162958 Kbits/sec    0   6.02 MBytes       
[  4]  31.00-32.00  sec  19.4 MBytes  162953 Kbits/sec    0   6.02 MBytes       
[  4]  32.00-33.00  sec  18.9 MBytes  158797 Kbits/sec    0   6.02 MBytes       
[  4]  33.00-34.00  sec  19.7 MBytes  165020 Kbits/sec    0   6.02 MBytes       
