Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 51220 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  2.53 MBytes  21242 Kbits/sec    0    390 KBytes       
[  4]   1.00-2.00   sec  2.80 MBytes  23447 Kbits/sec    0    501 KBytes       
[  4]   2.00-3.00   sec  2.86 MBytes  23983 Kbits/sec    0    618 KBytes       
[  4]   3.00-4.00   sec  2.61 MBytes  21899 Kbits/sec    0    734 KBytes       
[  4]   4.00-5.00   sec  2.24 MBytes  18758 Kbits/sec    0    851 KBytes       
[  4]   5.00-6.00   sec  2.24 MBytes  18765 Kbits/sec    0    969 KBytes       
[  4]   6.00-7.00   sec  2.24 MBytes  18767 Kbits/sec    0   1.06 MBytes       
[  4]   7.00-8.00   sec  2.24 MBytes  18766 Kbits/sec    0   1.17 MBytes       
[  4]   8.00-9.00   sec  2.24 MBytes  18765 Kbits/sec    0   1.29 MBytes       
[  4]   9.00-10.00  sec  2.24 MBytes  18765 Kbits/sec    0   1.40 MBytes       
[  4]  10.00-11.00  sec  2.24 MBytes  18767 Kbits/sec    0   1.51 MBytes       
[  4]  11.00-12.00  sec  2.17 MBytes  18245 Kbits/sec    0   1.63 MBytes       
[  4]  12.00-13.00  sec  2.24 MBytes  18765 Kbits/sec    0   1.74 MBytes       
[  4]  13.00-14.00  sec  2.27 MBytes  19020 Kbits/sec    0   1.86 MBytes       
[  4]  14.00-15.00  sec  2.25 MBytes  18837 Kbits/sec    0   1.97 MBytes       
[  4]  15.00-16.00  sec  2.18 MBytes  18328 Kbits/sec    0   2.12 MBytes       
[  4]  16.00-17.00  sec  2.31 MBytes  19413 Kbits/sec    0   2.40 MBytes       
[  4]  17.00-18.00  sec  2.25 MBytes  18896 Kbits/sec    0   2.76 MBytes       
[  4]  18.00-19.00  sec  2.31 MBytes  19416 Kbits/sec    0   3.07 MBytes       
[  4]  19.00-20.00  sec  2.25 MBytes  18896 Kbits/sec    0   3.07 MBytes       
[  4]  20.00-21.00  sec  2.31 MBytes  19417 Kbits/sec    0   3.07 MBytes       
[  4]  21.00-22.00  sec  2.25 MBytes  18897 Kbits/sec    0   3.07 MBytes       
[  4]  22.00-23.00  sec  2.25 MBytes  18895 Kbits/sec    0   3.07 MBytes       
[  4]  23.00-24.00  sec  2.38 MBytes  19936 Kbits/sec    0   3.07 MBytes       
[  4]  24.00-25.00  sec  2.19 MBytes  18376 Kbits/sec    0   3.07 MBytes       
[  4]  25.00-26.00  sec  2.31 MBytes  19416 Kbits/sec    0   3.07 MBytes       
[  4]  26.00-27.00  sec  2.25 MBytes  18896 Kbits/sec    0   3.07 MBytes       
[  4]  27.00-28.00  sec  2.31 MBytes  19416 Kbits/sec    0   3.07 MBytes       
[  4]  28.00-29.00  sec  2.31 MBytes  19417 Kbits/sec    0   3.07 MBytes       
[  4]  29.00-30.00  sec  2.19 MBytes  18376 Kbits/sec    0   3.07 MBytes       
[  4]  30.00-31.00  sec  2.31 MBytes  19416 Kbits/sec    0   3.07 MBytes       
[  4]  31.00-32.00  sec  2.25 MBytes  18896 Kbits/sec    0   3.07 MBytes       
[  4]  32.00-33.00  sec  2.31 MBytes  19416 Kbits/sec    0   3.07 MBytes       
[  4]  33.00-34.00  sec  2.25 MBytes  18898 Kbits/sec    0   3.07 MBytes       
[  4]  34.00-35.00  sec  2.31 MBytes  19416 Kbits/sec    0   3.07 MBytes       
[  4]  35.00-36.00  sec  2.25 MBytes  18896 Kbits/sec    0   3.07 MBytes       
[  4]  36.00-37.00  sec  2.31 MBytes  19416 Kbits/sec    0   3.07 MBytes       
[  4]  37.00-38.00  sec  2.25 MBytes  18896 Kbits/sec    0   3.07 MBytes       
[  4]  38.00-39.00  sec  2.31 MBytes  19417 Kbits/sec    0   3.07 MBytes       
[  4]  39.00-40.00  sec  2.31 MBytes  19416 Kbits/sec    0   3.07 MBytes       
[  4]  40.00-41.00  sec  2.25 MBytes  18897 Kbits/sec    0   3.07 MBytes       
[  4]  41.00-42.00  sec  2.25 MBytes  18895 Kbits/sec    0   3.07 MBytes       
[  4]  42.00-43.00  sec  2.25 MBytes  18895 Kbits/sec    0   3.07 MBytes       
[  4]  43.00-43.53  sec  1.25 MBytes  19888 Kbits/sec    0   3.07 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-43.53  sec   100 MBytes  19345 Kbits/sec    0             sender
[  4]   0.00-43.53  sec  99.3 MBytes  19127 Kbits/sec                  receiver

iperf Done.
