Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 54694 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  2.47 MBytes  20717 Kbits/sec   10    363 KBytes       
[  4]   1.00-2.00   sec  1.86 MBytes  15640 Kbits/sec   54    310 KBytes       
[  4]   2.00-3.00   sec  2.11 MBytes  17721 Kbits/sec    0    348 KBytes       
[  4]   3.00-4.00   sec  2.24 MBytes  18765 Kbits/sec    0    372 KBytes       
[  4]   4.00-5.00   sec  2.30 MBytes  19287 Kbits/sec    0    385 KBytes       
[  4]   5.00-6.00   sec  2.24 MBytes  18766 Kbits/sec    0    390 KBytes       
[  4]   6.00-7.00   sec  2.30 MBytes  19288 Kbits/sec    0    390 KBytes       
[  4]   7.00-8.00   sec  2.30 MBytes  19287 Kbits/sec    0    390 KBytes       
[  4]   8.00-9.00   sec  2.30 MBytes  19287 Kbits/sec    0    393 KBytes       
[  4]   9.00-10.00  sec  2.30 MBytes  19288 Kbits/sec    0    402 KBytes       
[  4]  10.00-11.00  sec  2.36 MBytes  19808 Kbits/sec    0    420 KBytes       
[  4]  11.00-12.00  sec  2.36 MBytes  19809 Kbits/sec    4    420 KBytes       
[  4]  12.00-13.00  sec  2.30 MBytes  19288 Kbits/sec    4    355 KBytes       
[  4]  13.00-14.00  sec  2.24 MBytes  18767 Kbits/sec    0    399 KBytes       
[  4]  14.00-15.00  sec  2.30 MBytes  19287 Kbits/sec    0    426 KBytes       
[  4]  15.00-16.00  sec  2.24 MBytes  18767 Kbits/sec    0    441 KBytes       
[  4]  16.00-17.00  sec  2.24 MBytes  18771 Kbits/sec    2    327 KBytes       
[  4]  17.00-18.00  sec  2.17 MBytes  18241 Kbits/sec    0    354 KBytes       
[  4]  18.00-19.00  sec  2.30 MBytes  19286 Kbits/sec    0    369 KBytes       
[  4]  19.00-20.00  sec  2.24 MBytes  18766 Kbits/sec    0    376 KBytes       
[  4]  20.00-21.00  sec  2.30 MBytes  19287 Kbits/sec    0    376 KBytes       
[  4]  21.00-22.00  sec  2.30 MBytes  19288 Kbits/sec    0    376 KBytes       
[  4]  22.00-23.00  sec  2.30 MBytes  19287 Kbits/sec    0    378 KBytes       
[  4]  23.00-24.00  sec  2.24 MBytes  18766 Kbits/sec    0    386 KBytes       
[  4]  24.00-25.00  sec  2.30 MBytes  19287 Kbits/sec    0    402 KBytes       
[  4]  25.00-26.00  sec  2.24 MBytes  18767 Kbits/sec    0    428 KBytes       
[  4]  26.00-27.00  sec  2.30 MBytes  19290 Kbits/sec    6    325 KBytes       
[  4]  27.00-28.00  sec  2.17 MBytes  18244 Kbits/sec    0    378 KBytes       
[  4]  28.00-29.00  sec  2.30 MBytes  19286 Kbits/sec    0    413 KBytes       
[  4]  29.00-30.00  sec  2.24 MBytes  18767 Kbits/sec    0    434 KBytes       
[  4]  30.00-31.00  sec  2.30 MBytes  19289 Kbits/sec    2    315 KBytes       
[  4]  31.00-32.00  sec  2.11 MBytes  17723 Kbits/sec    0    346 KBytes       
[  4]  32.00-33.00  sec  2.30 MBytes  19286 Kbits/sec    0    365 KBytes       
[  4]  33.00-34.00  sec  2.24 MBytes  18766 Kbits/sec    0    375 KBytes       
[  4]  34.00-35.00  sec  2.30 MBytes  19287 Kbits/sec    0    376 KBytes       
[  4]  35.00-36.00  sec  2.30 MBytes  19287 Kbits/sec    0    376 KBytes       
[  4]  36.00-37.00  sec  2.24 MBytes  18766 Kbits/sec    0    378 KBytes       
[  4]  37.00-38.00  sec  2.30 MBytes  19287 Kbits/sec    0    383 KBytes       
[  4]  38.00-39.00  sec  2.30 MBytes  19287 Kbits/sec    0    396 KBytes       
[  4]  39.00-40.00  sec  2.24 MBytes  18767 Kbits/sec    0    419 KBytes       
[  4]  40.00-41.00  sec  2.05 MBytes  17202 Kbits/sec    4    362 KBytes       
[  4]  41.00-42.00  sec  2.42 MBytes  20327 Kbits/sec    4    361 KBytes       
[  4]  42.00-43.00  sec  2.30 MBytes  19289 Kbits/sec    0    402 KBytes       
[  4]  43.00-44.00  sec  2.24 MBytes  18766 Kbits/sec    0    428 KBytes       
[  4]  44.00-44.39  sec   891 KBytes  18620 Kbits/sec    0    434 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-44.39  sec   100 MBytes  18961 Kbits/sec   90             sender
[  4]   0.00-44.39  sec  98.4 MBytes  18585 Kbits/sec                  receiver

iperf Done.
