Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 54698 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  3.31 MBytes  27785 Kbits/sec    0    361 KBytes       
[  4]   1.00-2.00   sec  2.80 MBytes  23455 Kbits/sec  497    846 KBytes       
[  4]   2.00-3.00   sec  2.17 MBytes  18241 Kbits/sec  390    727 KBytes       
[  4]   3.00-4.00   sec  2.24 MBytes  18762 Kbits/sec   33    721 KBytes       
[  4]   4.00-5.00   sec  2.05 MBytes  17211 Kbits/sec    0    752 KBytes       
[  4]   5.00-6.00   sec  2.11 MBytes  17720 Kbits/sec    0    781 KBytes       
[  4]   6.00-7.00   sec  2.11 MBytes  17719 Kbits/sec    0    809 KBytes       
[  4]   7.00-8.00   sec  2.11 MBytes  17726 Kbits/sec    0    820 KBytes       
[  4]   8.00-9.00   sec  2.11 MBytes  17721 Kbits/sec    0    846 KBytes       
[  4]   9.00-10.00  sec  2.05 MBytes  17205 Kbits/sec    0    863 KBytes       
[  4]  10.00-11.00  sec  2.17 MBytes  18241 Kbits/sec    0    891 KBytes       
[  4]  11.00-12.00  sec  2.24 MBytes  18769 Kbits/sec    0   5.66 KBytes       
[  4]  12.00-13.00  sec  1.24 MBytes  10426 Kbits/sec    6    721 KBytes       
[  4]  13.00-14.00  sec  2.17 MBytes  18242 Kbits/sec    6    356 KBytes       
[  4]  14.00-15.00  sec  2.36 MBytes  19804 Kbits/sec    0    721 KBytes       
[  4]  15.00-16.00  sec  2.30 MBytes  19288 Kbits/sec    6    721 KBytes       
[  4]  16.00-17.00  sec  2.30 MBytes  19292 Kbits/sec    6    721 KBytes       
[  4]  17.00-18.00  sec  2.30 MBytes  19287 Kbits/sec   18    721 KBytes       
[  4]  18.00-19.00  sec  2.24 MBytes  18764 Kbits/sec    8    721 KBytes       
[  4]  19.00-20.00  sec  2.30 MBytes  19286 Kbits/sec    0    721 KBytes       
[  4]  20.00-21.00  sec  2.24 MBytes  18767 Kbits/sec    6    721 KBytes       
[  4]  21.00-22.00  sec  2.30 MBytes  19293 Kbits/sec    6    721 KBytes       
[  4]  22.00-23.00  sec  1.37 MBytes  11470 Kbits/sec    5    721 KBytes       
[  4]  23.00-24.00  sec  2.17 MBytes  18239 Kbits/sec    3    721 KBytes       
[  4]  24.00-25.00  sec  2.30 MBytes  19290 Kbits/sec    6    721 KBytes       
[  4]  25.00-26.00  sec  2.11 MBytes  17721 Kbits/sec   10    362 KBytes       
[  4]  26.00-27.00  sec  2.42 MBytes  20325 Kbits/sec    0    718 KBytes       
[  4]  27.00-28.00  sec  2.30 MBytes  19299 Kbits/sec    4    721 KBytes       
[  4]  28.00-29.00  sec  2.30 MBytes  19277 Kbits/sec    8    721 KBytes       
[  4]  29.00-30.00  sec  2.30 MBytes  19291 Kbits/sec   20    721 KBytes       
[  4]  30.00-31.00  sec  2.24 MBytes  18767 Kbits/sec    5    721 KBytes       
[  4]  31.00-32.00  sec  2.24 MBytes  18761 Kbits/sec    6    358 KBytes       
[  4]  32.00-33.00  sec  2.49 MBytes  20851 Kbits/sec    0   5.66 KBytes       
[  4]  33.00-34.00  sec  1.12 MBytes  9384 Kbits/sec    0    721 KBytes       
[  4]  34.00-35.00  sec  2.30 MBytes  19289 Kbits/sec    6    721 KBytes       
[  4]  35.00-36.00  sec  2.30 MBytes  19287 Kbits/sec    6    721 KBytes       
[  4]  36.00-37.00  sec  2.24 MBytes  18768 Kbits/sec    6    721 KBytes       
[  4]  37.00-38.00  sec  2.05 MBytes  17200 Kbits/sec   10    358 KBytes       
[  4]  38.00-39.00  sec  2.49 MBytes  20847 Kbits/sec    0    721 KBytes       
[  4]  39.00-40.00  sec  2.30 MBytes  19293 Kbits/sec   20    721 KBytes       
[  4]  40.00-41.00  sec  2.30 MBytes  19286 Kbits/sec    6    721 KBytes       
[  4]  41.00-42.00  sec  2.30 MBytes  19289 Kbits/sec    6    721 KBytes       
[  4]  42.00-43.00  sec  2.24 MBytes  18771 Kbits/sec    6    721 KBytes       
[  4]  43.00-44.00  sec  2.11 MBytes  17717 Kbits/sec    0   5.66 KBytes       
[  4]  44.00-45.00  sec  1.43 MBytes  11996 Kbits/sec    6    721 KBytes       
[  4]  45.00-46.00  sec  1.99 MBytes  16673 Kbits/sec    6    358 KBytes       
[  4]  46.00-46.00  sec  0.00 Bytes  0.00 Kbits/sec    0    358 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-46.00  sec   101 MBytes  18350 Kbits/sec  1127             sender
[  4]   0.00-46.00  sec  97.5 MBytes  17778 Kbits/sec                  receiver

iperf Done.
