Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 50118 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  27.00-28.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  28.00-29.00  sec  1.12 MBytes  9384 Kbits/sec    0   76.4 KBytes       
[  4]  29.00-30.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  30.00-31.00  sec  1018 KBytes  8337 Kbits/sec    0   79.2 KBytes       
[  4]  31.00-32.00  sec  1.12 MBytes  9387 Kbits/sec    0   76.4 KBytes       
[  4]  32.00-33.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  33.00-34.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  34.00-35.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  35.00-36.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  36.00-37.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  37.00-38.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  38.00-39.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  39.00-40.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  40.00-41.00  sec  1.12 MBytes  9383 Kbits/sec    0   5.66 KBytes       
[  4]  41.00-42.00  sec   954 KBytes  7817 Kbits/sec    0   76.4 KBytes       
[  4]  42.00-43.00  sec  1.12 MBytes  9385 Kbits/sec    0   76.4 KBytes       
[  4]  43.00-44.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  44.00-45.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  45.00-46.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  46.00-47.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  47.00-48.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  48.00-49.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  49.00-50.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  50.00-51.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  51.00-52.00  sec   954 KBytes  7818 Kbits/sec    0   76.4 KBytes       
[  4]  52.00-53.00  sec  1.12 MBytes  9385 Kbits/sec    0   76.4 KBytes       
[  4]  53.00-54.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  54.00-55.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  55.00-56.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  56.00-57.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
