iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 08:46:46 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 47164 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   148 MBytes  1236648 Kbits/sec    0   4.29 MBytes       
[  4]   1.00-2.00   sec  28.8 MBytes  241187 Kbits/sec    0   3.00 MBytes       
[  4]   2.00-3.00   sec  28.8 MBytes  241171 Kbits/sec    0   3.00 MBytes       
[  4]   3.00-4.00   sec  28.8 MBytes  241174 Kbits/sec    0   3.00 MBytes       
[  4]   4.00-5.00   sec  30.0 MBytes  251634 Kbits/sec    0   3.00 MBytes       
[  4]   5.00-6.00   sec  27.5 MBytes  230690 Kbits/sec    0   2.99 MBytes       
[  4]   6.00-7.00   sec  28.8 MBytes  241174 Kbits/sec    0   3.01 MBytes       
[  4]   7.00-8.00   sec  28.8 MBytes  241181 Kbits/sec    0   3.00 MBytes       
[  4]   8.00-9.00   sec  28.8 MBytes  241159 Kbits/sec    0   3.01 MBytes       
[  4]   9.00-10.00  sec  27.5 MBytes  230690 Kbits/sec    0   3.01 MBytes       
[  4]  10.00-11.00  sec  20.0 MBytes  167775 Kbits/sec    0   2.99 MBytes       
[  4]  11.00-12.00  sec  28.8 MBytes  241164 Kbits/sec    0   2.96 MBytes       
[  4]  12.00-13.00  sec  28.8 MBytes  241226 Kbits/sec    0   2.99 MBytes       
[  4]  13.00-14.00  sec  28.8 MBytes  241142 Kbits/sec    0   2.98 MBytes       
[  4]  14.00-15.00  sec  27.5 MBytes  230680 Kbits/sec    0   3.00 MBytes       
[  4]  15.00-16.00  sec  28.8 MBytes  241155 Kbits/sec    0   3.00 MBytes       
[  4]  16.00-17.00  sec  28.8 MBytes  241165 Kbits/sec    0   3.00 MBytes       
