iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sat, 26 Aug 2023 16:27:11 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 43072 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   134 MBytes  1121231 Kbits/sec  1086    645 KBytes       
[  4]   1.00-2.00   sec  6.25 MBytes  52430 Kbits/sec   35    311 KBytes       
[  4]   2.00-3.00   sec  6.25 MBytes  52434 Kbits/sec   45    622 KBytes       
[  4]   3.00-4.00   sec  5.00 MBytes  41937 Kbits/sec   45    619 KBytes       
[  4]   4.00-5.00   sec  6.25 MBytes  52435 Kbits/sec  110    622 KBytes       
[  4]   5.00-6.00   sec  6.25 MBytes  52430 Kbits/sec   50    625 KBytes       
[  4]   6.00-7.00   sec  5.00 MBytes  41944 Kbits/sec   74    625 KBytes       
[  4]   7.00-8.00   sec  6.25 MBytes  52427 Kbits/sec   33    625 KBytes       
[  4]   8.00-9.00   sec  5.00 MBytes  41935 Kbits/sec   54    625 KBytes       
[  4]   9.00-10.00  sec  6.25 MBytes  52443 Kbits/sec   35    628 KBytes       
[  4]  10.00-11.00  sec  5.00 MBytes  41930 Kbits/sec   38   5.66 KBytes       
[  4]  11.00-12.00  sec  5.00 MBytes  41947 Kbits/sec   35    636 KBytes       
[  4]  12.00-13.00  sec  6.25 MBytes  52435 Kbits/sec   58    625 KBytes       
[  4]  13.00-14.00  sec  6.25 MBytes  52427 Kbits/sec   15    628 KBytes       
[  4]  14.00-15.00  sec  5.00 MBytes  41946 Kbits/sec   63    317 KBytes       
[  4]  15.00-16.00  sec  6.25 MBytes  52429 Kbits/sec   35    631 KBytes       
[  4]  16.00-17.00  sec  5.00 MBytes  41937 Kbits/sec   47    321 KBytes       
[  4]  17.00-18.00  sec  6.25 MBytes  52436 Kbits/sec   20    628 KBytes       
[  4]  18.00-19.00  sec  6.25 MBytes  52429 Kbits/sec   45    628 KBytes       
[  4]  19.00-20.00  sec  5.00 MBytes  41937 Kbits/sec   44    634 KBytes       
[  4]  20.00-21.00  sec  6.25 MBytes  52435 Kbits/sec   21    631 KBytes       
[  4]  21.00-22.00  sec  6.25 MBytes  52432 Kbits/sec   60    628 KBytes       
[  4]  22.00-23.00  sec  3.75 MBytes  31453 Kbits/sec   59    628 KBytes       
[  4]  23.00-24.00  sec  6.25 MBytes  52434 Kbits/sec   27    622 KBytes       
[  4]  24.00-25.00  sec  5.00 MBytes  41940 Kbits/sec   15    318 KBytes       
[  4]  25.00-26.00  sec  6.25 MBytes  52435 Kbits/sec   29    628 KBytes       
[  4]  26.00-27.00  sec  5.00 MBytes  41939 Kbits/sec   55    619 KBytes       
[  4]  27.00-28.00  sec  6.25 MBytes  52428 Kbits/sec   38    628 KBytes       
[  4]  28.00-29.00  sec  5.00 MBytes  41940 Kbits/sec   15    619 KBytes       
[  4]  29.00-30.00  sec  6.25 MBytes  52430 Kbits/sec   26    625 KBytes       
[  4]  30.00-31.00  sec  6.25 MBytes  52438 Kbits/sec    9    631 KBytes       
[  4]  31.00-32.00  sec  5.00 MBytes  41938 Kbits/sec   56    320 KBytes       
[  4]  32.00-33.00  sec  3.75 MBytes  31456 Kbits/sec    3    617 KBytes       
[  4]  33.00-34.00  sec  6.25 MBytes  52429 Kbits/sec   26    628 KBytes       
[  4]  34.00-35.00  sec  5.00 MBytes  41951 Kbits/sec   28    631 KBytes       
[  4]  35.00-36.00  sec  6.25 MBytes  52426 Kbits/sec   55    628 KBytes       
[  4]  36.00-37.00  sec  5.00 MBytes  41959 Kbits/sec   10    622 KBytes       
