iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 10:31:18 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 47604 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   162 MBytes  1362518 Kbits/sec    0   8.53 MBytes       
[  4]  15.00-16.00  sec  57.5 MBytes  482424 Kbits/sec    0   5.94 MBytes       
[  4]  16.00-17.00  sec  56.2 MBytes  471910 Kbits/sec    0   5.94 MBytes       
[  4]  17.00-18.00  sec  57.5 MBytes  482342 Kbits/sec    0   5.95 MBytes       
[  4]  18.00-19.00  sec  56.2 MBytes  471856 Kbits/sec    0   5.96 MBytes       
[  4]  19.00-20.00  sec  57.5 MBytes  482311 Kbits/sec    0   5.94 MBytes       
[  4]  20.00-21.00  sec  56.2 MBytes  471777 Kbits/sec    0   5.66 KBytes       
[  4]  21.00-22.00  sec  40.0 MBytes  335594 Kbits/sec    0   6.00 MBytes       
[  4]  22.00-23.00  sec  56.2 MBytes  471775 Kbits/sec    0   5.94 MBytes       
[  4]  23.00-24.00  sec  57.5 MBytes  482476 Kbits/sec    0   5.95 MBytes       
[  4]  24.00-25.00  sec  56.2 MBytes  471825 Kbits/sec    0   5.97 MBytes       
[  4]  25.00-26.00  sec  57.5 MBytes  482257 Kbits/sec    0   5.94 MBytes       
[  4]  26.00-27.00  sec  56.2 MBytes  471863 Kbits/sec    0   5.95 MBytes       
[  4]  27.00-28.00  sec  57.5 MBytes  482337 Kbits/sec    0   5.96 MBytes       
[  4]  28.00-29.00  sec  56.2 MBytes  471908 Kbits/sec    0   5.97 MBytes       
[  4]  29.00-30.00  sec  57.5 MBytes  482422 Kbits/sec    0   5.98 MBytes       
[  4]  30.00-31.00  sec  56.2 MBytes  471749 Kbits/sec    0   5.97 MBytes       
[  4]  31.00-32.00  sec  40.0 MBytes  335575 Kbits/sec    0   5.92 MBytes       
[  4]  32.00-33.00  sec  57.5 MBytes  482276 Kbits/sec    0   5.98 MBytes       
[  4]  33.00-34.00  sec  56.2 MBytes  471977 Kbits/sec    0   5.89 MBytes       
[  4]  34.00-35.00  sec  57.5 MBytes  482362 Kbits/sec    0   5.93 MBytes       
[  4]  35.00-36.00  sec  56.2 MBytes  471813 Kbits/sec    0   5.94 MBytes       
[  4]  36.00-37.00  sec  56.2 MBytes  471971 Kbits/sec    0   5.98 MBytes       
[  4]  37.00-38.00  sec  57.5 MBytes  482152 Kbits/sec    0   5.92 MBytes       
[  4]  38.00-39.00  sec  56.2 MBytes  471912 Kbits/sec    0   5.93 MBytes       
[  4]  39.00-40.00  sec  57.5 MBytes  482290 Kbits/sec    0   5.96 MBytes       
[  4]  40.00-41.00  sec  56.2 MBytes  471915 Kbits/sec    0   5.98 MBytes       
[  4]  41.00-42.00  sec  55.0 MBytes  461359 Kbits/sec    0   5.66 KBytes       
[  4]  42.00-43.00  sec  42.5 MBytes  356591 Kbits/sec    0   5.97 MBytes       
[  4]  43.00-44.00  sec  56.2 MBytes  471730 Kbits/sec    0   5.97 MBytes       
[  4]  44.00-45.00  sec  57.5 MBytes  482450 Kbits/sec    0   5.95 MBytes       
[  4]  45.00-46.00  sec  56.2 MBytes  471779 Kbits/sec    0   5.88 MBytes       
[  4]  46.00-47.00  sec  57.5 MBytes  482379 Kbits/sec    0   5.97 MBytes       
[  4]  47.00-48.00  sec  56.2 MBytes  471817 Kbits/sec    0   5.90 MBytes       
[  4]  48.00-49.00  sec  57.5 MBytes  482329 Kbits/sec    0   5.95 MBytes       
[  4]  49.00-50.00  sec  56.2 MBytes  471922 Kbits/sec    0   5.95 MBytes       
[  4]  50.00-51.00  sec  57.5 MBytes  482271 Kbits/sec    0   5.94 MBytes       
[  4]  51.00-52.00  sec  56.2 MBytes  471872 Kbits/sec    0   5.96 MBytes       
[  4]  52.00-53.00  sec  40.0 MBytes  335620 Kbits/sec    0   5.95 MBytes       
[  4]  53.00-54.00  sec  56.2 MBytes  471740 Kbits/sec    0   5.98 MBytes       
[  4]  54.00-55.00  sec  57.5 MBytes  482372 Kbits/sec    0   5.95 MBytes       
[  4]  55.00-56.00  sec  56.2 MBytes  471860 Kbits/sec    0   5.98 MBytes       
[  4]  56.00-57.00  sec  57.5 MBytes  482426 Kbits/sec    0   5.93 MBytes       
[  4]  57.00-58.00  sec  56.2 MBytes  471820 Kbits/sec    0   5.96 MBytes       
[  4]  58.00-59.00  sec  57.5 MBytes  482283 Kbits/sec    0   5.93 MBytes       
[  4]  59.00-60.00  sec  56.2 MBytes  471841 Kbits/sec    0   5.98 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
Test Complete. Summary Results:
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec  3.35 GBytes  479893 Kbits/sec    0             sender
[  4]   0.00-60.00  sec  3.23 GBytes  462253 Kbits/sec                  receiver
CPU Utilization: local/sender 2.1% (0.1%u/2.0%s), remote/receiver 36.1% (8.1%u/27.9%s)

iperf Done.
