BBR_goodput,CUBIC_goodput,Buffer,Bandwidth,rtt
9553,9576,100,10,5
9550,9573,100,10,5
9551,9575,100,10,5
9552,9576,100,10,5
9549,9573,100,10,5
9477,9576,100,10,10
9478,9575,100,10,10
9478,9574,100,10,10
9478,9577,100,10,10
9480,9574,100,10,10
9422,9572,100,10,25
9422,9573,100,10,25
9422,9571,100,10,25
9421,9574,100,10,25
9421,9574,100,10,25
9374,9553,100,10,50
9375,9557,100,10,50
9374,9558,100,10,50
9373,9557,100,10,50
9374,9557,100,10,50
9319,9539,100,10,75
9317,9537,100,10,75
9306,9539,100,10,75
9315,9539,100,10,75
9317,9539,100,10,75
9296,9519,100,10,100
9294,9525,100,10,100
9294,9520,100,10,100
9294,9522,100,10,100
9294,9520,100,10,100
9133,9477,100,10,150
9133,9481,100,10,150
9133,9449,100,10,150
9133,9462,100,10,150
9132,9477,100,10,150
9108,9428,100,10,200
9112,9430,100,10,200
9112,9319,100,10,200
9114,9342,100,10,200
9111,9431,100,10,200
18949,19137,100,20,5
18947,19137,100,20,5
18949,19141,100,20,5
18946,19140,100,20,5
18944,19138,100,20,5
18869,19137,100,20,10
18862,19134,100,20,10
18868,19139,100,20,10
18865,19137,100,20,10
18859,19139,100,20,10
18797,19126,100,20,25
18795,19125,100,20,25
18795,19130,100,20,25
18794,19125,100,20,25
18793,19124,100,20,25
18688,19088,100,20,50
18686,19085,100,20,50
18696,19080,100,20,50
18699,19089,100,20,50
18682,19082,100,20,50
18573,19048,100,20,75
18561,19035,100,20,75
18573,19049,100,20,75
18570,19048,100,20,75
18573,19048,100,20,75
18487,18339,100,20,100
18485,18984,100,20,100
18478,18734,100,20,100
18419,18744,100,20,100
18510,18760,100,20,100
18406,18665,100,20,150
18295,18668,100,20,150
18309,18664,100,20,150
18308,18673,100,20,150
18307,18665,100,20,150
18016,17874,100,20,200
17960,17863,100,20,200
18091,17918,100,20,200
18008,18012,100,20,200
17958,17804,100,20,200
47141,47824,100,50,5
47134,47823,100,50,5
47139,47828,100,50,5
47135,47824,100,50,5
47135,47820,100,50,5
47021,47817,100,50,10
47020,47816,100,50,10
47026,47819,100,50,10
47032,47815,100,50,10
47028,47814,100,50,10
46896,47774,100,50,25
46866,47771,100,50,25
46887,47774,100,50,25
46878,47779,100,50,25
46879,47772,100,50,25
46895,47344,100,50,50
46705,47364,100,50,50
46645,47373,100,50,50
46595,47391,100,50,50
46459,47360,100,50,50
45832,45905,100,50,75
45898,45972,100,50,75
45809,45862,100,50,75
45832,45598,100,50,75
45711,45760,100,50,75
45350,42967,100,50,100
45305,43081,100,50,100
45282,42879,100,50,100
45292,42883,100,50,100
45357,42956,100,50,100
44619,39104,100,50,150
44605,39060,100,50,150
44582,39064,100,50,150
44550,39114,100,50,150
44574,39141,100,50,150
43990,36472,100,50,200
43797,35454,100,50,200
44466,36546,100,50,200
44110,36444,100,50,200
44101,36461,100,50,200
94015,95610,100,100,5
94071,95548,100,100,5
94013,95613,100,100,5
93974,95552,100,100,5
94075,95604,100,100,5
93929,95559,100,100,10
93815,95482,100,100,10
93898,95524,100,100,10
93539,95590,100,100,10
93927,95576,100,100,10
93475,93914,100,100,25
93589,93957,100,100,25
93421,93199,100,100,25
93513,93843,100,100,25
93536,94319,100,100,25
92300,85942,100,100,50
92011,85572,100,100,50
91788,85394,100,100,50
92028,85399,100,100,50
92153,85447,100,100,50
90628,77875,100,100,75
91371,78319,100,100,75
90985,72968,100,100,75
90862,78270,100,100,75
91413,78537,100,100,75
90066,73470,100,100,100
89897,73359,100,100,100
89880,73096,100,100,100
90066,73482,100,100,100
90193,73557,100,100,100
88615,67419,100,100,150
88849,67389,100,100,150
88527,67507,100,100,150
88027,67469,100,100,150
88634,67408,100,100,150
87215,63502,100,100,200
87528,63525,100,100,200
86709,63181,100,100,200
87203,63400,100,100,200
87328,63505,100,100,200
234695,236710,100,250,5
235335,237077,100,250,5
235338,236901,100,250,5
234682,236740,100,250,5
234554,236794,100,250,5
234256,227331,100,250,10
233285,227715,100,250,10
234373,228458,100,250,10
233289,226609,100,250,10
234047,227686,100,250,10
230850,204369,100,250,25
230988,206045,100,250,25
230188,208359,100,250,25
231278,196493,100,250,25
231116,205564,100,250,25
228682,174583,100,250,50
228847,174181,100,250,50
229181,175116,100,250,50
228834,174220,100,250,50
228387,175042,100,250,50
227827,162782,100,250,75
227432,163138,100,250,75
227528,159875,100,250,75
227857,160007,100,250,75
226583,163052,100,250,75
224356,151707,100,250,100
224977,155215,100,250,100
224577,156706,100,250,100
225216,155549,100,250,100
224547,151527,100,250,100
219759,116631,100,250,150
220172,114433,100,250,150
221262,123998,100,250,150
220854,127579,100,250,150
218505,128476,100,250,150
216588,87510,100,250,200
215376,84481,100,250,200
218583,87756,100,250,200
213713,86007,100,250,200
215741,85091,100,250,200
466900,427328,100,500,5
468981,432304,100,500,5
463392,434941,100,500,5
468962,427460,100,500,5
468542,425515,100,500,5
466070,413748,100,500,10
466267,412242,100,500,10
464852,410510,100,500,10
466897,415545,100,500,10
464696,409994,100,500,10
457989,349094,100,500,25
460611,313173,100,500,25
459978,349538,100,500,25
459707,349718,100,500,25
460266,354935,100,500,25
454503,179124,100,500,50
452235,263797,100,500,50
453243,265606,100,500,50
452233,269261,100,500,50
452599,295994,100,500,50
450888,245178,100,500,75
451646,250200,100,500,75
451359,251234,100,500,75
449386,247098,100,500,75
451340,246187,100,500,75
444841,198279,100,500,100
440307,190514,100,500,100
444085,205267,100,500,100
441687,198906,100,500,100
440030,191383,100,500,100
435953,101493,100,500,150
430592,119990,100,500,150
434279,123539,100,500,150
