iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 07:53:25 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 46938 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   130 MBytes  1089540 Kbits/sec    0    361 KBytes       
[  4]   1.00-2.00   sec  8.75 MBytes  73424 Kbits/sec    0   5.07 MBytes       
[  4]   2.00-3.00   sec  11.2 MBytes  94370 Kbits/sec    0   5.09 MBytes       
[  4]   3.00-4.00   sec  12.5 MBytes  104859 Kbits/sec    0   3.53 MBytes       
[  4]   4.00-5.00   sec  11.2 MBytes  94369 Kbits/sec    0   3.48 MBytes       
[  4]   5.00-6.00   sec  11.2 MBytes  94387 Kbits/sec    0   3.49 MBytes       
[  4]   6.00-7.00   sec  12.5 MBytes  104844 Kbits/sec    0   3.49 MBytes       
[  4]   7.00-8.00   sec  11.2 MBytes  94370 Kbits/sec    0   3.49 MBytes       
[  4]   8.00-9.00   sec  11.2 MBytes  94368 Kbits/sec    0   3.49 MBytes       
[  4]   9.00-10.00  sec  11.2 MBytes  94391 Kbits/sec    0   3.49 MBytes       
[  4]  10.00-11.00  sec  12.5 MBytes  104841 Kbits/sec    0   3.49 MBytes       
[  4]  11.00-12.00  sec  7.50 MBytes  62888 Kbits/sec    0   3.49 MBytes       
[  4]  12.00-13.00  sec  10.0 MBytes  83944 Kbits/sec    0   3.49 MBytes       
[  4]  13.00-14.00  sec  11.2 MBytes  94363 Kbits/sec    0   3.49 MBytes       
[  4]  14.00-15.00  sec  11.2 MBytes  94354 Kbits/sec    0   3.48 MBytes       
[  4]  15.00-16.00  sec  11.2 MBytes  94373 Kbits/sec    0   3.49 MBytes       
[  4]  16.00-17.00  sec  12.5 MBytes  104871 Kbits/sec    0   3.49 MBytes       
[  4]  17.00-18.00  sec  11.2 MBytes  94367 Kbits/sec    0   3.49 MBytes       
[  4]  18.00-19.00  sec  11.2 MBytes  94367 Kbits/sec    0   3.49 MBytes       
[  4]  19.00-20.00  sec  11.2 MBytes  94372 Kbits/sec    0   3.49 MBytes       
[  4]  20.00-21.00  sec  11.2 MBytes  94372 Kbits/sec    0   3.48 MBytes       
[  4]  21.00-22.00  sec  11.2 MBytes  94371 Kbits/sec    0   3.48 MBytes       
[  4]  22.00-23.00  sec  7.50 MBytes  62917 Kbits/sec    0   3.48 MBytes       
[  4]  23.00-24.00  sec  11.2 MBytes  94391 Kbits/sec    0   3.49 MBytes       
