iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 08:51:35 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 47184 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   148 MBytes  1236638 Kbits/sec    0   4.28 MBytes       
[  4]   1.00-2.00   sec  28.8 MBytes  241157 Kbits/sec    0   3.00 MBytes       
[  4]   2.00-3.00   sec  28.8 MBytes  241213 Kbits/sec    0   3.03 MBytes       
[  4]   3.00-4.00   sec  30.0 MBytes  251627 Kbits/sec    0   3.01 MBytes       
[  4]   4.00-5.00   sec  28.8 MBytes  241178 Kbits/sec    0   3.00 MBytes       
[  4]   5.00-6.00   sec  28.8 MBytes  241172 Kbits/sec    0   3.02 MBytes       
[  4]   6.00-7.00   sec  27.5 MBytes  230697 Kbits/sec    0   3.02 MBytes       
[  4]   7.00-8.00   sec  28.8 MBytes  241151 Kbits/sec    0   3.02 MBytes       
[  4]   8.00-9.00   sec  28.8 MBytes  241159 Kbits/sec    0   3.02 MBytes       
[  4]   9.00-10.00  sec  28.8 MBytes  241179 Kbits/sec    0   3.02 MBytes       
[  4]  10.00-11.00  sec  21.2 MBytes  178257 Kbits/sec    0   3.03 MBytes       
[  4]  11.00-12.00  sec  28.8 MBytes  241195 Kbits/sec    0   3.03 MBytes       
[  4]  12.00-13.00  sec  27.5 MBytes  230683 Kbits/sec    0   3.01 MBytes       
[  4]  13.00-14.00  sec  28.8 MBytes  241174 Kbits/sec    0   3.01 MBytes       
[  4]  14.00-15.00  sec  28.8 MBytes  241176 Kbits/sec    0   3.00 MBytes       
[  4]  15.00-16.00  sec  28.8 MBytes  241186 Kbits/sec    0   3.02 MBytes       
[  4]  16.00-17.00  sec  27.5 MBytes  230714 Kbits/sec    0   3.01 MBytes       
[  4]  17.00-18.00  sec  28.8 MBytes  241127 Kbits/sec    0   3.01 MBytes       
[  4]  18.00-19.00  sec  28.8 MBytes  241165 Kbits/sec    0   3.02 MBytes       
[  4]  19.00-20.00  sec  28.8 MBytes  241179 Kbits/sec    0   3.02 MBytes       
[  4]  20.00-21.00  sec  26.2 MBytes  220183 Kbits/sec    0   5.66 KBytes       
[  4]  21.00-22.00  sec  23.8 MBytes  199243 Kbits/sec    0   3.02 MBytes       
[  4]  22.00-23.00  sec  27.5 MBytes  230683 Kbits/sec    0   3.01 MBytes       
[  4]  23.00-24.00  sec  28.8 MBytes  241183 Kbits/sec    0   3.00 MBytes       
[  4]  24.00-25.00  sec  28.8 MBytes  241147 Kbits/sec    0   3.01 MBytes       
[  4]  25.00-26.00  sec  28.8 MBytes  241186 Kbits/sec    0   3.01 MBytes       
[  4]  26.00-27.00  sec  27.5 MBytes  230687 Kbits/sec    0   3.00 MBytes       
[  4]  27.00-28.00  sec  28.8 MBytes  241223 Kbits/sec    0   3.01 MBytes       
[  4]  28.00-29.00  sec  28.8 MBytes  241117 Kbits/sec    0   3.01 MBytes       
[  4]  29.00-30.00  sec  28.8 MBytes  241159 Kbits/sec    0   3.01 MBytes       
[  4]  30.00-31.00  sec  28.8 MBytes  241189 Kbits/sec    0   3.02 MBytes       
[  4]  31.00-32.00  sec  20.0 MBytes  167781 Kbits/sec    0   3.04 MBytes       
