iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 11:08:01 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 47758 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   130 MBytes  1089176 Kbits/sec    0    358 KBytes       
[  4]   1.00-2.00   sec  25.0 MBytes  209888 Kbits/sec    0   24.7 MBytes       
[  4]   2.00-3.00   sec  46.2 MBytes  387961 Kbits/sec  11252   16.3 MBytes       
[  4]   3.00-4.00   sec  67.5 MBytes  566123 Kbits/sec  115   17.4 MBytes       
[  4]   4.00-5.00   sec  57.5 MBytes  482424 Kbits/sec    0   17.4 MBytes       
[  4]   5.00-6.00   sec  56.2 MBytes  471906 Kbits/sec    0   17.4 MBytes       
[  4]   6.00-7.00   sec  57.5 MBytes  482241 Kbits/sec    0   17.5 MBytes       
[  4]   7.00-8.00   sec  56.2 MBytes  471854 Kbits/sec    0   17.5 MBytes       
[  4]   8.00-9.00   sec  57.5 MBytes  482349 Kbits/sec    0   17.5 MBytes       
[  4]   9.00-10.00  sec  56.2 MBytes  471859 Kbits/sec    0   17.5 MBytes       
[  4]  10.00-11.00  sec  57.5 MBytes  482351 Kbits/sec    0   17.5 MBytes       
[  4]  11.00-12.00  sec  56.2 MBytes  471842 Kbits/sec    0   5.66 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10484 Kbits/sec    0   17.5 MBytes       
[  4]  13.00-14.00  sec  52.5 MBytes  440519 Kbits/sec    0   17.4 MBytes       
[  4]  14.00-15.00  sec  56.2 MBytes  471949 Kbits/sec    0   17.4 MBytes       
[  4]  15.00-16.00  sec  56.2 MBytes  471915 Kbits/sec    0   17.4 MBytes       
[  4]  16.00-17.00  sec  57.5 MBytes  482177 Kbits/sec    0   17.4 MBytes       
[  4]  17.00-18.00  sec  56.2 MBytes  471868 Kbits/sec    0   17.4 MBytes       
[  4]  18.00-19.00  sec  57.5 MBytes  482332 Kbits/sec    0   17.4 MBytes       
[  4]  19.00-20.00  sec  56.2 MBytes  471892 Kbits/sec    0   17.5 MBytes       
[  4]  20.00-21.00  sec  57.5 MBytes  482440 Kbits/sec    0   17.4 MBytes       
[  4]  21.00-22.00  sec  56.2 MBytes  471775 Kbits/sec    0   17.4 MBytes       
[  4]  22.00-23.00  sec  57.5 MBytes  482295 Kbits/sec    0   17.4 MBytes       
[  4]  23.00-24.00  sec  22.5 MBytes  188637 Kbits/sec    0   5.66 KBytes       
[  4]  24.00-25.00  sec  28.8 MBytes  241332 Kbits/sec    0   22.1 MBytes       
[  4]  25.00-26.00  sec  57.5 MBytes  482266 Kbits/sec    0   22.2 MBytes       
[  4]  26.00-27.00  sec  53.8 MBytes  450969 Kbits/sec    0   22.1 MBytes       
[  4]  27.00-28.00  sec  60.0 MBytes  503376 Kbits/sec    0   22.0 MBytes       
[  4]  28.00-29.00  sec  56.2 MBytes  471716 Kbits/sec    0   21.9 MBytes       
[  4]  29.00-30.00  sec  55.0 MBytes  461543 Kbits/sec    0   21.5 MBytes       
[  4]  30.00-31.00  sec  58.8 MBytes  492712 Kbits/sec    0   21.2 MBytes       
[  4]  31.00-32.00  sec  57.5 MBytes  482303 Kbits/sec    0   21.1 MBytes       
[  4]  32.00-33.00  sec  55.0 MBytes  461414 Kbits/sec    0   21.0 MBytes       
[  4]  33.00-34.00  sec  58.8 MBytes  492888 Kbits/sec    0   20.9 MBytes       
[  4]  34.00-35.00  sec  46.2 MBytes  387854 Kbits/sec    0   5.66 KBytes       
[  4]  35.00-36.00  sec  37.5 MBytes  314624 Kbits/sec    0   22.2 MBytes       
[  4]  36.00-37.00  sec  58.8 MBytes  492790 Kbits/sec    0   22.1 MBytes       
[  4]  37.00-38.00  sec  56.2 MBytes  471868 Kbits/sec    0   21.9 MBytes       
[  4]  38.00-39.00  sec  56.2 MBytes  471905 Kbits/sec    0   21.9 MBytes       
[  4]  39.00-40.00  sec  57.5 MBytes  482287 Kbits/sec    0   21.8 MBytes       
[  4]  40.00-41.00  sec  57.5 MBytes  482511 Kbits/sec    0   21.5 MBytes       
[  4]  41.00-42.00  sec  55.0 MBytes  461297 Kbits/sec    0   21.4 MBytes       
[  4]  42.00-43.00  sec  58.8 MBytes  492820 Kbits/sec    0   21.4 MBytes       
[  4]  43.00-44.00  sec  56.2 MBytes  471942 Kbits/sec    0   21.4 MBytes       
[  4]  44.00-45.00  sec  56.2 MBytes  471784 Kbits/sec    0   21.4 MBytes       
[  4]  45.00-46.00  sec  38.8 MBytes  324906 Kbits/sec    0   21.4 MBytes       
[  4]  46.00-47.00  sec  50.0 MBytes  419583 Kbits/sec    0   17.4 MBytes       
[  4]  47.00-48.00  sec  56.2 MBytes  471841 Kbits/sec    0   17.4 MBytes       
[  4]  48.00-49.00  sec  57.5 MBytes  482460 Kbits/sec    0   17.4 MBytes       
[  4]  49.00-50.00  sec  56.2 MBytes  471776 Kbits/sec    0   17.4 MBytes       
[  4]  50.00-51.00  sec  57.5 MBytes  482340 Kbits/sec    0   17.4 MBytes       
[  4]  51.00-52.00  sec  56.2 MBytes  471851 Kbits/sec    0   17.4 MBytes       
[  4]  52.00-53.00  sec  57.5 MBytes  482346 Kbits/sec    0   17.5 MBytes       
[  4]  53.00-54.00  sec  56.2 MBytes  471849 Kbits/sec    0   17.4 MBytes       
[  4]  54.00-55.00  sec  57.5 MBytes  482358 Kbits/sec    0   17.4 MBytes       
