iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 09:45:53 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 47410 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   130 MBytes  1089446 Kbits/sec    0    120 KBytes       
[  4]   1.00-2.00   sec  3.75 MBytes  31473 Kbits/sec    0   3.40 MBytes       
[  4]   2.00-3.00   sec  26.2 MBytes  220178 Kbits/sec    0   16.7 MBytes       
[  4]   3.00-4.00   sec  27.5 MBytes  230690 Kbits/sec  1199   16.7 MBytes       
[  4]   4.00-5.00   sec  30.0 MBytes  251649 Kbits/sec  1200   11.9 MBytes       
[  4]   5.00-6.00   sec  28.8 MBytes  241195 Kbits/sec    0   11.6 MBytes       
[  4]   6.00-7.00   sec  28.8 MBytes  241145 Kbits/sec    0   11.6 MBytes       
[  4]   7.00-8.00   sec  28.8 MBytes  241177 Kbits/sec    0   11.6 MBytes       
[  4]   8.00-9.00   sec  28.8 MBytes  241192 Kbits/sec    0   11.6 MBytes       
[  4]   9.00-10.00  sec  28.8 MBytes  241162 Kbits/sec    0   11.6 MBytes       
[  4]  10.00-11.00  sec  27.5 MBytes  230686 Kbits/sec    0   11.6 MBytes       
[  4]  11.00-12.00  sec  28.8 MBytes  241184 Kbits/sec    0   11.6 MBytes       
[  4]  12.00-13.00  sec  16.2 MBytes  136317 Kbits/sec    0   11.6 MBytes       
[  4]  13.00-14.00  sec  23.8 MBytes  199218 Kbits/sec    0   13.6 MBytes       
[  4]  14.00-15.00  sec  28.8 MBytes  241178 Kbits/sec    0   13.6 MBytes       
[  4]  15.00-16.00  sec  27.5 MBytes  230679 Kbits/sec    0   13.5 MBytes       
[  4]  16.00-17.00  sec  28.8 MBytes  241175 Kbits/sec    0   13.5 MBytes       
[  4]  17.00-18.00  sec  28.8 MBytes  241179 Kbits/sec    0   13.4 MBytes       
[  4]  18.00-19.00  sec  28.8 MBytes  241163 Kbits/sec    0   13.3 MBytes       
[  4]  19.00-20.00  sec  27.5 MBytes  230721 Kbits/sec    0   13.3 MBytes       
[  4]  20.00-21.00  sec  28.8 MBytes  241143 Kbits/sec    0   13.2 MBytes       
[  4]  21.00-22.00  sec  28.8 MBytes  241199 Kbits/sec    0   13.2 MBytes       
[  4]  22.00-23.00  sec  28.8 MBytes  241151 Kbits/sec    0   13.2 MBytes       
[  4]  23.00-24.00  sec  17.5 MBytes  146746 Kbits/sec    0   5.66 KBytes       
[  4]  24.00-25.00  sec  21.2 MBytes  178361 Kbits/sec    0   13.6 MBytes       
[  4]  25.00-26.00  sec  28.8 MBytes  241128 Kbits/sec    0   13.6 MBytes       
[  4]  26.00-27.00  sec  27.5 MBytes  230687 Kbits/sec    0   13.6 MBytes       
[  4]  27.00-28.00  sec  28.8 MBytes  241192 Kbits/sec    0   13.5 MBytes       
[  4]  28.00-29.00  sec  28.8 MBytes  241129 Kbits/sec    0   13.4 MBytes       
[  4]  29.00-30.00  sec  28.8 MBytes  241197 Kbits/sec    0   13.4 MBytes       
[  4]  30.00-31.00  sec  28.8 MBytes  241225 Kbits/sec    0   13.4 MBytes       
[  4]  31.00-32.00  sec  27.5 MBytes  230640 Kbits/sec    0   13.3 MBytes       
[  4]  32.00-33.00  sec  28.8 MBytes  241153 Kbits/sec    0   13.3 MBytes       
[  4]  33.00-34.00  sec  28.8 MBytes  241194 Kbits/sec    0   13.1 MBytes       
[  4]  34.00-35.00  sec  18.8 MBytes  157224 Kbits/sec    0   13.0 MBytes       
[  4]  35.00-36.00  sec  23.8 MBytes  199295 Kbits/sec    0   13.7 MBytes       
[  4]  36.00-37.00  sec  28.8 MBytes  241232 Kbits/sec    0   13.7 MBytes       
