iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 02:37:16 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 45636 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  17.00-18.00  sec  1.25 MBytes  10485 Kbits/sec    0   2.53 MBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10486 Kbits/sec    0   2.91 MBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10485 Kbits/sec    0   3.29 MBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10486 Kbits/sec    0   3.74 MBytes       
[  4]  21.00-22.00  sec  1.25 MBytes  10486 Kbits/sec    0   4.28 MBytes       
[  4]  22.00-23.00  sec  1.25 MBytes  10485 Kbits/sec    0   4.86 MBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10487 Kbits/sec    0   5.42 MBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10485 Kbits/sec    0   5.99 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10486 Kbits/sec    0   6.57 MBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10486 Kbits/sec    0   7.14 MBytes       
[  4]  27.00-28.00  sec  1.25 MBytes  10485 Kbits/sec    0   7.71 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10487 Kbits/sec    0   8.27 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10486 Kbits/sec    0   8.84 MBytes       
[  4]  30.00-31.00  sec  1.25 MBytes  10485 Kbits/sec    0   9.42 MBytes       
[  4]  31.00-32.00  sec  1.25 MBytes  10486 Kbits/sec    0   9.99 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10485 Kbits/sec  318   7.97 MBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10486 Kbits/sec  357   7.76 MBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10486 Kbits/sec    0   7.76 MBytes       
[  4]  35.00-36.00  sec  1.25 MBytes  10485 Kbits/sec    0   7.76 MBytes       
[  4]  36.00-37.00  sec  1.25 MBytes  10486 Kbits/sec  833   5.78 MBytes       
[  4]  37.00-38.00  sec  1.25 MBytes  10485 Kbits/sec    0   5.78 MBytes       
[  4]  38.00-39.00  sec  1.25 MBytes  10486 Kbits/sec    0   5.78 MBytes       
[  4]  39.00-40.00  sec  1.25 MBytes  10486 Kbits/sec    0   7.17 MBytes       
[  4]  40.00-41.00  sec  1.25 MBytes  10485 Kbits/sec    0   7.17 MBytes       
