Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 53462 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  4.34 MBytes  36385 Kbits/sec    0    365 KBytes       
[  5]   1.00-2.00   sec  2.11 MBytes  17727 Kbits/sec    0    255 KBytes       
[  5]   2.00-3.00   sec  2.11 MBytes  17719 Kbits/sec    0    252 KBytes       
[  5]   3.00-4.00   sec  2.11 MBytes  17723 Kbits/sec    0    252 KBytes       
[  5]   4.00-5.00   sec  3.17 MBytes  26591 Kbits/sec    0    252 KBytes       
[  5]   5.00-6.00   sec  2.11 MBytes  17723 Kbits/sec    0    252 KBytes       
[  5]   6.00-7.00   sec  2.11 MBytes  17721 Kbits/sec    0    255 KBytes       
[  5]   7.00-8.00   sec  2.11 MBytes  17722 Kbits/sec    0    252 KBytes       
[  5]   8.00-9.00   sec  2.11 MBytes  17723 Kbits/sec    0    252 KBytes       
[  5]   9.00-10.00  sec  2.11 MBytes  17725 Kbits/sec    0    252 KBytes       
[  5]  10.00-11.00  sec  2.11 MBytes  17723 Kbits/sec    0    252 KBytes       
[  5]  11.00-12.00  sec  2.11 MBytes  17722 Kbits/sec    0    252 KBytes       
[  5]  12.00-13.00  sec  2.11 MBytes  17724 Kbits/sec    0    252 KBytes       
[  5]  13.00-14.00  sec  3.17 MBytes  26593 Kbits/sec    0    252 KBytes       
[  5]  14.00-15.00  sec  2.11 MBytes  17724 Kbits/sec    0    252 KBytes       
[  5]  15.00-16.00  sec  2.11 MBytes  17721 Kbits/sec    0    252 KBytes       
[  5]  16.00-17.00  sec  2.11 MBytes  17726 Kbits/sec    0    252 KBytes       
[  5]  17.00-18.00  sec  2.11 MBytes  17718 Kbits/sec    0    252 KBytes       
[  5]  18.00-19.00  sec  2.11 MBytes  17723 Kbits/sec    0    252 KBytes       
[  5]  19.00-20.00  sec  3.17 MBytes  26595 Kbits/sec    0    252 KBytes       
[  5]  20.00-21.00  sec  1.06 MBytes  8857 Kbits/sec    0    255 KBytes       
[  5]  21.00-22.00  sec  2.11 MBytes  17727 Kbits/sec    0    252 KBytes       
[  5]  22.00-23.00  sec  2.11 MBytes  17724 Kbits/sec    0    255 KBytes       
[  5]  23.00-24.00  sec  3.17 MBytes  26592 Kbits/sec    0    252 KBytes       
[  5]  24.00-25.00  sec  2.11 MBytes  17723 Kbits/sec    0    252 KBytes       
[  5]  25.00-26.00  sec  2.11 MBytes  17721 Kbits/sec    0    252 KBytes       
[  5]  26.00-27.00  sec  2.11 MBytes  17722 Kbits/sec    0    252 KBytes       
[  5]  27.00-28.00  sec  2.11 MBytes  17723 Kbits/sec    0    255 KBytes       
[  5]  28.00-29.00  sec  2.11 MBytes  17725 Kbits/sec    0    252 KBytes       
[  5]  29.00-30.00  sec  3.17 MBytes  26592 Kbits/sec    0    252 KBytes       
[  5]  30.00-31.00  sec  2.11 MBytes  17722 Kbits/sec    0   5.66 KBytes       
[  5]  31.00-32.00  sec  1.06 MBytes  8860 Kbits/sec    0    252 KBytes       
[  5]  32.00-33.00  sec  3.17 MBytes  26593 Kbits/sec    0    255 KBytes       
[  5]  33.00-34.00  sec  2.11 MBytes  17723 Kbits/sec    0    252 KBytes       
[  5]  34.00-35.00  sec  2.11 MBytes  17723 Kbits/sec    0    252 KBytes       
[  5]  35.00-36.00  sec  2.11 MBytes  17722 Kbits/sec    0    252 KBytes       
[  5]  36.00-37.00  sec  2.11 MBytes  17723 Kbits/sec    0    252 KBytes       
[  5]  37.00-38.00  sec  2.11 MBytes  17723 Kbits/sec    0    255 KBytes       
[  5]  38.00-39.00  sec  2.11 MBytes  17723 Kbits/sec    0    252 KBytes       
[  5]  39.00-40.00  sec  3.17 MBytes  26593 Kbits/sec    0    252 KBytes       
[  5]  40.00-41.00  sec  2.11 MBytes  17722 Kbits/sec    0    252 KBytes       
[  5]  41.00-42.00  sec  1.06 MBytes  8854 Kbits/sec    0    255 KBytes       
[  5]  42.00-43.00  sec  3.17 MBytes  26614 Kbits/sec    0    252 KBytes       
[  5]  43.00-43.89  sec  2.11 MBytes  19988 Kbits/sec    0    255 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-43.89  sec   100 MBytes  19204 Kbits/sec    0             sender
[  5]   0.00-43.95  sec  97.5 MBytes  18614 Kbits/sec                  receiver

iperf Done.
