Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 50982 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  2.00 MBytes  16783 Kbits/sec    0    164 KBytes       
[  5]   1.00-2.00   sec  1.24 MBytes  10424 Kbits/sec    0    222 KBytes       
[  5]   2.00-3.00   sec  1.55 MBytes  13033 Kbits/sec    0    280 KBytes       
[  5]   3.00-4.00   sec  1.30 MBytes  10945 Kbits/sec    0    339 KBytes       
[  5]   4.00-5.00   sec  1.55 MBytes  13033 Kbits/sec    0    397 KBytes       
[  5]   5.00-6.00   sec   891 KBytes  7295 Kbits/sec    0    455 KBytes       
[  5]   6.00-7.00   sec  1.93 MBytes  16165 Kbits/sec    0    513 KBytes       
[  5]   7.00-8.00   sec  1.06 MBytes  8859 Kbits/sec    0    573 KBytes       
[  5]   8.00-9.00   sec  1.18 MBytes  9903 Kbits/sec    0    631 KBytes       
[  5]   9.00-10.00  sec  1.24 MBytes  10424 Kbits/sec    0    689 KBytes       
[  5]  10.00-11.00  sec  1.25 MBytes  10485 Kbits/sec    0    766 KBytes       
[  5]  11.00-12.00  sec  1.25 MBytes  10488 Kbits/sec    0    930 KBytes       
[  5]  12.00-13.00  sec  1.25 MBytes  10487 Kbits/sec    0   1.11 MBytes       
[  5]  13.00-14.00  sec  1.25 MBytes  10488 Kbits/sec    0   1.34 MBytes       
[  5]  14.00-15.00  sec  1.25 MBytes  10488 Kbits/sec    0   1.61 MBytes       
[  5]  15.00-16.00  sec  0.00 Bytes  0.00 Kbits/sec    0   1.89 MBytes       
[  5]  16.00-17.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.22 MBytes       
[  5]  17.00-18.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.60 MBytes       
[  5]  18.00-19.00  sec  1.25 MBytes  10487 Kbits/sec    0   2.98 MBytes       
[  5]  19.00-20.00  sec  1.25 MBytes  10487 Kbits/sec    0   3.36 MBytes       
[  5]  20.00-21.00  sec  1.25 MBytes  10487 Kbits/sec    0   3.87 MBytes       
[  5]  21.00-22.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  22.00-23.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  23.00-24.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  24.00-25.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  25.00-26.00  sec  1.25 MBytes  10486 Kbits/sec    0   4.21 MBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 Kbits/sec    0   4.21 MBytes       
[  5]  27.00-28.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  28.00-29.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  29.00-30.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  30.00-31.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  31.00-32.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  32.00-33.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  33.00-34.00  sec  1.25 MBytes  10486 Kbits/sec    0   4.21 MBytes       
[  5]  34.00-35.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  35.00-36.00  sec  1.25 MBytes  10486 Kbits/sec    0   4.21 MBytes       
[  5]  36.00-37.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  37.00-38.00  sec  0.00 Bytes  0.00 Kbits/sec    0   4.21 MBytes       
[  5]  38.00-39.00  sec  1.25 MBytes  10486 Kbits/sec    0   4.21 MBytes       
[  5]  39.00-40.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  40.00-41.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  41.00-42.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  42.00-43.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  43.00-44.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  44.00-45.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  45.00-46.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  46.00-47.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  47.00-48.00  sec  1.25 MBytes  10486 Kbits/sec    0   4.21 MBytes       
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 Kbits/sec    0   4.21 MBytes       
[  5]  49.00-50.00  sec  1.25 MBytes  10486 Kbits/sec    0   4.21 MBytes       
[  5]  50.00-51.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  51.00-52.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  52.00-53.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  53.00-54.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  54.00-55.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  55.00-56.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  56.00-57.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  57.00-58.00  sec  1.25 MBytes  10487 Kbits/sec    0   4.21 MBytes       
[  5]  58.00-59.00  sec  1.25 MBytes  10486 Kbits/sec    0   4.21 MBytes       
[  5]  59.00-60.00  sec  1.25 MBytes  10486 Kbits/sec    0   4.21 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  71.4 MBytes  9987 Kbits/sec    0             sender
[  5]   0.00-62.65  sec  71.4 MBytes  9556 Kbits/sec                  receiver

iperf Done.
