Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 46608 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  25.00-26.00  sec  27.5 MBytes  230685 Kbits/sec    0   3.15 MBytes       
[  5]  26.00-27.00  sec  28.8 MBytes  241173 Kbits/sec    0   3.15 MBytes       
[  5]  27.00-28.00  sec  28.8 MBytes  241165 Kbits/sec    0   3.15 MBytes       
[  5]  28.00-29.00  sec  28.8 MBytes  241182 Kbits/sec    0   3.15 MBytes       
[  5]  29.00-30.00  sec  27.5 MBytes  230677 Kbits/sec    0   3.15 MBytes       
[  5]  30.00-31.00  sec  28.8 MBytes  241181 Kbits/sec    0   3.15 MBytes       
[  5]  31.00-32.00  sec  28.8 MBytes  241164 Kbits/sec    0   3.15 MBytes       
[  5]  32.00-33.00  sec  28.8 MBytes  241175 Kbits/sec    0   3.15 MBytes       
[  5]  33.00-34.00  sec  27.5 MBytes  230689 Kbits/sec    0   3.15 MBytes       
[  5]  34.00-35.00  sec  28.8 MBytes  241174 Kbits/sec    0   3.15 MBytes       
[  5]  35.00-36.00  sec  28.8 MBytes  241172 Kbits/sec    0   3.15 MBytes       
[  5]  36.00-37.00  sec  28.8 MBytes  241173 Kbits/sec    0   3.15 MBytes       
[  5]  37.00-38.00  sec  27.5 MBytes  230680 Kbits/sec    0   3.15 MBytes       
[  5]  38.00-39.00  sec  28.8 MBytes  241181 Kbits/sec    0   3.15 MBytes       
[  5]  39.00-40.00  sec  28.8 MBytes  241172 Kbits/sec    0   3.15 MBytes       
[  5]  40.00-41.00  sec  28.8 MBytes  241173 Kbits/sec    0   3.15 MBytes       
[  5]  41.00-42.00  sec  27.5 MBytes  230686 Kbits/sec    0   3.15 MBytes       
[  5]  42.00-43.00  sec  28.8 MBytes  241173 Kbits/sec    0   3.15 MBytes       
[  5]  43.00-44.00  sec  28.8 MBytes  241167 Kbits/sec    0   3.15 MBytes       
[  5]  44.00-45.00  sec  28.8 MBytes  241179 Kbits/sec    0   3.15 MBytes       
[  5]  45.00-46.00  sec  27.5 MBytes  230677 Kbits/sec    0   3.15 MBytes       
[  5]  46.00-47.00  sec  28.8 MBytes  241175 Kbits/sec    0   3.15 MBytes       
[  5]  47.00-48.00  sec  28.8 MBytes  241177 Kbits/sec    0   3.15 MBytes       
[  5]  48.00-49.00  sec  28.8 MBytes  241164 Kbits/sec    0   3.15 MBytes       
[  5]  49.00-50.00  sec  27.5 MBytes  230690 Kbits/sec    0   3.15 MBytes       
[  5]  50.00-51.00  sec  28.8 MBytes  241179 Kbits/sec    0   3.15 MBytes       
