Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 44288 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  7.45 MBytes  62473 Kbits/sec  1143   1.62 MBytes       
[  5]   1.00-2.00   sec  11.2 MBytes  94370 Kbits/sec  855    998 KBytes       
[  5]   2.00-3.00   sec  11.2 MBytes  94374 Kbits/sec  200   1.80 MBytes       
[  5]   3.00-4.00   sec  11.2 MBytes  94366 Kbits/sec  250   1.80 MBytes       
[  5]   4.00-5.00   sec  11.2 MBytes  94374 Kbits/sec  225    935 KBytes       
[  5]   5.00-6.00   sec  11.2 MBytes  94372 Kbits/sec  160   1.80 MBytes       
[  5]   6.00-7.00   sec  11.2 MBytes  94371 Kbits/sec  260   1.80 MBytes       
[  5]   7.00-8.00   sec  11.2 MBytes  94372 Kbits/sec  260    885 KBytes       
[  5]   8.00-9.00   sec  11.2 MBytes  94373 Kbits/sec  120   1.80 MBytes       
[  5]   9.00-10.00  sec  11.2 MBytes  94369 Kbits/sec  245   1.79 MBytes       
[  5]  10.00-11.00  sec  11.2 MBytes  94375 Kbits/sec  200   5.66 KBytes       
[  5]  11.00-12.00  sec  8.75 MBytes  73403 Kbits/sec  160   1.79 MBytes       
[  5]  12.00-13.00  sec  11.2 MBytes  94369 Kbits/sec  240   1.79 MBytes       
[  5]  13.00-14.00  sec  10.0 MBytes  83883 Kbits/sec  180    984 KBytes       
[  5]  14.00-15.00  sec  12.5 MBytes  104865 Kbits/sec  180   1.79 MBytes       
[  5]  15.00-16.00  sec  11.2 MBytes  94367 Kbits/sec  240   1.79 MBytes       
[  5]  16.00-17.00  sec  10.0 MBytes  83882 Kbits/sec  210    933 KBytes       
[  5]  17.00-18.00  sec  12.5 MBytes  104864 Kbits/sec  150   1.79 MBytes       
[  5]  18.00-19.00  sec  11.2 MBytes  94375 Kbits/sec  240   1.80 MBytes       
[  5]  19.00-20.00  sec  10.0 MBytes  83878 Kbits/sec  260    885 KBytes       
[  5]  20.00-21.00  sec  12.5 MBytes  104864 Kbits/sec  130   1.80 MBytes       
[  5]  21.00-22.00  sec  7.50 MBytes  62914 Kbits/sec  250   1.80 MBytes       
[  5]  22.00-23.00  sec  10.0 MBytes  83886 Kbits/sec  260    885 KBytes       
[  5]  23.00-24.00  sec  12.5 MBytes  104860 Kbits/sec  130   1.80 MBytes       
[  5]  24.00-25.00  sec  11.2 MBytes  94370 Kbits/sec  260   1.80 MBytes       
[  5]  25.00-26.00  sec  10.0 MBytes  83878 Kbits/sec  260    998 KBytes       
[  5]  26.00-27.00  sec  12.5 MBytes  104868 Kbits/sec  130   1.81 MBytes       
[  5]  27.00-28.00  sec  11.2 MBytes  94372 Kbits/sec  260   1.80 MBytes       
[  5]  28.00-29.00  sec  10.0 MBytes  83875 Kbits/sec  245   1.20 MBytes       
[  5]  29.00-30.00  sec  12.5 MBytes  104870 Kbits/sec  120   1.80 MBytes       
[  5]  30.00-31.00  sec  11.2 MBytes  94372 Kbits/sec  240   1.80 MBytes       
