Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 42790 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  12.4 MBytes  103756 Kbits/sec   74    199 KBytes       
[  5]   1.00-2.00   sec  11.2 MBytes  93831 Kbits/sec   15    187 KBytes       
[  5]   2.00-3.00   sec  11.8 MBytes  99043 Kbits/sec   10    168 KBytes       
[  5]   3.00-4.00   sec  11.2 MBytes  93831 Kbits/sec    9    151 KBytes       
[  5]   4.00-5.00   sec  11.2 MBytes  93829 Kbits/sec    0    201 KBytes       
[  5]   5.00-6.00   sec  12.0 MBytes  100607 Kbits/sec    5    184 KBytes       
[  5]   6.00-7.00   sec  11.2 MBytes  93832 Kbits/sec   10    167 KBytes       
[  5]   7.00-8.00   sec  11.2 MBytes  94351 Kbits/sec    9    150 KBytes       
[  5]   8.00-9.00   sec  11.2 MBytes  93830 Kbits/sec    0    199 KBytes       
[  5]   9.00-10.00  sec  11.8 MBytes  99044 Kbits/sec    9    184 KBytes       
[  5]  10.00-11.00  sec  11.2 MBytes  94349 Kbits/sec    9    167 KBytes       
[  5]  11.00-12.00  sec  11.2 MBytes  93831 Kbits/sec    9    150 KBytes       
[  5]  12.00-13.00  sec  11.8 MBytes  99044 Kbits/sec    0    198 KBytes       
[  5]  13.00-14.00  sec  11.4 MBytes  95395 Kbits/sec    5    182 KBytes       
[  5]  14.00-15.00  sec  11.2 MBytes  93829 Kbits/sec   12    165 KBytes       
[  5]  15.00-16.00  sec  11.8 MBytes  99044 Kbits/sec    9    148 KBytes       
[  5]  16.00-17.00  sec  11.2 MBytes  93831 Kbits/sec    0    198 KBytes       
[  5]  17.00-18.00  sec  11.2 MBytes  93830 Kbits/sec    9    182 KBytes       
[  5]  18.00-19.00  sec  11.8 MBytes  99044 Kbits/sec    9    165 KBytes       
[  5]  19.00-20.00  sec  11.2 MBytes  93830 Kbits/sec    9    148 KBytes       
