Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 53926 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  6.57 MBytes  55143 Kbits/sec    0   2.98 MBytes       
[  5]   1.00-2.00   sec  20.0 MBytes  167768 Kbits/sec  477   2.28 MBytes       
[  5]   2.00-3.00   sec  22.5 MBytes  188744 Kbits/sec    0   2.28 MBytes       
[  5]   3.00-4.00   sec  21.2 MBytes  178258 Kbits/sec   42   2.28 MBytes       
[  5]   4.00-5.00   sec  22.5 MBytes  188744 Kbits/sec    0   2.28 MBytes       
[  5]   5.00-6.00   sec  22.5 MBytes  188744 Kbits/sec    0   2.28 MBytes       
[  5]   6.00-7.00   sec  18.8 MBytes  157282 Kbits/sec  247   1.60 MBytes       
[  5]   7.00-8.00   sec  16.2 MBytes  136317 Kbits/sec    0   1.60 MBytes       
[  5]   8.00-9.00   sec  16.2 MBytes  136317 Kbits/sec    0   1.60 MBytes       
[  5]   9.00-10.00  sec  17.5 MBytes  146785 Kbits/sec    0   1.90 MBytes       
[  5]  10.00-11.00  sec  17.5 MBytes  146816 Kbits/sec  146   1.81 MBytes       
[  5]  11.00-12.00  sec  17.5 MBytes  146800 Kbits/sec    0   1.81 MBytes       
[  5]  12.00-13.00  sec  18.8 MBytes  157287 Kbits/sec    0   2.13 MBytes       
[  5]  13.00-14.00  sec  21.2 MBytes  178258 Kbits/sec    0   2.49 MBytes       
[  5]  14.00-15.00  sec  22.5 MBytes  188749 Kbits/sec  182   2.42 MBytes       
[  5]  15.00-16.00  sec  23.8 MBytes  199203 Kbits/sec    0   2.42 MBytes       
[  5]  16.00-17.00  sec  23.8 MBytes  199250 Kbits/sec    0   2.42 MBytes       
[  5]  17.00-18.00  sec  21.2 MBytes  178258 Kbits/sec  157   2.42 MBytes       
[  5]  18.00-19.00  sec  23.8 MBytes  199229 Kbits/sec    0   2.42 MBytes       
[  5]  19.00-20.00  sec  22.5 MBytes  188712 Kbits/sec  129   2.42 MBytes       
[  5]  20.00-21.00  sec  23.8 MBytes  199263 Kbits/sec    0   2.42 MBytes       
[  5]  21.00-22.00  sec  23.8 MBytes  199235 Kbits/sec    0   2.84 MBytes       
[  5]  22.00-23.00  sec  21.2 MBytes  178253 Kbits/sec  194   2.42 MBytes       
[  5]  23.00-24.00  sec  23.8 MBytes  199229 Kbits/sec    0   2.42 MBytes       
[  5]  24.00-25.00  sec  21.2 MBytes  178240 Kbits/sec  147   2.42 MBytes       
[  5]  25.00-26.00  sec  23.8 MBytes  199250 Kbits/sec    0   2.42 MBytes       
[  5]  26.00-27.00  sec  23.8 MBytes  199213 Kbits/sec    0   2.42 MBytes       
[  5]  27.00-28.00  sec  22.5 MBytes  188759 Kbits/sec  118   2.42 MBytes       
