Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 54816 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  70.3 MBytes  589811 Kbits/sec  455   2.28 MBytes       
[  5]   1.00-2.00   sec  91.2 MBytes  765483 Kbits/sec    0   2.68 MBytes       
[  5]   2.00-3.00   sec  93.8 MBytes  786420 Kbits/sec  154   2.44 MBytes       
[  5]   3.00-4.00   sec  93.8 MBytes  786421 Kbits/sec   68   2.44 MBytes       
[  5]   4.00-5.00   sec  96.2 MBytes  807415 Kbits/sec    0   2.44 MBytes       
[  5]   5.00-6.00   sec  93.8 MBytes  786421 Kbits/sec   45   2.44 MBytes       
[  5]   6.00-7.00   sec  96.2 MBytes  807414 Kbits/sec    0   2.87 MBytes       
[  5]   7.00-8.00   sec  93.8 MBytes  786422 Kbits/sec  245   2.44 MBytes       
[  5]   8.00-9.00   sec  93.8 MBytes  786432 Kbits/sec   81   2.44 MBytes       
[  5]   9.00-10.00  sec  96.2 MBytes  807404 Kbits/sec    0   2.44 MBytes       
[  5]  10.00-11.00  sec  93.8 MBytes  786432 Kbits/sec  108   2.44 MBytes       
[  5]  11.00-12.00  sec  93.8 MBytes  786432 Kbits/sec  148   2.44 MBytes       
[  5]  12.00-13.00  sec  96.2 MBytes  807415 Kbits/sec    0   2.44 MBytes       
[  5]  13.00-14.00  sec  92.5 MBytes  775935 Kbits/sec  203   2.44 MBytes       
[  5]  14.00-15.00  sec  96.2 MBytes  807404 Kbits/sec    0   2.44 MBytes       
[  5]  15.00-16.00  sec  93.8 MBytes  786442 Kbits/sec  213   2.44 MBytes       
[  5]  16.00-17.00  sec  93.8 MBytes  786445 Kbits/sec  192   2.44 MBytes       
[  5]  17.00-18.00  sec  95.0 MBytes  796895 Kbits/sec    0   2.44 MBytes       
[  5]  18.00-19.00  sec  93.8 MBytes  786432 Kbits/sec  116   2.44 MBytes       
[  5]  19.00-20.00  sec  96.2 MBytes  807403 Kbits/sec    0   2.44 MBytes       
[  5]  20.00-21.00  sec  93.8 MBytes  786433 Kbits/sec   73   2.44 MBytes       
[  5]  21.00-22.00  sec  95.0 MBytes  796928 Kbits/sec   63   2.44 MBytes       
[  5]  22.00-23.00  sec  96.2 MBytes  807404 Kbits/sec    0   2.44 MBytes       
[  5]  23.00-24.00  sec  93.8 MBytes  786432 Kbits/sec  106   2.44 MBytes       
[  5]  24.00-25.00  sec  96.2 MBytes  807416 Kbits/sec    0   2.87 MBytes       
[  5]  25.00-26.00  sec  93.8 MBytes  786410 Kbits/sec   67   2.44 MBytes       
[  5]  26.00-27.00  sec  93.8 MBytes  786431 Kbits/sec  214   2.44 MBytes       
[  5]  27.00-28.00  sec  96.2 MBytes  807426 Kbits/sec    0   2.44 MBytes       
[  5]  28.00-29.00  sec  93.8 MBytes  786421 Kbits/sec   96   2.44 MBytes       
[  5]  29.00-30.00  sec  93.8 MBytes  786421 Kbits/sec   68   2.44 MBytes       
[  5]  30.00-31.00  sec  96.2 MBytes  807415 Kbits/sec    0   2.44 MBytes       
[  5]  31.00-32.00  sec  93.8 MBytes  786421 Kbits/sec  101   2.44 MBytes       
[  5]  32.00-33.00  sec  96.2 MBytes  807414 Kbits/sec    0   2.44 MBytes       
[  5]  33.00-34.00  sec  93.8 MBytes  786433 Kbits/sec   94   2.44 MBytes       
[  5]  34.00-35.00  sec  93.8 MBytes  786425 Kbits/sec   81   2.44 MBytes       
[  5]  35.00-36.00  sec  96.2 MBytes  807399 Kbits/sec    0   2.44 MBytes       
[  5]  36.00-37.00  sec  93.8 MBytes  786443 Kbits/sec  239   2.44 MBytes       
[  5]  37.00-38.00  sec  95.0 MBytes  796907 Kbits/sec    0   2.44 MBytes       
[  5]  38.00-39.00  sec  95.0 MBytes  796939 Kbits/sec   96   2.44 MBytes       
[  5]  39.00-40.00  sec  93.8 MBytes  786421 Kbits/sec   60   2.44 MBytes       
[  5]  40.00-41.00  sec  96.2 MBytes  807403 Kbits/sec    0   2.44 MBytes       
[  5]  41.00-42.00  sec  93.8 MBytes  786433 Kbits/sec  226   2.44 MBytes       
[  5]  42.00-43.00  sec  93.8 MBytes  786431 Kbits/sec   79   2.44 MBytes       
