BBR_goodput,CUBIC_goodput,Buffer,Bandwidth,rtt
401765,349153,100,500,150
395953,285992,100,500,150
401790,339822,100,500,150
405691,289276,100,500,150
403007,287934,100,500,150
398065,278346,100,500,200
394563,237073,100,500,200
398340,318032,100,500,200
393350,331106,100,500,200
396521,317397,100,500,200
604699,610927,100,750,5
603844,604073,100,750,5
607445,608096,100,750,5
596534,614485,100,750,5
606967,608765,100,750,5
597585,635926,100,750,10
594522,635813,100,750,10
601099,619648,100,750,10
604326,604254,100,750,10
603341,625391,100,750,10
602722,519615,100,750,25
608086,567744,100,750,25
609567,526676,100,750,25
605583,535460,100,750,25
610274,490386,100,750,25
621474,413815,100,750,50
623444,554493,100,750,50
620067,498921,100,750,50
621362,461061,100,750,50
621029,522944,100,750,50
618987,502372,100,750,75
614613,399395,100,750,75
615007,379878,100,750,75
615381,398553,100,750,75
616582,470460,100,750,75
604615,490672,100,750,100
608959,492042,100,750,100
602496,472092,100,750,100
610222,463324,100,750,100
604316,431572,100,750,100
589227,415691,100,750,150
592471,359484,100,750,150
588895,357860,100,750,150
594351,449011,100,750,150
595929,360117,100,750,150
586867,495070,100,750,200
585922,468726,100,750,200
584100,449422,100,750,200
586380,409942,100,750,200
586481,408499,100,750,200
819071,807788,100,1000,5
814798,811626,100,1000,5
822181,803622,100,1000,5
818036,812857,100,1000,5
813230,806993,100,1000,5
806648,796436,100,1000,10
800812,811271,100,1000,10
806681,807440,100,1000,10
810324,788767,100,1000,10
801570,786122,100,1000,10
823790,650348,100,1000,25
827105,542360,100,1000,25
819700,612321,100,1000,25
829799,617169,100,1000,25
824059,595691,100,1000,25
824972,557201,100,1000,50
823535,556820,100,1000,50
827060,510432,100,1000,50
825651,495962,100,1000,50
821351,556734,100,1000,50
809964,497463,100,1000,75
803276,564727,100,1000,75
811740,559117,100,1000,75
798726,500404,100,1000,75
791917,559302,100,1000,75
787573,477685,100,1000,100
791261,521843,100,1000,100
789279,557839,100,1000,100
795099,561010,100,1000,100
791867,501794,100,1000,100
778397,498821,100,1000,150
788535,546004,100,1000,150
780175,499571,100,1000,150
784886,498017,100,1000,150
779414,561207,100,1000,150
775077,547699,100,1000,200
778060,548269,100,1000,200
774733,498900,100,1000,200
772438,549613,100,1000,200
776982,460438,100,1000,200
9527,9563,10000,10,5
9527,9563,10000,10,5
9527,8574,10000,10,5
9528,8765,10000,10,5
9527,9078,10000,10,5
9467,9561,10000,10,10
9469,9561,10000,10,10
9450,9561,10000,10,10
9478,9561,10000,10,10
9470,9561,10000,10,10
9464,9555,10000,10,25
9463,9554,10000,10,25
9444,9240,10000,10,25
9445,8563,10000,10,25
9482,8728,10000,10,25
9379,9540,10000,10,50
9348,9540,10000,10,50
9395,7992,10000,10,50
9342,8318,10000,10,50
9387,9338,10000,10,50
9317,9167,10000,10,75
9302,9522,10000,10,75
9317,8633,10000,10,75
9326,9123,10000,10,75
9325,9376,10000,10,75
9309,9504,10000,10,100
9352,9504,10000,10,100
9350,9504,10000,10,100
9287,9504,10000,10,100
9354,8024,10000,10,100
9337,8928,10000,10,150
9285,9461,10000,10,150
9314,9461,10000,10,150
9359,8422,10000,10,150
9313,8442,10000,10,150
9179,9130,10000,10,200
9178,8773,10000,10,200
9147,9237,10000,10,200
9211,9417,10000,10,200
9179,9415,10000,10,200
18960,19125,10000,20,5
18862,19054,10000,20,5
18930,19125,10000,20,5
18874,19125,10000,20,5
18905,19125,10000,20,5
18846,19121,10000,20,10
18916,19121,10000,20,10
18850,19121,10000,20,10
18814,19121,10000,20,10
18881,19121,10000,20,10
18883,19103,10000,20,25
18846,19103,10000,20,25
18919,19103,10000,20,25
18953,19103,10000,20,25
18879,19103,10000,20,25
18796,19065,10000,20,50
18749,19063,10000,20,50
18746,19065,10000,20,50
18737,19064,10000,20,50
18701,19065,10000,20,50
18596,19020,10000,20,75
18647,19020,10000,20,75
18787,19018,10000,20,75
18654,19018,10000,20,75
18594,18867,10000,20,75
18746,18726,10000,20,100
18707,18971,10000,20,100
18611,18971,10000,20,100
18613,18973,10000,20,100
18666,18973,10000,20,100
18466,18868,10000,20,150
18416,18868,10000,20,150
18462,18868,10000,20,150
18466,18868,10000,20,150
18465,18868,10000,20,150
18115,18760,10000,20,200
18367,18759,10000,20,200
18241,18229,10000,20,200
18303,18761,10000,20,200
18306,18761,10000,20,200
47125,47809,10000,50,5
47203,47810,10000,50,5
47291,47810,10000,50,5
47211,47809,10000,50,5
47375,47810,10000,50,5
46935,47793,10000,50,10
47099,47793,10000,50,10
47018,47794,10000,50,10
47017,47794,10000,50,10
47102,47794,10000,50,10
46991,47730,10000,50,25
46816,47730,10000,50,25
46808,47731,10000,50,25
46808,47731,10000,50,25
46904,47731,10000,50,25
46760,47604,10000,50,50
46773,47605,10000,50,50
46654,47604,10000,50,50
46777,47605,10000,50,50
46759,47605,10000,50,50
46525,47468,10000,50,75
46650,47468,10000,50,75
46392,47468,10000,50,75
46649,47468,10000,50,75
46390,47469,10000,50,75
46160,47314,10000,50,100
46509,47314,10000,50,100
46409,47315,10000,50,100
46289,47314,10000,50,100
46158,47314,10000,50,100
45758,47004,10000,50,150
46121,47005,10000,50,150
46005,47004,10000,50,150
46106,47004,10000,50,150
45761,47004,10000,50,150
45074,46659,10000,50,200
45387,46659,10000,50,200
45383,46659,10000,50,200
45082,46658,10000,50,200
45245,46659,10000,50,200
94001,94581,10000,100,5
93815,95612,10000,100,5
93766,94592,10000,100,5
93822,95613,10000,100,5
93752,94435,10000,100,5
93594,94571,10000,100,10
93533,94517,10000,100,10
93596,94369,10000,100,10
93689,94502,10000,100,10
93570,94514,10000,100,10
93400,94476,10000,100,25
93402,94391,10000,100,25
93397,94349,10000,100,25
93396,94491,10000,100,25
93403,94326,10000,100,25
93091,95123,10000,100,50
93485,95123,10000,100,50
93289,94152,10000,100,50
92891,93857,10000,100,50
92892,94149,10000,100,50
93227,94484,10000,100,75
93710,94430,10000,100,75
92680,94516,10000,100,75
93191,94497,10000,100,75
93229,94811,10000,100,75
92608,94456,10000,100,100
92843,94400,10000,100,100
92877,94456,10000,100,100
92602,94456,10000,100,100
92905,94455,10000,100,100
91280,93757,10000,100,150
92013,93758,10000,100,150
91258,93756,10000,100,150
91288,93756,10000,100,150
91998,93756,10000,100,150
90488,92969,10000,100,200
