Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 57662 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  23.00-24.00  sec  28.8 MBytes  241172 Kbits/sec    0   6.01 MBytes       
[  5]  24.00-25.00  sec  28.8 MBytes  241171 Kbits/sec    0   6.01 MBytes       
[  5]  25.00-26.00  sec  28.8 MBytes  241172 Kbits/sec    0   6.01 MBytes       
[  5]  26.00-27.00  sec  30.0 MBytes  251661 Kbits/sec    0   6.01 MBytes       
[  5]  27.00-28.00  sec  28.8 MBytes  241172 Kbits/sec    0   6.01 MBytes       
[  5]  28.00-29.00  sec  28.8 MBytes  241175 Kbits/sec    0   6.01 MBytes       
[  5]  29.00-30.00  sec  28.8 MBytes  241169 Kbits/sec    0   6.01 MBytes       
[  5]  30.00-31.00  sec  30.0 MBytes  251688 Kbits/sec    0   6.01 MBytes       
[  5]  31.00-32.00  sec  28.8 MBytes  241145 Kbits/sec    0   6.01 MBytes       
[  5]  32.00-33.00  sec  28.8 MBytes  241204 Kbits/sec    0   6.01 MBytes       
[  5]  33.00-34.00  sec  28.8 MBytes  241173 Kbits/sec    0   6.01 MBytes       
[  5]  34.00-35.00  sec  28.8 MBytes  241165 Kbits/sec    0   6.01 MBytes       
[  5]  35.00-36.00  sec  28.8 MBytes  241173 Kbits/sec    0   6.01 MBytes       
[  5]  36.00-37.00  sec  28.8 MBytes  241147 Kbits/sec    0   6.01 MBytes       
[  5]  37.00-38.00  sec  28.8 MBytes  241172 Kbits/sec    0   6.01 MBytes       
[  5]  38.00-39.00  sec  28.8 MBytes  241172 Kbits/sec    0   6.01 MBytes       
[  5]  39.00-40.00  sec  30.0 MBytes  251659 Kbits/sec    0   6.01 MBytes       
[  5]  40.00-41.00  sec  28.8 MBytes  241198 Kbits/sec    0   6.01 MBytes       
[  5]  41.00-42.00  sec  28.8 MBytes  241147 Kbits/sec    0   6.01 MBytes       
[  5]  42.00-43.00  sec  28.8 MBytes  241172 Kbits/sec    0   6.01 MBytes       
[  5]  43.00-44.00  sec  30.0 MBytes  251692 Kbits/sec    0   6.01 MBytes       
[  5]  44.00-45.00  sec  28.8 MBytes  241172 Kbits/sec    0   6.01 MBytes       
[  5]  45.00-46.00  sec  27.5 MBytes  230656 Kbits/sec    0   6.01 MBytes       
[  5]  46.00-47.00  sec  28.8 MBytes  241172 Kbits/sec    0   6.01 MBytes       
[  5]  47.00-48.00  sec  30.0 MBytes  251692 Kbits/sec    0   6.01 MBytes       
[  5]  48.00-49.00  sec  27.5 MBytes  230652 Kbits/sec    0   6.01 MBytes       
[  5]  49.00-50.00  sec  30.0 MBytes  251664 Kbits/sec    0   6.01 MBytes       
[  5]  50.00-51.00  sec  28.8 MBytes  241172 Kbits/sec    0   6.01 MBytes       
[  5]  51.00-52.00  sec  28.8 MBytes  241172 Kbits/sec    0   6.01 MBytes       
[  5]  52.00-53.00  sec  30.0 MBytes  251692 Kbits/sec    0   6.01 MBytes       
[  5]  53.00-54.00  sec  28.8 MBytes  241165 Kbits/sec    0   6.01 MBytes       
[  5]  54.00-55.00  sec  28.8 MBytes  241148 Kbits/sec    0   6.01 MBytes       
[  5]  55.00-56.00  sec  28.8 MBytes  241172 Kbits/sec    0   6.01 MBytes       
[  5]  56.00-57.00  sec  28.8 MBytes  241177 Kbits/sec    0   6.01 MBytes       
[  5]  57.00-58.00  sec  28.8 MBytes  241192 Kbits/sec    0   6.01 MBytes       
[  5]  58.00-59.00  sec  28.8 MBytes  241148 Kbits/sec    0   6.01 MBytes       
[  5]  59.00-60.00  sec  28.8 MBytes  241197 Kbits/sec    0   6.01 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  1.67 GBytes  239567 Kbits/sec    0             sender
[  5]   0.00-60.10  sec  1.67 GBytes  239166 Kbits/sec                  receiver

iperf Done.
