Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 54848 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  29.1 MBytes  244491 Kbits/sec  313   2.55 MBytes       
[  5]   1.00-2.00   sec  50.0 MBytes  419430 Kbits/sec    0   2.55 MBytes       
[  5]   2.00-3.00   sec  50.0 MBytes  419430 Kbits/sec    0   2.55 MBytes       
[  5]   3.00-4.00   sec  56.2 MBytes  471859 Kbits/sec    0   3.00 MBytes       
[  5]   4.00-5.00   sec  57.5 MBytes  482345 Kbits/sec    0   3.00 MBytes       
[  5]   5.00-6.00   sec  51.2 MBytes  429916 Kbits/sec    0   2.56 MBytes       
[  5]   6.00-7.00   sec  50.0 MBytes  419430 Kbits/sec    0   2.56 MBytes       
[  5]   7.00-8.00   sec  50.0 MBytes  419430 Kbits/sec    0   2.56 MBytes       
[  5]   8.00-9.00   sec  55.0 MBytes  461375 Kbits/sec    0   3.00 MBytes       
[  5]   9.00-10.00  sec  57.5 MBytes  482345 Kbits/sec    0   3.00 MBytes       
[  5]  10.00-11.00  sec  57.5 MBytes  482345 Kbits/sec    0   3.00 MBytes       
[  5]  11.00-12.00  sec  57.5 MBytes  482345 Kbits/sec    0   3.00 MBytes       
[  5]  12.00-13.00  sec  57.5 MBytes  482345 Kbits/sec    0   3.00 MBytes       
[  5]  13.00-14.00  sec  47.5 MBytes  398458 Kbits/sec    0   2.56 MBytes       
[  5]  14.00-15.00  sec  50.0 MBytes  419430 Kbits/sec    0   2.56 MBytes       
[  5]  15.00-16.00  sec  51.2 MBytes  429916 Kbits/sec    0   2.56 MBytes       
[  5]  16.00-17.00  sec  53.8 MBytes  450888 Kbits/sec    0   3.00 MBytes       
[  5]  17.00-18.00  sec  57.5 MBytes  482345 Kbits/sec    0   3.00 MBytes       
[  5]  18.00-19.00  sec  57.5 MBytes  482345 Kbits/sec    0   3.00 MBytes       
[  5]  19.00-20.00  sec  57.5 MBytes  482346 Kbits/sec    0   3.00 MBytes       
[  5]  20.00-21.00  sec  57.5 MBytes  482345 Kbits/sec    0   3.00 MBytes       
[  5]  21.00-22.00  sec  45.0 MBytes  377487 Kbits/sec    0   2.56 MBytes       
[  5]  22.00-23.00  sec  50.0 MBytes  419430 Kbits/sec    0   2.56 MBytes       
[  5]  23.00-24.00  sec  53.8 MBytes  450889 Kbits/sec    0   3.00 MBytes       
[  5]  24.00-25.00  sec  57.5 MBytes  482344 Kbits/sec    0   3.00 MBytes       
[  5]  25.00-26.00  sec  57.5 MBytes  482346 Kbits/sec    0   3.00 MBytes       
[  5]  26.00-27.00  sec  57.5 MBytes  482345 Kbits/sec    0   3.00 MBytes       
[  5]  27.00-28.00  sec  57.5 MBytes  482345 Kbits/sec    0   3.00 MBytes       
