BBR_goodput
1079184
20985
272577
1048857
807404
828373
849348
796917
807404
670961
1006823
807405
650001
1017299
796918
807406
838859
765462
786431
807404
660600
954205
796919
650068
985735
786433
806911
744941
765461
681484
964817
765460
765462
702484
901856
754973
807404
660603
932878
755263
618552
985833
754975
775945
639633
964689
754974
765463
440401
1142948
754978
775943
796919
744487
754975
796918
650118
922745
754975
650035
779264
761274
