CUBIC_goodput
1079186
10488
31472
31449
41954
31455
31457
41946
31455
31451
41951
31453
41949
31453
41949
41943
41943
52432
52429
52426
73410
73395
83882
94372
115344
125837
104858
104852
115348
115338
125829
125829
136320
136323
125818
136315
136315
136320
136317
136316
136320
125817
146814
136310
136308
146806
146795
157293
157280
167772
178259
199244
188730
157287
115347
94376
62911
62915
62914
73404
113071
94561
