Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 41452 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  23.6 MBytes  198249 Kbits/sec  1115   6.77 MBytes       
[  5]   1.00-2.00   sec  57.5 MBytes  482345 Kbits/sec    0   6.45 MBytes       
[  5]   2.00-3.00   sec  57.5 MBytes  482330 Kbits/sec    0   6.45 MBytes       
[  5]   3.00-4.00   sec  56.2 MBytes  471867 Kbits/sec    0   6.45 MBytes       
[  5]   4.00-5.00   sec  57.5 MBytes  482389 Kbits/sec    0   6.45 MBytes       
[  5]   5.00-6.00   sec  56.2 MBytes  471823 Kbits/sec    0   6.45 MBytes       
[  5]   6.00-7.00   sec  57.5 MBytes  482344 Kbits/sec    0   6.46 MBytes       
[  5]   7.00-8.00   sec  57.5 MBytes  482367 Kbits/sec    0   6.46 MBytes       
[  5]   8.00-9.00   sec  56.2 MBytes  471840 Kbits/sec    0   6.45 MBytes       
[  5]   9.00-10.00  sec  57.5 MBytes  482341 Kbits/sec    0   6.45 MBytes       
[  5]  10.00-11.00  sec  41.2 MBytes  345945 Kbits/sec    0   6.48 MBytes       
[  5]  11.00-12.00  sec  55.0 MBytes  461486 Kbits/sec    0   6.46 MBytes       
[  5]  12.00-13.00  sec  57.5 MBytes  482344 Kbits/sec    0   6.47 MBytes       
[  5]  13.00-14.00  sec  57.5 MBytes  482371 Kbits/sec    0   6.47 MBytes       
[  5]  14.00-15.00  sec  56.2 MBytes  471837 Kbits/sec    0   6.47 MBytes       
[  5]  15.00-16.00  sec  57.5 MBytes  482348 Kbits/sec    0   6.47 MBytes       
[  5]  16.00-17.00  sec  57.5 MBytes  482358 Kbits/sec    0   6.47 MBytes       
[  5]  17.00-18.00  sec  56.2 MBytes  471840 Kbits/sec    0   6.47 MBytes       
[  5]  18.00-19.00  sec  57.5 MBytes  482354 Kbits/sec    0   6.47 MBytes       
[  5]  19.00-20.00  sec  56.2 MBytes  471845 Kbits/sec    0   6.47 MBytes       
[  5]  20.00-21.00  sec  57.5 MBytes  482357 Kbits/sec    0   6.47 MBytes       
[  5]  21.00-22.00  sec  40.0 MBytes  335543 Kbits/sec    0   6.52 MBytes       
[  5]  22.00-23.00  sec  57.5 MBytes  482356 Kbits/sec    0   6.47 MBytes       
[  5]  23.00-24.00  sec  56.2 MBytes  471850 Kbits/sec    0   6.47 MBytes       
[  5]  24.00-25.00  sec  57.5 MBytes  482347 Kbits/sec    0   6.47 MBytes       
[  5]  25.00-26.00  sec  57.5 MBytes  482191 Kbits/sec    0   6.47 MBytes       
[  5]  26.00-27.00  sec  56.2 MBytes  472006 Kbits/sec    0   6.47 MBytes       
[  5]  27.00-28.00  sec  57.5 MBytes  482381 Kbits/sec    0   6.47 MBytes       
[  5]  28.00-29.00  sec  56.2 MBytes  471825 Kbits/sec    0   6.47 MBytes       
[  5]  29.00-30.00  sec  57.5 MBytes  482346 Kbits/sec    0   6.47 MBytes       
[  5]  30.00-31.00  sec  57.5 MBytes  482355 Kbits/sec    0   6.47 MBytes       
[  5]  31.00-32.00  sec  56.2 MBytes  471850 Kbits/sec    0   6.48 MBytes       
[  5]  32.00-33.00  sec  57.5 MBytes  482363 Kbits/sec    0   6.47 MBytes       
[  5]  33.00-34.00  sec  57.5 MBytes  482323 Kbits/sec    0   6.47 MBytes       
[  5]  34.00-35.00  sec  56.2 MBytes  471854 Kbits/sec    0   6.47 MBytes       
[  5]  35.00-36.00  sec  57.5 MBytes  482354 Kbits/sec    0   6.47 MBytes       
[  5]  36.00-37.00  sec  57.5 MBytes  482344 Kbits/sec    0   5.66 KBytes       
[  5]  37.00-38.00  sec  38.8 MBytes  325060 Kbits/sec    0   6.47 MBytes       
[  5]  38.00-39.00  sec  57.5 MBytes  482351 Kbits/sec    0   6.47 MBytes       
[  5]  39.00-40.00  sec  56.2 MBytes  471850 Kbits/sec    0   6.47 MBytes       
[  5]  40.00-41.00  sec  57.5 MBytes  482337 Kbits/sec    0   6.47 MBytes       
[  5]  41.00-42.00  sec  57.5 MBytes  482355 Kbits/sec    0   6.48 MBytes       
[  5]  42.00-43.00  sec  56.2 MBytes  471867 Kbits/sec    0   6.47 MBytes       
[  5]  43.00-44.00  sec  57.5 MBytes  482328 Kbits/sec    0   6.47 MBytes       
[  5]  44.00-45.00  sec  57.5 MBytes  482353 Kbits/sec    0   6.47 MBytes       
[  5]  45.00-46.00  sec  56.2 MBytes  471861 Kbits/sec    0   6.48 MBytes       
[  5]  46.00-47.00  sec  57.5 MBytes  482345 Kbits/sec    0   6.48 MBytes       
[  5]  47.00-48.00  sec  57.5 MBytes  482350 Kbits/sec    0   6.48 MBytes       
