Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 40078 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  27.00-28.00  sec  7.50 MBytes  62921 Kbits/sec    0   2.31 MBytes       
[  5]  28.00-29.00  sec  5.00 MBytes  41941 Kbits/sec  152   2.32 MBytes       
[  5]  29.00-30.00  sec  5.00 MBytes  41937 Kbits/sec  148   1.14 MBytes       
[  5]  30.00-31.00  sec  6.25 MBytes  52436 Kbits/sec    4   2.31 MBytes       
[  5]  31.00-32.00  sec  5.00 MBytes  41939 Kbits/sec  152   2.32 MBytes       
[  5]  32.00-33.00  sec  6.25 MBytes  52436 Kbits/sec   32   1.31 MBytes       
[  5]  33.00-34.00  sec  5.00 MBytes  41937 Kbits/sec  120   2.31 MBytes       
[  5]  34.00-35.00  sec  6.25 MBytes  52436 Kbits/sec  152   2.31 MBytes       
[  5]  35.00-36.00  sec  3.75 MBytes  31444 Kbits/sec    0   2.32 MBytes       
[  5]  36.00-37.00  sec  5.00 MBytes  41959 Kbits/sec    0   2.29 MBytes       
[  5]  37.00-38.00  sec  6.25 MBytes  52432 Kbits/sec  144   2.32 MBytes       
[  5]  38.00-39.00  sec  3.75 MBytes  31449 Kbits/sec  152   1.14 MBytes       
[  5]  39.00-40.00  sec  6.25 MBytes  52434 Kbits/sec    0   2.32 MBytes       
[  5]  40.00-41.00  sec  6.25 MBytes  52437 Kbits/sec  152   2.32 MBytes       
[  5]  41.00-42.00  sec  5.00 MBytes  41936 Kbits/sec   60   1.26 MBytes       
[  5]  42.00-43.00  sec  6.25 MBytes  52434 Kbits/sec   92   2.31 MBytes       
[  5]  43.00-44.00  sec  5.00 MBytes  41946 Kbits/sec  152   2.32 MBytes       
[  5]  44.00-45.00  sec  6.25 MBytes  52427 Kbits/sec    0   2.31 MBytes       
[  5]  45.00-46.00  sec  5.00 MBytes  41937 Kbits/sec  152   2.32 MBytes       
[  5]  46.00-47.00  sec  6.25 MBytes  52436 Kbits/sec  152   2.32 MBytes       
[  5]  47.00-48.00  sec  3.75 MBytes  31445 Kbits/sec    0   2.32 MBytes       
[  5]  48.00-49.00  sec  3.75 MBytes  31461 Kbits/sec  154   1.33 MBytes       
[  5]  49.00-50.00  sec  6.25 MBytes  52433 Kbits/sec    0   2.32 MBytes       
[  5]  50.00-51.00  sec  6.25 MBytes  52438 Kbits/sec  152   2.32 MBytes       
[  5]  51.00-52.00  sec  5.00 MBytes  41937 Kbits/sec  124   1.18 MBytes       
[  5]  52.00-53.00  sec  6.25 MBytes  52437 Kbits/sec   28   2.31 MBytes       
[  5]  53.00-54.00  sec  5.00 MBytes  41944 Kbits/sec  152   2.32 MBytes       
[  5]  54.00-55.00  sec  6.25 MBytes  52426 Kbits/sec    8   1.34 MBytes       
[  5]  55.00-56.00  sec  5.00 MBytes  41940 Kbits/sec  144   2.31 MBytes       
[  5]  56.00-57.00  sec  6.25 MBytes  52433 Kbits/sec  152   2.32 MBytes       
[  5]  57.00-58.00  sec  5.00 MBytes  41944 Kbits/sec    0   2.32 MBytes       
[  5]  58.00-59.00  sec  6.25 MBytes  52429 Kbits/sec  152   5.66 KBytes       
[  5]  59.00-60.00  sec  2.50 MBytes  20969 Kbits/sec    0   2.31 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   316 MBytes  44125 Kbits/sec  8582             sender
[  5]   0.00-60.20  sec   314 MBytes  43802 Kbits/sec                  receiver

iperf Done.
