Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 36550 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  5.61 MBytes  47017 Kbits/sec  138   2.01 MBytes       
[  5]   1.00-2.00   sec  7.50 MBytes  62914 Kbits/sec  3097   2.42 MBytes       
[  5]   2.00-3.00   sec  11.2 MBytes  94371 Kbits/sec  180   2.38 MBytes       
[  5]   3.00-4.00   sec  11.2 MBytes  94379 Kbits/sec  330   1.16 MBytes       
[  5]   4.00-5.00   sec  11.2 MBytes  94366 Kbits/sec  177   2.36 MBytes       
[  5]   5.00-6.00   sec  11.2 MBytes  94369 Kbits/sec  170   2.35 MBytes       
[  5]   6.00-7.00   sec  11.2 MBytes  94375 Kbits/sec  167   2.38 MBytes       
[  5]   7.00-8.00   sec  11.2 MBytes  94375 Kbits/sec  345   1.68 MBytes       
[  5]   8.00-9.00   sec  11.2 MBytes  94373 Kbits/sec  171   2.36 MBytes       
[  5]   9.00-10.00  sec  11.2 MBytes  94371 Kbits/sec  170   2.35 MBytes       
[  5]  10.00-11.00  sec  11.2 MBytes  94371 Kbits/sec  217   1.32 MBytes       
[  5]  11.00-12.00  sec  7.50 MBytes  62892 Kbits/sec  120   2.35 MBytes       
[  5]  12.00-13.00  sec  11.2 MBytes  94407 Kbits/sec  171   2.38 MBytes       
[  5]  13.00-14.00  sec  10.0 MBytes  83889 Kbits/sec  350   1.46 MBytes       
[  5]  14.00-15.00  sec  11.2 MBytes  94364 Kbits/sec  170   2.36 MBytes       
[  5]  15.00-16.00  sec  11.2 MBytes  94371 Kbits/sec  170   2.35 MBytes       
[  5]  16.00-17.00  sec  11.2 MBytes  94373 Kbits/sec  167   2.35 MBytes       
[  5]  17.00-18.00  sec  11.2 MBytes  94376 Kbits/sec  340   2.36 MBytes       
[  5]  18.00-19.00  sec  11.2 MBytes  94369 Kbits/sec  167   2.36 MBytes       
[  5]  19.00-20.00  sec  11.2 MBytes  94367 Kbits/sec  170   2.35 MBytes       
[  5]  20.00-21.00  sec  11.2 MBytes  94376 Kbits/sec  321   1.17 MBytes       
[  5]  21.00-22.00  sec  11.2 MBytes  94373 Kbits/sec  190   2.36 MBytes       
[  5]  22.00-23.00  sec  7.50 MBytes  62915 Kbits/sec   45   2.33 MBytes       
[  5]  23.00-24.00  sec  11.2 MBytes  94371 Kbits/sec  162   2.36 MBytes       
[  5]  24.00-25.00  sec  11.2 MBytes  94372 Kbits/sec  170   2.37 MBytes       
[  5]  25.00-26.00  sec  10.0 MBytes  83880 Kbits/sec  337   1.15 MBytes       
[  5]  26.00-27.00  sec  11.2 MBytes  94374 Kbits/sec  170   2.36 MBytes       
[  5]  27.00-28.00  sec  11.2 MBytes  94373 Kbits/sec  170   2.35 MBytes       
[  5]  28.00-29.00  sec  11.2 MBytes  94373 Kbits/sec  162   2.35 MBytes       
[  5]  29.00-30.00  sec  11.2 MBytes  94376 Kbits/sec  334   1.76 MBytes       
[  5]  30.00-31.00  sec  11.2 MBytes  94371 Kbits/sec  170   2.36 MBytes       
[  5]  31.00-32.00  sec  11.2 MBytes  94370 Kbits/sec  175   2.36 MBytes       
[  5]  32.00-33.00  sec  11.2 MBytes  94369 Kbits/sec  170   5.66 KBytes       
[  5]  33.00-34.00  sec  6.25 MBytes  52434 Kbits/sec   72   1.27 MBytes       
[  5]  34.00-35.00  sec  12.5 MBytes  104855 Kbits/sec  270   2.37 MBytes       
[  5]  35.00-36.00  sec  11.2 MBytes  94373 Kbits/sec  170   2.36 MBytes       
[  5]  36.00-37.00  sec  11.2 MBytes  94346 Kbits/sec  170   2.36 MBytes       
[  5]  37.00-38.00  sec  10.0 MBytes  83906 Kbits/sec  351   1.27 MBytes       
[  5]  38.00-39.00  sec  11.2 MBytes  94367 Kbits/sec  175   2.36 MBytes       
[  5]  39.00-40.00  sec  11.2 MBytes  94372 Kbits/sec  171   2.36 MBytes       
[  5]  40.00-41.00  sec  11.2 MBytes  94374 Kbits/sec  170   2.34 MBytes       
[  5]  41.00-42.00  sec  11.2 MBytes  94374 Kbits/sec  337   2.36 MBytes       
