Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 39690 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  13.7 MBytes  114663 Kbits/sec  874    659 KBytes       
[  5]   1.00-2.00   sec  11.2 MBytes  94371 Kbits/sec  105    659 KBytes       
[  5]   2.00-3.00   sec  11.2 MBytes  94374 Kbits/sec  105    662 KBytes       
[  5]   3.00-4.00   sec  11.2 MBytes  94371 Kbits/sec  110    332 KBytes       
[  5]   4.00-5.00   sec  11.2 MBytes  94371 Kbits/sec   95    327 KBytes       
[  5]   5.00-6.00   sec  11.2 MBytes  94369 Kbits/sec   90    653 KBytes       
[  5]   6.00-7.00   sec  11.2 MBytes  94379 Kbits/sec   90    670 KBytes       
[  5]   7.00-8.00   sec  11.2 MBytes  94362 Kbits/sec  100    659 KBytes       
[  5]   8.00-9.00   sec  12.5 MBytes  104862 Kbits/sec   95    656 KBytes       
[  5]   9.00-10.00  sec  11.2 MBytes  94372 Kbits/sec  105    659 KBytes       
[  5]  10.00-11.00  sec  8.75 MBytes  73400 Kbits/sec   90    648 KBytes       
[  5]  11.00-12.00  sec  11.2 MBytes  94373 Kbits/sec  100    667 KBytes       
[  5]  12.00-13.00  sec  11.2 MBytes  94370 Kbits/sec   95    659 KBytes       
[  5]  13.00-14.00  sec  11.2 MBytes  94370 Kbits/sec   95    662 KBytes       
[  5]  14.00-15.00  sec  11.2 MBytes  94372 Kbits/sec  110    656 KBytes       
[  5]  15.00-16.00  sec  11.2 MBytes  94369 Kbits/sec   90    659 KBytes       
[  5]  16.00-17.00  sec  11.2 MBytes  94370 Kbits/sec  100    659 KBytes       
[  5]  17.00-18.00  sec  11.2 MBytes  94372 Kbits/sec  100    327 KBytes       
[  5]  18.00-19.00  sec  12.5 MBytes  104865 Kbits/sec   80    659 KBytes       
[  5]  19.00-20.00  sec  11.2 MBytes  94375 Kbits/sec  100    650 KBytes       
[  5]  20.00-21.00  sec  8.75 MBytes  73397 Kbits/sec   80    659 KBytes       
[  5]  21.00-22.00  sec  11.2 MBytes  94376 Kbits/sec  100    662 KBytes       
[  5]  22.00-23.00  sec  11.2 MBytes  94366 Kbits/sec  110    659 KBytes       
[  5]  23.00-24.00  sec  11.2 MBytes  94368 Kbits/sec   95    659 KBytes       
[  5]  24.00-25.00  sec  11.2 MBytes  94373 Kbits/sec   95    659 KBytes       
[  5]  25.00-26.00  sec  11.2 MBytes  94370 Kbits/sec  120    338 KBytes       
[  5]  26.00-27.00  sec  12.5 MBytes  104863 Kbits/sec   90    327 KBytes       
[  5]  27.00-28.00  sec  11.2 MBytes  94371 Kbits/sec   90    650 KBytes       
[  5]  28.00-29.00  sec  11.2 MBytes  94373 Kbits/sec   95    667 KBytes       
[  5]  29.00-30.00  sec  11.2 MBytes  94371 Kbits/sec   95    659 KBytes       
[  5]  30.00-31.00  sec  10.0 MBytes  83875 Kbits/sec  100   5.66 KBytes       
[  5]  31.00-32.00  sec  10.0 MBytes  83896 Kbits/sec   80    659 KBytes       
[  5]  32.00-33.00  sec  11.2 MBytes  94371 Kbits/sec  115    670 KBytes       
[  5]  33.00-34.00  sec  11.2 MBytes  94371 Kbits/sec   95    656 KBytes       
[  5]  34.00-35.00  sec  11.2 MBytes  94373 Kbits/sec   90    659 KBytes       
[  5]  35.00-36.00  sec  12.5 MBytes  104861 Kbits/sec  100    659 KBytes       
[  5]  36.00-37.00  sec  11.2 MBytes  94372 Kbits/sec  100    659 KBytes       
[  5]  37.00-38.00  sec  11.2 MBytes  94374 Kbits/sec  100    659 KBytes       
[  5]  38.00-39.00  sec  11.2 MBytes  94370 Kbits/sec   95    313 KBytes       
[  5]  39.00-40.00  sec  11.2 MBytes  94370 Kbits/sec  100    310 KBytes       
[  5]  40.00-41.00  sec  11.2 MBytes  94371 Kbits/sec   80    645 KBytes       
[  5]  41.00-42.00  sec  11.2 MBytes  94372 Kbits/sec  100    670 KBytes       
[  5]  42.00-43.00  sec  8.75 MBytes  73398 Kbits/sec   90    662 KBytes       
[  5]  43.00-44.00  sec  11.2 MBytes  94369 Kbits/sec   94    318 KBytes       
[  5]  44.00-45.00  sec  12.5 MBytes  104865 Kbits/sec   98    329 KBytes       
[  5]  45.00-46.00  sec  11.2 MBytes  94372 Kbits/sec   87    650 KBytes       
[  5]  46.00-47.00  sec  11.2 MBytes  94374 Kbits/sec   95    670 KBytes       
[  5]  47.00-48.00  sec  11.2 MBytes  94376 Kbits/sec   95    659 KBytes       
[  5]  48.00-49.00  sec  11.2 MBytes  94365 Kbits/sec  100    656 KBytes       
[  5]  49.00-50.00  sec  11.2 MBytes  94372 Kbits/sec  110    656 KBytes       
[  5]  50.00-51.00  sec  11.2 MBytes  94369 Kbits/sec   95    659 KBytes       
[  5]  51.00-52.00  sec  11.2 MBytes  94370 Kbits/sec  110    659 KBytes       
[  5]  52.00-53.00  sec  10.0 MBytes  83891 Kbits/sec   61    662 KBytes       
[  5]  53.00-54.00  sec  11.2 MBytes  94376 Kbits/sec  105    662 KBytes       
[  5]  54.00-55.00  sec  11.2 MBytes  94368 Kbits/sec   95    659 KBytes       
[  5]  55.00-56.00  sec  11.2 MBytes  94371 Kbits/sec   95    662 KBytes       
[  5]  56.00-57.00  sec  11.2 MBytes  94373 Kbits/sec   95    307 KBytes       
[  5]  57.00-58.00  sec  11.2 MBytes  94372 Kbits/sec   85    327 KBytes       
[  5]  58.00-59.00  sec  11.2 MBytes  94366 Kbits/sec   90    653 KBytes       
[  5]  59.00-60.00  sec  11.2 MBytes  94374 Kbits/sec  110    670 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   672 MBytes  94011 Kbits/sec  6564             sender
[  5]   0.00-60.05  sec   670 MBytes  93599 Kbits/sec                  receiver

iperf Done.
