Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 49370 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  39.00-40.00  sec  7.50 MBytes  62918 Kbits/sec    0   1.59 MBytes       
[  5]  40.00-41.00  sec  8.75 MBytes  73405 Kbits/sec    0   1.59 MBytes       
[  5]  41.00-42.00  sec  7.50 MBytes  62914 Kbits/sec    0   1.60 MBytes       
[  5]  42.00-43.00  sec  6.25 MBytes  52427 Kbits/sec    0   1.39 MBytes       
[  5]  43.00-44.00  sec  7.50 MBytes  62918 Kbits/sec    0   1.39 MBytes       
[  5]  44.00-45.00  sec  6.25 MBytes  52425 Kbits/sec    0   1.64 MBytes       
[  5]  45.00-46.00  sec  8.75 MBytes  73406 Kbits/sec    0   1.68 MBytes       
[  5]  46.00-47.00  sec  8.75 MBytes  73399 Kbits/sec    0   2.40 MBytes       
[  5]  47.00-48.00  sec  7.50 MBytes  62916 Kbits/sec  247   2.04 MBytes       
[  5]  48.00-49.00  sec  10.0 MBytes  83886 Kbits/sec    0   2.04 MBytes       
[  5]  49.00-50.00  sec  10.0 MBytes  83886 Kbits/sec    0   2.39 MBytes       
[  5]  50.00-51.00  sec  7.50 MBytes  62914 Kbits/sec  296   2.01 MBytes       
[  5]  51.00-52.00  sec  10.0 MBytes  83887 Kbits/sec    0   2.01 MBytes       
[  5]  52.00-53.00  sec  10.0 MBytes  83886 Kbits/sec    0   2.01 MBytes       
[  5]  53.00-54.00  sec  8.75 MBytes  73390 Kbits/sec   36   2.39 MBytes       
[  5]  54.00-55.00  sec  7.50 MBytes  62920 Kbits/sec  253   2.03 MBytes       
[  5]  55.00-56.00  sec  10.0 MBytes  83887 Kbits/sec    0   2.03 MBytes       
[  5]  56.00-57.00  sec  10.0 MBytes  83886 Kbits/sec    0   2.39 MBytes       
[  5]  57.00-58.00  sec  7.50 MBytes  62895 Kbits/sec  282   2.04 MBytes       
[  5]  58.00-59.00  sec  10.0 MBytes  83913 Kbits/sec    0   2.04 MBytes       
[  5]  59.00-60.00  sec  10.0 MBytes  83885 Kbits/sec    0   2.04 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   508 MBytes  71026 Kbits/sec  3951             sender
[  5]   0.00-60.00  sec   507 MBytes  70929 Kbits/sec                  receiver

iperf Done.
