BBR_latency,CUBIC_latency,Buffer,Bandwidth,rtt
3.50,3.52,100,250,200
3.53,3.53,100,250,200
3.51,3.53,100,250,200
1.74,1.75,100,500,5
1.74,1.75,100,500,5
1.74,1.75,100,500,5
1.75,1.75,100,500,5
1.75,1.75,100,500,5
1.75,1.75,100,500,10
1.74,1.75,100,500,10
1.76,1.75,100,500,10
1.76,1.75,100,500,10
1.74,1.75,100,500,10
1.74,1.75,100,500,25
1.74,1.74,100,500,25
1.74,1.75,100,500,25
1.74,1.75,100,500,25
1.75,1.75,100,500,25
1.74,1.75,100,500,50
1.74,1.75,100,500,50
1.74,1.75,100,500,50
1.75,1.75,100,500,50
1.75,1.75,100,500,50
1.73,1.75,100,500,75
1.76,1.75,100,500,75
1.74,1.75,100,500,75
1.74,1.75,100,500,75
1.75,1.75,100,500,75
1.73,1.75,100,500,100
1.74,1.75,100,500,100
1.75,1.75,100,500,100
1.75,1.75,100,500,100
1.75,1.75,100,500,100
1.74,1.75,100,500,150
1.74,1.75,100,500,150
1.75,1.75,100,500,150
1.74,1.75,100,500,150
1.74,1.75,100,500,150
1.75,1.74,100,500,200
1.74,1.75,100,500,200
1.74,1.75,100,500,200
1.74,1.75,100,500,200
1.74,1.75,100,500,200
1.16,1.16,100,750,5
1.16,1.16,100,750,5
1.16,1.17,100,750,5
1.16,1.16,100,750,5
1.16,1.16,100,750,5
1.16,1.16,100,750,10
1.16,1.16,100,750,10
1.16,1.17,100,750,10
1.16,1.17,100,750,10
1.16,1.16,100,750,10
1.16,1.16,100,750,25
1.16,1.17,100,750,25
1.16,1.16,100,750,25
1.16,1.16,100,750,25
1.16,1.17,100,750,25
1.16,1.17,100,750,50
1.16,1.16,100,750,50
1.16,1.16,100,750,50
1.16,1.16,100,750,50
1.16,1.17,100,750,50
1.17,1.16,100,750,75
1.16,1.17,100,750,75
1.16,1.16,100,750,75
1.16,1.17,100,750,75
1.16,1.16,100,750,75
1.16,1.16,100,750,100
1.16,1.16,100,750,100
1.16,1.16,100,750,100
1.16,1.16,100,750,100
1.16,1.16,100,750,100
1.16,1.16,100,750,150
1.16,1.16,100,750,150
1.17,1.16,100,750,150
1.16,1.16,100,750,150
1.16,1.16,100,750,150
1.16,1.16,100,750,200
1.16,1.16,100,750,200
1.16,1.16,100,750,200
1.17,1.16,100,750,200
1.16,1.16,100,750,200
0.88,0.87,100,1000,5
0.87,0.87,100,1000,5
0.87,0.87,100,1000,5
0.87,0.88,100,1000,5
0.87,0.87,100,1000,5
0.87,0.87,100,1000,10
0.87,0.88,100,1000,10
0.87,0.87,100,1000,10
0.87,0.87,100,1000,10
0.87,0.87,100,1000,10
0.87,0.87,100,1000,25
0.87,0.87,100,1000,25
0.87,0.87,100,1000,25
0.88,0.87,100,1000,25
