iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 04:09:23 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 46008 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   131 MBytes  1100068 Kbits/sec    0    287 KBytes       
[  4]   1.00-2.00   sec  2.50 MBytes  20971 Kbits/sec    0    404 KBytes       
[  4]   2.00-3.00   sec  2.50 MBytes  20973 Kbits/sec    0    520 KBytes       
[  4]   3.00-4.00   sec  2.50 MBytes  20974 Kbits/sec    0    638 KBytes       
[  4]   4.00-5.00   sec  1.25 MBytes  10476 Kbits/sec    0    754 KBytes       
[  4]   5.00-6.00   sec  2.50 MBytes  20988 Kbits/sec    0    871 KBytes       
[  4]   6.00-7.00   sec  2.50 MBytes  20969 Kbits/sec    0    987 KBytes       
[  4]   7.00-8.00   sec  2.50 MBytes  20976 Kbits/sec    0   1.08 MBytes       
[  4]   8.00-9.00   sec  2.50 MBytes  20973 Kbits/sec    0   1.19 MBytes       
[  4]   9.00-10.00  sec  2.50 MBytes  20972 Kbits/sec    0   1.31 MBytes       
[  4]  10.00-11.00  sec  1.25 MBytes  10477 Kbits/sec    0   1.42 MBytes       
[  4]  11.00-12.00  sec  2.50 MBytes  20984 Kbits/sec    0   1.53 MBytes       
[  4]  12.00-13.00  sec  2.50 MBytes  20974 Kbits/sec    0   1.65 MBytes       
[  4]  13.00-14.00  sec  2.50 MBytes  20975 Kbits/sec    0   1.76 MBytes       
[  4]  14.00-15.00  sec  2.50 MBytes  20971 Kbits/sec    0   1.88 MBytes       
