iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 07:31:07 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 46848 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   135 MBytes  1131752 Kbits/sec    0   2.60 MBytes       
[  4]  25.00-26.00  sec  11.2 MBytes  94364 Kbits/sec    0   1.79 MBytes       
[  4]  26.00-27.00  sec  11.2 MBytes  94380 Kbits/sec    0   1.80 MBytes       
[  4]  27.00-28.00  sec  11.2 MBytes  94371 Kbits/sec    0   1.78 MBytes       
[  4]  28.00-29.00  sec  11.2 MBytes  94369 Kbits/sec    0   1.80 MBytes       
[  4]  29.00-30.00  sec  11.2 MBytes  94377 Kbits/sec    0   1.78 MBytes       
[  4]  30.00-31.00  sec  11.2 MBytes  94366 Kbits/sec    0   1.78 MBytes       
[  4]  31.00-32.00  sec  8.75 MBytes  73401 Kbits/sec    0   1.78 MBytes       
[  4]  32.00-33.00  sec  11.2 MBytes  94372 Kbits/sec    0   1.78 MBytes       
[  4]  33.00-34.00  sec  11.2 MBytes  94371 Kbits/sec    0   1.78 MBytes       
[  4]  34.00-35.00  sec  11.2 MBytes  94378 Kbits/sec    0   1.78 MBytes       
[  4]  35.00-36.00  sec  11.2 MBytes  94384 Kbits/sec    0   1.78 MBytes       
[  4]  36.00-37.00  sec  11.2 MBytes  94360 Kbits/sec    0   1.78 MBytes       
[  4]  37.00-38.00  sec  11.2 MBytes  94372 Kbits/sec    0   1.78 MBytes       
[  4]  38.00-39.00  sec  11.2 MBytes  94367 Kbits/sec    0   1.78 MBytes       
[  4]  39.00-40.00  sec  11.2 MBytes  94386 Kbits/sec    0   1.77 MBytes       
[  4]  40.00-41.00  sec  12.5 MBytes  104849 Kbits/sec    0   1.78 MBytes       
[  4]  41.00-42.00  sec  8.75 MBytes  73382 Kbits/sec    0   5.66 KBytes       
[  4]  42.00-43.00  sec  10.0 MBytes  83912 Kbits/sec    0   1.79 MBytes       
[  4]  43.00-44.00  sec  11.2 MBytes  94377 Kbits/sec    0   1.78 MBytes       
[  4]  44.00-45.00  sec  11.2 MBytes  94351 Kbits/sec    0   1.78 MBytes       
[  4]  45.00-46.00  sec  11.2 MBytes  94371 Kbits/sec    0   1.78 MBytes       
[  4]  46.00-47.00  sec  12.5 MBytes  104869 Kbits/sec    0   1.78 MBytes       
[  4]  47.00-48.00  sec  11.2 MBytes  94370 Kbits/sec    0   1.78 MBytes       
[  4]  48.00-49.00  sec  11.2 MBytes  94374 Kbits/sec    0   1.78 MBytes       
[  4]  49.00-50.00  sec  11.2 MBytes  94362 Kbits/sec    0   1.78 MBytes       
[  4]  50.00-51.00  sec  11.2 MBytes  94378 Kbits/sec    0   1.79 MBytes       
[  4]  51.00-52.00  sec  11.2 MBytes  94370 Kbits/sec    0   1.78 MBytes       
[  4]  52.00-53.00  sec  7.50 MBytes  62912 Kbits/sec    0   1.78 MBytes       
[  4]  53.00-54.00  sec  12.5 MBytes  104865 Kbits/sec    0   1.78 MBytes       
[  4]  54.00-55.00  sec  11.2 MBytes  94370 Kbits/sec    0   1.78 MBytes       
[  4]  55.00-56.00  sec  11.2 MBytes  94370 Kbits/sec    0   1.78 MBytes       
[  4]  56.00-57.00  sec  11.2 MBytes  94391 Kbits/sec    0   1.78 MBytes       
[  4]  57.00-58.00  sec  11.2 MBytes  94363 Kbits/sec    0   1.78 MBytes       
[  4]  58.00-59.00  sec  11.2 MBytes  94364 Kbits/sec    0   1.78 MBytes       
[  4]  59.00-60.00  sec  11.2 MBytes  94361 Kbits/sec    0   1.77 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
Test Complete. Summary Results:
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec   792 MBytes  110798 Kbits/sec    0             sender
[  4]   0.00-60.00  sec   662 MBytes  92541 Kbits/sec                  receiver
CPU Utilization: local/sender 0.7% (0.1%u/0.6%s), remote/receiver 9.9% (1.6%u/8.3%s)

iperf Done.
