iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sat, 26 Aug 2023 20:52:52 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 44194 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   156 MBytes  1309933 Kbits/sec   73    327 KBytes       
[  4]   1.00-2.00   sec  33.8 MBytes  283111 Kbits/sec    0    397 KBytes       
[  4]   2.00-3.00   sec  38.8 MBytes  325067 Kbits/sec    0    465 KBytes       
[  4]   3.00-4.00   sec  45.0 MBytes  377481 Kbits/sec    0    535 KBytes       
[  4]   4.00-5.00   sec  50.0 MBytes  419430 Kbits/sec    0    601 KBytes       
[  4]   5.00-6.00   sec  53.8 MBytes  450893 Kbits/sec    3    468 KBytes       
[  4]   6.00-7.00   sec  45.0 MBytes  377474 Kbits/sec    0    542 KBytes       
[  4]   7.00-8.00   sec  50.0 MBytes  419437 Kbits/sec    0    601 KBytes       
[  4]   8.00-9.00   sec  55.0 MBytes  461382 Kbits/sec    1    469 KBytes       
[  4]   9.00-10.00  sec  45.0 MBytes  377477 Kbits/sec    0    543 KBytes       
[  4]  10.00-11.00  sec  50.0 MBytes  419434 Kbits/sec    0    602 KBytes       
[  4]  11.00-12.00  sec  55.0 MBytes  461359 Kbits/sec    1    469 KBytes       
[  4]  12.00-13.00  sec  45.0 MBytes  377495 Kbits/sec    0    543 KBytes       
[  4]  13.00-14.00  sec  50.0 MBytes  419433 Kbits/sec    0    604 KBytes       
[  4]  14.00-15.00  sec  52.5 MBytes  440408 Kbits/sec    7    469 KBytes       
[  4]  15.00-16.00  sec  45.0 MBytes  377482 Kbits/sec    0    539 KBytes       
[  4]  16.00-17.00  sec  50.0 MBytes  419429 Kbits/sec    0    605 KBytes       
