iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 14:35:01 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 48636 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   130 MBytes  1089945 Kbits/sec    0    120 KBytes       
[  4]   1.00-2.00   sec  3.75 MBytes  31456 Kbits/sec    0   3.45 MBytes       
[  4]   2.00-3.00   sec  61.2 MBytes  513811 Kbits/sec  5537   55.7 MBytes       
[  4]   3.00-4.00   sec   110 MBytes  922788 Kbits/sec  32271   47.1 MBytes       
[  4]   4.00-5.00   sec   114 MBytes  954190 Kbits/sec    0   47.2 MBytes       
[  4]   5.00-6.00   sec   114 MBytes  954191 Kbits/sec    0   46.6 MBytes       
[  4]   6.00-7.00   sec  86.2 MBytes  723534 Kbits/sec  2382   27.8 MBytes       
[  4]   7.00-8.00   sec   141 MBytes  1184664 Kbits/sec    0   46.5 MBytes       
[  4]   8.00-9.00   sec   114 MBytes  954354 Kbits/sec  448   46.6 MBytes       
[  4]   9.00-10.00  sec   114 MBytes  954155 Kbits/sec    0   46.4 MBytes       
[  4]  10.00-11.00  sec   114 MBytes  954263 Kbits/sec    0   46.0 MBytes       
[  4]  11.00-12.00  sec   112 MBytes  943750 Kbits/sec  1664   46.0 MBytes       
[  4]  12.00-13.00  sec   114 MBytes  954167 Kbits/sec    0   46.0 MBytes       
[  4]  13.00-14.00  sec   105 MBytes  880749 Kbits/sec    0   5.66 KBytes       
[  4]  14.00-15.00  sec  1.25 MBytes  10482 Kbits/sec    0   46.0 MBytes       
[  4]  15.00-16.00  sec  91.2 MBytes  765899 Kbits/sec    0   57.2 MBytes       
[  4]  16.00-17.00  sec   114 MBytes  954237 Kbits/sec    0   57.1 MBytes       
[  4]  17.00-18.00  sec   114 MBytes  954190 Kbits/sec    0   57.1 MBytes       
[  4]  18.00-19.00  sec   111 MBytes  933322 Kbits/sec    0   57.1 MBytes       
[  4]  19.00-20.00  sec   114 MBytes  954150 Kbits/sec    0   57.2 MBytes       
[  4]  20.00-21.00  sec   111 MBytes  933073 Kbits/sec    0   57.2 MBytes       
[  4]  21.00-22.00  sec   114 MBytes  954261 Kbits/sec    0   57.1 MBytes       
[  4]  22.00-23.00  sec   114 MBytes  954209 Kbits/sec    0   57.1 MBytes       
[  4]  23.00-24.00  sec   112 MBytes  943775 Kbits/sec    0   57.1 MBytes       
[  4]  24.00-25.00  sec   112 MBytes  943679 Kbits/sec    0   57.1 MBytes       
[  4]  25.00-26.00  sec   112 MBytes  943803 Kbits/sec    0   57.1 MBytes       
[  4]  26.00-27.00  sec   114 MBytes  954047 Kbits/sec    0   57.1 MBytes       
[  4]  27.00-28.00  sec   114 MBytes  954417 Kbits/sec    0   57.1 MBytes       
[  4]  28.00-29.00  sec   112 MBytes  943636 Kbits/sec    0   57.1 MBytes       
[  4]  29.00-30.00  sec   114 MBytes  954060 Kbits/sec    0   57.2 MBytes       
[  4]  30.00-31.00  sec  68.8 MBytes  576514 Kbits/sec    0   5.66 KBytes       
[  4]  31.00-32.00  sec  6.25 MBytes  52445 Kbits/sec    0   57.2 MBytes       
[  4]  32.00-33.00  sec   109 MBytes  912496 Kbits/sec    0   57.1 MBytes       
[  4]  33.00-34.00  sec   114 MBytes  953941 Kbits/sec    0   57.2 MBytes       
[  4]  34.00-35.00  sec   111 MBytes  933235 Kbits/sec    0   57.2 MBytes       
[  4]  35.00-36.00  sec   112 MBytes  943684 Kbits/sec    0   57.2 MBytes       
[  4]  36.00-37.00  sec   114 MBytes  954282 Kbits/sec    0   57.1 MBytes       
[  4]  37.00-38.00  sec  90.0 MBytes  754785 Kbits/sec  4109   41.0 MBytes       
[  4]  38.00-39.00  sec   139 MBytes  1164149 Kbits/sec    0   59.3 MBytes       
[  4]  39.00-40.00  sec   112 MBytes  943927 Kbits/sec  1460   59.0 MBytes       
[  4]  40.00-41.00  sec  95.0 MBytes  796790 Kbits/sec  4845   27.6 MBytes       
[  4]  41.00-42.00  sec   131 MBytes  1100957 Kbits/sec    0   5.66 KBytes       
[  4]  42.00-43.00  sec  16.2 MBytes  136192 Kbits/sec    0   5.66 KBytes       
[  4]  43.00-44.00  sec  47.5 MBytes  398823 Kbits/sec    0   57.2 MBytes       
[  4]  44.00-45.00  sec   120 MBytes  1006571 Kbits/sec    0   57.2 MBytes       
[  4]  45.00-46.00  sec   112 MBytes  943751 Kbits/sec    0   57.1 MBytes       
