Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 49080 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  30.00-31.00  sec  11.2 MBytes  93829 Kbits/sec    3    127 KBytes       
[  5]  31.00-32.00  sec  11.6 MBytes  96959 Kbits/sec    4    140 KBytes       
[  5]  32.00-33.00  sec  11.6 MBytes  96958 Kbits/sec   11    106 KBytes       
[  5]  33.00-34.00  sec  11.2 MBytes  93831 Kbits/sec    5    120 KBytes       
[  5]  34.00-35.00  sec  11.6 MBytes  96958 Kbits/sec    4    134 KBytes       
[  5]  35.00-36.00  sec  11.2 MBytes  93830 Kbits/sec    4    146 KBytes       
[  5]  36.00-37.00  sec  11.6 MBytes  96959 Kbits/sec    9    115 KBytes       
[  5]  37.00-38.00  sec  11.3 MBytes  94873 Kbits/sec    4    129 KBytes       
[  5]  38.00-39.00  sec  11.6 MBytes  96958 Kbits/sec    5    143 KBytes       
[  5]  39.00-40.00  sec  11.2 MBytes  93829 Kbits/sec    8    107 KBytes       
[  5]  40.00-41.00  sec  11.6 MBytes  96959 Kbits/sec    4    123 KBytes       
[  5]  41.00-42.00  sec  11.2 MBytes  93830 Kbits/sec    3    137 KBytes       
[  5]  42.00-43.00  sec  11.6 MBytes  96957 Kbits/sec    4    150 KBytes       
[  5]  43.00-44.00  sec  11.4 MBytes  95395 Kbits/sec    8    116 KBytes       
[  5]  44.00-45.00  sec  11.6 MBytes  97480 Kbits/sec    4    129 KBytes       
[  5]  45.00-46.00  sec  11.2 MBytes  94351 Kbits/sec    4    144 KBytes       
[  5]  46.00-47.00  sec  11.6 MBytes  96958 Kbits/sec    8    113 KBytes       
[  5]  47.00-48.00  sec  11.3 MBytes  94873 Kbits/sec    4    127 KBytes       
[  5]  48.00-49.00  sec  11.2 MBytes  94352 Kbits/sec    4    140 KBytes       
[  5]  49.00-50.00  sec  11.3 MBytes  94872 Kbits/sec   10    107 KBytes       
[  5]  50.00-51.00  sec  11.6 MBytes  96960 Kbits/sec    8    122 KBytes       
[  5]  51.00-52.00  sec  11.2 MBytes  94350 Kbits/sec    5    136 KBytes       
[  5]  52.00-53.00  sec  11.6 MBytes  96958 Kbits/sec   15    103 KBytes       
[  5]  53.00-54.00  sec  11.6 MBytes  96958 Kbits/sec    3    119 KBytes       
[  5]  54.00-55.00  sec  11.2 MBytes  94352 Kbits/sec    4    134 KBytes       
[  5]  55.00-56.00  sec  11.6 MBytes  96958 Kbits/sec    4    146 KBytes       
[  5]  56.00-57.00  sec  11.2 MBytes  93830 Kbits/sec    9    113 KBytes       
[  5]  57.00-58.00  sec  11.6 MBytes  97480 Kbits/sec    4    132 KBytes       
[  5]  58.00-59.00  sec  11.2 MBytes  93829 Kbits/sec    5    144 KBytes       
[  5]  59.00-60.00  sec  11.6 MBytes  96958 Kbits/sec    7    110 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   685 MBytes  95753 Kbits/sec  400             sender
[  5]   0.00-60.00  sec   684 MBytes  95627 Kbits/sec                  receiver

iperf Done.
