Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 49244 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  7.27 MBytes  60955 Kbits/sec  410    638 KBytes       
[  5]   1.00-2.00   sec  8.75 MBytes  73399 Kbits/sec    0    693 KBytes       
[  5]   2.00-3.00   sec  8.75 MBytes  73399 Kbits/sec    0    730 KBytes       
[  5]   3.00-4.00   sec  10.0 MBytes  83890 Kbits/sec    0    752 KBytes       
[  5]   4.00-5.00   sec  10.0 MBytes  83889 Kbits/sec    0    765 KBytes       
[  5]   5.00-6.00   sec  10.0 MBytes  83885 Kbits/sec    0    769 KBytes       
[  5]   6.00-7.00   sec  10.0 MBytes  83887 Kbits/sec    0    769 KBytes       
[  5]   7.00-8.00   sec  10.0 MBytes  83886 Kbits/sec    0    769 KBytes       
[  5]   8.00-9.00   sec  10.0 MBytes  83886 Kbits/sec    0    772 KBytes       
[  5]   9.00-10.00  sec  10.0 MBytes  83886 Kbits/sec    0    783 KBytes       
[  5]  10.00-11.00  sec  10.0 MBytes  83886 Kbits/sec    0    802 KBytes       
[  5]  11.00-12.00  sec  10.0 MBytes  83884 Kbits/sec    0    834 KBytes       
[  5]  12.00-13.00  sec  11.2 MBytes  94371 Kbits/sec    0    882 KBytes       
[  5]  13.00-14.00  sec  11.2 MBytes  94373 Kbits/sec    0    952 KBytes       
[  5]  14.00-15.00  sec  10.0 MBytes  83888 Kbits/sec    6    742 KBytes       
[  5]  15.00-16.00  sec  10.0 MBytes  83883 Kbits/sec    0    826 KBytes       
[  5]  16.00-17.00  sec  11.2 MBytes  94374 Kbits/sec    0    885 KBytes       
[  5]  17.00-18.00  sec  11.2 MBytes  94371 Kbits/sec    0    928 KBytes       
[  5]  18.00-19.00  sec  11.2 MBytes  94370 Kbits/sec    0    954 KBytes       
[  5]  19.00-20.00  sec  11.2 MBytes  94373 Kbits/sec    6    680 KBytes       
[  5]  20.00-21.00  sec  8.75 MBytes  73399 Kbits/sec    0    738 KBytes       
[  5]  21.00-22.00  sec  10.0 MBytes  83885 Kbits/sec    0    779 KBytes       
