Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 48354 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  23.00-24.00  sec  1.24 MBytes  10426 Kbits/sec    0    288 KBytes       
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 Kbits/sec    0    301 KBytes       
[  5]  25.00-26.00  sec  1.24 MBytes  10426 Kbits/sec    0    325 KBytes       
[  5]  26.00-27.00  sec  1.24 MBytes  10427 Kbits/sec    8    246 KBytes       
[  5]  27.00-28.00  sec  1.24 MBytes  10426 Kbits/sec    0    288 KBytes       
[  5]  28.00-29.00  sec  1.24 MBytes  10427 Kbits/sec    0    314 KBytes       
[  5]  29.00-30.00  sec  1.24 MBytes  10427 Kbits/sec    0    329 KBytes       
[  5]  30.00-31.00  sec  1.25 MBytes  10487 Kbits/sec    4    243 KBytes       
[  5]  31.00-32.00  sec  1.24 MBytes  10366 Kbits/sec    0    264 KBytes       
[  5]  32.00-33.00  sec  1.24 MBytes  10426 Kbits/sec    0    276 KBytes       
[  5]  33.00-34.00  sec  1.24 MBytes  10427 Kbits/sec    0    280 KBytes       
[  5]  34.00-35.00  sec  1.24 MBytes  10427 Kbits/sec    0    280 KBytes       
[  5]  35.00-36.00  sec  1.24 MBytes  10426 Kbits/sec    0    280 KBytes       
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 Kbits/sec    0    284 KBytes       
[  5]  37.00-38.00  sec  1.24 MBytes  10426 Kbits/sec    0    294 KBytes       
[  5]  38.00-39.00  sec  1.24 MBytes  10427 Kbits/sec    0    314 KBytes       
[  5]  39.00-40.00  sec  1.24 MBytes  10427 Kbits/sec    8    247 KBytes       
[  5]  40.00-41.00  sec  1.24 MBytes  10426 Kbits/sec    0    273 KBytes       
[  5]  41.00-42.00  sec  1.24 MBytes  10427 Kbits/sec    0    304 KBytes       
[  5]  42.00-43.00  sec  1.24 MBytes  10427 Kbits/sec    0    324 KBytes       
[  5]  43.00-44.00  sec  1.25 MBytes  10489 Kbits/sec    4    230 KBytes       
[  5]  44.00-45.00  sec  1.24 MBytes  10364 Kbits/sec    0    257 KBytes       
[  5]  45.00-46.00  sec  1.24 MBytes  10426 Kbits/sec    0    273 KBytes       
[  5]  46.00-47.00  sec  1.24 MBytes  10427 Kbits/sec    0    280 KBytes       
[  5]  47.00-48.00  sec  1.24 MBytes  10426 Kbits/sec    0    280 KBytes       
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 Kbits/sec    0    280 KBytes       
[  5]  49.00-50.00  sec  1.24 MBytes  10426 Kbits/sec    0    283 KBytes       
[  5]  50.00-51.00  sec  1.24 MBytes  10427 Kbits/sec    0    290 KBytes       
[  5]  51.00-52.00  sec  1.24 MBytes  10427 Kbits/sec    0    305 KBytes       
[  5]  52.00-53.00  sec  1.24 MBytes  10427 Kbits/sec    0    332 KBytes       
[  5]  53.00-54.00  sec  1.25 MBytes  10489 Kbits/sec    8    256 KBytes       
[  5]  54.00-55.00  sec  1.24 MBytes  10365 Kbits/sec    0    294 KBytes       
[  5]  55.00-56.00  sec  1.24 MBytes  10426 Kbits/sec    0    318 KBytes       
[  5]  56.00-57.00  sec  1.24 MBytes  10427 Kbits/sec    2    291 KBytes       
[  5]  57.00-58.00  sec  1.24 MBytes  10426 Kbits/sec    2    249 KBytes       
[  5]  58.00-59.00  sec  1.24 MBytes  10427 Kbits/sec    0    267 KBytes       
[  5]  59.00-60.00  sec  1.24 MBytes  10426 Kbits/sec    0    277 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  70.8 MBytes  9892 Kbits/sec  372             sender
[  5]   0.00-60.00  sec  67.5 MBytes  9433 Kbits/sec                  receiver

iperf Done.
