Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 33496 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  3.73 MBytes  31273 Kbits/sec   78    201 KBytes       
[  5]   1.00-2.00   sec  2.75 MBytes  23051 Kbits/sec    8    350 KBytes       
[  5]   2.00-3.00   sec  2.51 MBytes  21047 Kbits/sec    8    350 KBytes       
[  5]   3.00-4.00   sec  1.67 MBytes  14027 Kbits/sec    8    350 KBytes       
[  5]   4.00-5.00   sec  2.99 MBytes  25059 Kbits/sec   12    350 KBytes       
[  5]   5.00-6.00   sec  1.73 MBytes  14529 Kbits/sec   10    350 KBytes       
[  5]   6.00-7.00   sec  2.75 MBytes  23054 Kbits/sec    8    367 KBytes       
[  5]   7.00-8.00   sec  2.57 MBytes  21549 Kbits/sec   12    184 KBytes       
[  5]   8.00-9.00   sec  2.51 MBytes  21047 Kbits/sec    8    350 KBytes       
[  5]   9.00-10.00  sec  1.73 MBytes  14529 Kbits/sec    8    367 KBytes       
[  5]  10.00-11.00  sec  2.51 MBytes  21048 Kbits/sec    6    350 KBytes       
[  5]  11.00-12.00  sec  1.85 MBytes  15530 Kbits/sec    2    367 KBytes       
[  5]  12.00-13.00  sec  2.51 MBytes  21047 Kbits/sec    2    350 KBytes       
[  5]  13.00-14.00  sec  2.51 MBytes  21047 Kbits/sec    2    350 KBytes       
[  5]  14.00-15.00  sec  2.51 MBytes  21047 Kbits/sec    2    367 KBytes       
[  5]  15.00-16.00  sec  2.51 MBytes  21046 Kbits/sec    2    350 KBytes       
[  5]  16.00-17.00  sec  1.67 MBytes  14028 Kbits/sec    2    350 KBytes       
[  5]  17.00-18.00  sec  2.51 MBytes  21047 Kbits/sec    2    350 KBytes       
[  5]  18.00-19.00  sec  2.63 MBytes  22050 Kbits/sec    4    166 KBytes       
[  5]  19.00-20.00  sec  2.51 MBytes  21047 Kbits/sec    2    350 KBytes       
[  5]  20.00-21.00  sec  1.67 MBytes  14027 Kbits/sec    0    367 KBytes       
[  5]  21.00-22.00  sec  1.85 MBytes  15530 Kbits/sec    4    184 KBytes       
[  5]  22.00-23.00  sec  2.99 MBytes  25062 Kbits/sec    8    350 KBytes       
[  5]  23.00-24.00  sec  2.51 MBytes  21046 Kbits/sec    6    350 KBytes       
[  5]  24.00-25.00  sec  1.79 MBytes  15029 Kbits/sec   10    350 KBytes       
[  5]  25.00-26.00  sec  2.51 MBytes  21047 Kbits/sec   12    184 KBytes       
[  5]  26.00-27.00  sec  2.57 MBytes  21550 Kbits/sec   10    350 KBytes       
[  5]  27.00-28.00  sec  2.51 MBytes  21046 Kbits/sec    8    350 KBytes       
[  5]  28.00-29.00  sec  1.79 MBytes  15030 Kbits/sec    8    367 KBytes       
[  5]  29.00-30.00  sec  2.51 MBytes  21048 Kbits/sec    6    350 KBytes       
[  5]  30.00-31.00  sec  2.75 MBytes  23054 Kbits/sec    2   35.0 KBytes       
[  5]  31.00-32.00  sec  1.67 MBytes  14029 Kbits/sec    2    350 KBytes       
[  5]  32.00-33.00  sec  2.57 MBytes  21548 Kbits/sec    2    350 KBytes       
[  5]  33.00-34.00  sec  2.51 MBytes  21047 Kbits/sec    2    350 KBytes       
[  5]  34.00-35.00  sec  2.51 MBytes  21044 Kbits/sec    2    350 KBytes       
[  5]  35.00-36.00  sec  1.67 MBytes  14026 Kbits/sec    0    350 KBytes       
[  5]  36.00-37.00  sec  2.51 MBytes  21047 Kbits/sec    2    350 KBytes       
[  5]  37.00-38.00  sec  2.69 MBytes  22552 Kbits/sec    4    184 KBytes       
[  5]  38.00-39.00  sec  2.51 MBytes  21047 Kbits/sec    2    350 KBytes       
[  5]  39.00-40.00  sec  2.51 MBytes  21046 Kbits/sec    2    367 KBytes       
[  5]  40.00-41.00  sec  1.67 MBytes  14028 Kbits/sec    2    350 KBytes       
[  5]  41.00-42.00  sec  2.51 MBytes  21050 Kbits/sec    0    350 KBytes       
[  5]  42.00-42.31  sec   856 KBytes  22961 Kbits/sec    2    350 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-42.31  sec   100 MBytes  19880 Kbits/sec  282             sender
[  5]   0.00-42.38  sec  98.0 MBytes  19395 Kbits/sec                  receiver

iperf Done.
