BBR_goodput,CUBIC_goodput,Buffer,Bandwidth,rtt
10090,10036,100,10,5
10090,10061,100,10,5
10090,10036,100,10,5
10090,10028,100,10,5
10086,10036,100,10,5
10062,10053,100,10,10
10062,10058,100,10,10
10071,10044,100,10,10
10062,10055,100,10,10
10062,10053,100,10,10
10054,10069,100,10,25
10054,10053,100,10,25
10054,10089,100,10,25
10054,10061,100,10,25
10054,10069,100,10,25
10004,10072,100,10,50
10012,10063,100,10,50
9995,10053,100,10,50
10004,10072,100,10,50
10004,10072,100,10,50
9979,10053,100,10,75
9970,10080,100,10,75
9970,10069,100,10,75
9962,9975,100,10,75
9979,10053,100,10,75
9987,10053,100,10,100
9995,10069,100,10,100
10004,10036,100,10,100
9995,10044,100,10,100
9995,10044,100,10,100
9979,9937,100,10,150
9954,10003,100,10,150
9979,9871,100,10,150
9920,9919,100,10,150
9945,9978,100,10,150
10004,9869,100,10,200
9995,9766,100,10,200
10012,9710,100,10,200
9987,9675,100,10,200
9995,9758,100,10,200
20010,19974,100,20,5
20016,19949,100,20,5
20011,19983,100,20,5
20010,19966,100,20,5
20016,19983,100,20,5
19984,19966,100,20,10
20001,19977,100,20,10
19984,19977,100,20,10
19984,19983,100,20,10
19984,19977,100,20,10
19867,20008,100,20,25
19875,19999,100,20,25
19867,19991,100,20,25
19867,19993,100,20,25
19875,20010,100,20,25
19783,19958,100,20,50
19800,19977,100,20,50
19808,19958,100,20,50
19800,19960,100,20,50
19800,19966,100,20,50
19725,19707,100,20,75
19775,19718,100,20,75
19783,19885,100,20,75
19733,19799,100,20,75
19767,19757,100,20,75
19792,19476,100,20,100
19792,19431,100,20,100
19792,19565,100,20,100
19792,19440,100,20,100
19767,19565,100,20,100
19600,19206,100,20,150
19583,18991,100,20,150
19608,19114,100,20,150
19531,19206,100,20,150
19600,19066,100,20,150
19457,18594,100,20,200
19458,18552,100,20,200
19432,18615,100,20,200
19474,18636,100,20,200
19399,18409,100,20,200
49711,49781,100,50,5
49728,49764,100,50,5
49728,49756,100,50,5
49720,49781,100,50,5
49720,49756,100,50,5
49373,49705,100,50,10
49381,49772,100,50,10
49381,49733,100,50,10
49381,49705,100,50,10
49389,49789,100,50,10
49206,49597,100,50,25
49189,49566,100,50,25
49172,49583,100,50,25
49197,49613,100,50,25
49189,49639,100,50,25
49164,48110,100,50,50
49381,47885,100,50,50
49205,47851,100,50,50
49164,48060,100,50,50
48972,47870,100,50,50
48604,46691,100,50,75
48571,46960,100,50,75
48646,47202,100,50,75
48546,46615,100,50,75
48621,47292,100,50,75
48242,45546,100,50,100
48228,45830,100,50,100
48153,45847,100,50,100
48279,45371,100,50,100
48242,45123,100,50,100
46884,42467,100,50,150
47168,42172,100,50,150
46909,42715,100,50,150
47051,42014,100,50,150
46926,42133,100,50,150
46481,41032,100,50,200
46760,40838,100,50,200
46566,40989,100,50,200
46504,41224,100,50,200
46751,40277,100,50,200
98626,99347,100,100,5
98609,99347,100,100,5
98593,99397,100,100,5
98618,99343,100,100,5
98609,99345,100,100,5
98229,99338,100,100,10
98228,99321,100,100,10
98237,99196,100,100,10
98203,99355,100,100,10
98229,99123,100,100,10
97928,95839,100,100,25
97920,95919,100,100,25
97911,95833,100,100,25
97945,95998,100,100,25
97936,95622,100,100,25
97009,93614,100,100,50
96901,93200,100,100,50
96909,92985,100,100,50
97034,93100,100,100,50
96845,92457,100,100,50
95673,87490,100,100,75
95640,89033,100,100,75
95782,87682,100,100,75
95264,88047,100,100,75
95631,88264,100,100,75
94429,82120,100,100,100
94823,82969,100,100,100
94896,83120,100,100,100
94480,83454,100,100,100
94752,80422,100,100,100
84962,61780,100,100,150
84800,60351,100,100,150
84756,55221,100,100,150
85041,61507,100,100,150
84951,57739,100,100,150
78787,48682,100,100,200
79105,46198,100,100,200
78589,47067,100,100,200
78343,47086,100,100,200
78206,47841,100,100,200
245095,246098,100,250,5
245120,245890,100,250,5
245095,246240,100,250,5
245512,245814,100,250,5
245103,246424,100,250,5
244496,237546,100,250,10
244429,237229,100,250,10
244446,237190,100,250,10
244496,237388,100,250,10
244479,237054,100,250,10
242517,218973,100,250,25
242545,220518,100,250,25
242027,220539,100,250,25
241883,222288,100,250,25
242416,222330,100,250,25
224747,192451,100,250,50
226719,208236,100,250,50
225079,208078,100,250,50
225017,207652,100,250,50
225519,207944,100,250,50
196450,114710,100,250,75
195913,116625,100,250,75
195873,123756,100,250,75
195251,113232,100,250,75
194527,126706,100,250,75
173404,89253,100,250,100
173031,93401,100,250,100
174512,86224,100,250,100
174486,82370,100,250,100
173452,94374,100,250,100
132753,63554,100,250,150
131226,63437,100,250,150
132325,61020,100,250,150
133304,62240,100,250,150
132294,57867,100,250,150
97876,47462,100,250,200
99434,42550,100,250,200
98012,44341,100,250,200
98464,41910,100,250,200
98036,43950,100,250,200
486794,437764,100,500,5
488665,439234,100,500,5
488682,438808,100,500,5
488682,441205,100,500,5
488531,439869,100,500,5
487356,409277,100,500,10
487290,406404,100,500,10
487439,405118,100,500,10
486847,414364,100,500,10
487091,407943,100,500,10
439480,364130,100,500,25
441489,355068,100,500,25
441727,361248,100,500,25
439489,360981,100,500,25
442101,364171,100,500,25
354911,186957,100,500,50
354916,204870,100,500,50
355411,194391,100,500,50
355013,204803,100,500,50
353867,208269,100,500,50
305741,133172,100,500,75
307515,126616,100,500,75
307393,131378,100,500,75
306436,138463,100,500,75
306896,138038,100,500,75
228448,98826,100,500,100
228268,91510,100,500,100
230075,86572,100,500,100
228138,94677,100,500,100
229021,88627,100,500,100
155053,55313,100,500,150
153769,60268,100,500,150
153963,56215,100,500,150
153662,64889,100,500,150
154824,63643,100,500,150
114786,45493,100,500,200
115827,43171,100,500,200
116352,49266,100,500,200
115295,46620,100,500,200
114786,43960,100,500,200
729397,623141,100,750,5
732043,635835,100,750,5
732184,646726,100,750,5
731976,616159,100,750,5
731884,637255,100,750,5
723835,547855,100,750,10
723375,542828,100,750,10
