BBR_retransmissions,CUBIC_retransmissions,Buffer,Bandwidth,rtt
339,808,100,500,75
330,1127,100,500,75
297,992,100,500,75
547,877,100,500,75
274,776,100,500,75
294,797,100,500,100
293,1227,100,500,100
298,947,100,500,100
314,937,100,500,100
299,876,100,500,100
0,1159,100,500,150
0,1153,100,500,150
0,1010,100,500,150
0,874,100,500,150
0,825,100,500,150
0,832,100,500,200
0,940,100,500,200
0,1003,100,500,200
0,751,100,500,200
0,736,100,500,200
66358,1531,100,750,5
66133,1510,100,750,5
66969,1301,100,750,5
67285,1529,100,750,5
66939,1381,100,750,5
42237,534,100,750,10
42010,564,100,750,10
42289,544,100,750,10
41889,577,100,750,10
41539,537,100,750,10
20586,156,100,750,25
20860,248,100,750,25
20852,134,100,750,25
20659,182,100,750,25
20706,170,100,750,25
400,659,100,750,50
457,917,100,750,50
456,709,100,750,50
590,807,100,750,50
561,795,100,750,50
144,1235,100,750,75
144,829,100,750,75
245,832,100,750,75
201,771,100,750,75
190,789,100,750,75
0,1045,100,750,100
0,1154,100,750,100
0,777,100,750,100
0,1175,100,750,100
0,1215,100,750,100
0,654,100,750,150
0,939,100,750,150
0,1064,100,750,150
0,1097,100,750,150
0,806,100,750,150
0,624,100,750,200
0,952,100,750,200
0,732,100,750,200
0,1134,100,750,200
0,723,100,750,200
73443,1312,100,1000,5
74234,1305,100,1000,5
73658,1172,100,1000,5
74538,1292,100,1000,5
74436,1248,100,1000,5
44907,530,100,1000,10
45447,489,100,1000,10
44238,511,100,1000,10
44904,428,100,1000,10
45640,556,100,1000,10
13292,202,100,1000,25
13313,138,100,1000,25
13394,171,100,1000,25
13329,172,100,1000,25
13409,181,100,1000,25
281,845,100,1000,50
193,677,100,1000,50
231,748,100,1000,50
383,562,100,1000,50
304,375,100,1000,50
0,926,100,1000,75
0,1063,100,1000,75
0,902,100,1000,75
0,870,100,1000,75
0,712,100,1000,75
0,993,100,1000,100
0,843,100,1000,100
0,714,100,1000,100
0,935,100,1000,100
0,426,100,1000,100
0,541,100,1000,150
0,996,100,1000,150
0,678,100,1000,150
0,699,100,1000,150
0,757,100,1000,150
0,544,100,1000,200
0,956,100,1000,200
0,602,100,1000,200
0,573,100,1000,200
0,415,100,1000,200
0,0,10000,10,5
0,0,10000,10,5
0,0,10000,10,5
0,0,10000,10,5
0,0,10000,10,5
0,0,10000,10,10
0,0,10000,10,10
0,0,10000,10,10
0,0,10000,10,10
0,0,10000,10,10
0,0,10000,10,25
0,0,10000,10,25
0,0,10000,10,25
0,0,10000,10,25
0,0,10000,10,25
0,0,10000,10,50
0,0,10000,10,50
0,0,10000,10,50
0,0,10000,10,50
0,0,10000,10,50
0,0,10000,10,75
0,0,10000,10,75
0,0,10000,10,75
0,0,10000,10,75
0,0,10000,10,75
0,0,10000,10,100
0,0,10000,10,100
0,0,10000,10,100
0,0,10000,10,100
0,0,10000,10,100
0,0,10000,10,150
0,0,10000,10,150
0,0,10000,10,150
0,0,10000,10,150
0,0,10000,10,150
0,0,10000,10,200
0,0,10000,10,200
0,0,10000,10,200
0,0,10000,10,200
0,0,10000,10,200
0,0,10000,20,5
0,0,10000,20,5
0,0,10000,20,5
0,0,10000,20,5
0,0,10000,20,5
0,0,10000,20,10
0,0,10000,20,10
0,0,10000,20,10
0,0,10000,20,10
0,0,10000,20,10
0,0,10000,20,25
0,0,10000,20,25
0,0,10000,20,25
0,0,10000,20,25
0,0,10000,20,25
0,0,10000,20,50
