Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 41142 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  7.39 MBytes  61968 Kbits/sec    0   3.54 MBytes       
[  4]   1.00-2.00   sec  29.4 MBytes  246866 Kbits/sec    0   6.00 MBytes       
[  4]   2.00-3.00   sec  29.4 MBytes  246846 Kbits/sec    0   6.00 MBytes       
[  4]   3.00-4.00   sec  29.4 MBytes  246846 Kbits/sec    0   6.00 MBytes       
[  4]   4.00-5.00   sec  28.9 MBytes  242696 Kbits/sec    0   6.00 MBytes       
[  4]   5.00-6.00   sec  28.4 MBytes  237894 Kbits/sec    0   6.00 MBytes       
[  4]   6.00-7.00   sec  28.6 MBytes  239491 Kbits/sec    0   6.00 MBytes       
[  4]   7.00-8.00   sec  28.9 MBytes  242712 Kbits/sec    0   6.00 MBytes       
[  4]   8.00-9.00   sec  29.1 MBytes  244234 Kbits/sec    0   6.00 MBytes       
[  4]   9.00-10.00  sec  28.6 MBytes  239973 Kbits/sec    0   6.00 MBytes       
[  4]  10.00-11.00  sec  28.9 MBytes  242666 Kbits/sec    0   6.00 MBytes       
[  4]  11.00-12.00  sec  29.4 MBytes  246833 Kbits/sec    0   6.00 MBytes       
[  4]  12.00-13.00  sec  28.7 MBytes  241076 Kbits/sec    0   6.00 MBytes       
[  4]  13.00-14.00  sec  28.7 MBytes  240581 Kbits/sec    0   6.00 MBytes       
[  4]  14.00-15.00  sec  28.9 MBytes  242735 Kbits/sec    0   6.00 MBytes       
[  4]  15.00-16.00  sec  28.7 MBytes  240535 Kbits/sec    0   6.00 MBytes       
[  4]  16.00-17.00  sec  28.8 MBytes  241155 Kbits/sec    0   6.00 MBytes       
[  4]  17.00-18.00  sec  28.9 MBytes  242721 Kbits/sec    0   6.00 MBytes       
[  4]  18.00-19.00  sec  28.9 MBytes  242681 Kbits/sec    0   6.00 MBytes       
[  4]  19.00-20.00  sec  28.7 MBytes  240542 Kbits/sec    0   6.00 MBytes       
[  4]  20.00-21.00  sec  28.9 MBytes  242718 Kbits/sec    0   6.00 MBytes       
[  4]  21.00-22.00  sec  28.9 MBytes  242677 Kbits/sec    0   6.00 MBytes       
[  4]  22.00-23.00  sec  28.7 MBytes  240552 Kbits/sec    0   6.00 MBytes       
[  4]  23.00-24.00  sec  28.9 MBytes  242719 Kbits/sec    0   6.00 MBytes       
[  4]  24.00-25.00  sec  28.9 MBytes  242679 Kbits/sec    0   6.00 MBytes       
[  4]  25.00-26.00  sec  28.7 MBytes  240538 Kbits/sec    0   6.00 MBytes       
[  4]  26.00-27.00  sec  28.9 MBytes  242720 Kbits/sec    0   6.00 MBytes       
[  4]  27.00-28.00  sec  28.9 MBytes  242677 Kbits/sec    0   6.00 MBytes       
[  4]  28.00-29.00  sec  28.7 MBytes  240544 Kbits/sec    0   6.00 MBytes       
[  4]  29.00-30.00  sec  28.9 MBytes  242713 Kbits/sec    0   6.00 MBytes       
[  4]  30.00-31.00  sec  28.9 MBytes  242673 Kbits/sec    0   6.00 MBytes       
[  4]  31.00-32.00  sec  28.7 MBytes  240543 Kbits/sec    0   6.00 MBytes       
[  4]  32.00-33.00  sec  28.9 MBytes  242628 Kbits/sec    0   6.00 MBytes       
[  4]  33.00-34.00  sec  28.9 MBytes  242636 Kbits/sec    0   6.00 MBytes       
[  4]  34.00-35.00  sec  28.6 MBytes  239892 Kbits/sec    0   6.00 MBytes       
[  4]  35.00-36.00  sec  28.9 MBytes  242712 Kbits/sec    0   6.00 MBytes       
[  4]  36.00-37.00  sec  29.0 MBytes  243188 Kbits/sec    0   6.00 MBytes       
[  4]  37.00-38.00  sec  28.7 MBytes  240547 Kbits/sec    0   6.00 MBytes       
[  4]  38.00-39.00  sec  28.9 MBytes  242714 Kbits/sec    0   6.00 MBytes       
[  4]  39.00-40.00  sec  28.9 MBytes  242671 Kbits/sec    0   6.00 MBytes       
[  4]  40.00-41.00  sec  28.7 MBytes  240543 Kbits/sec    0   6.00 MBytes       
[  4]  41.00-42.00  sec  28.9 MBytes  242727 Kbits/sec    0   6.00 MBytes       
[  4]  42.00-43.00  sec  28.9 MBytes  242670 Kbits/sec    0   6.00 MBytes       
[  4]  43.00-44.00  sec  28.7 MBytes  240538 Kbits/sec    0   6.00 MBytes       
[  4]  44.00-45.00  sec  28.9 MBytes  242713 Kbits/sec    0   6.00 MBytes       
[  4]  45.00-46.00  sec  29.1 MBytes  243711 Kbits/sec    0   6.00 MBytes       
[  4]  46.00-47.00  sec  28.7 MBytes  240539 Kbits/sec    0   6.00 MBytes       
[  4]  47.00-48.00  sec  28.9 MBytes  242722 Kbits/sec    0   6.00 MBytes       
[  4]  48.00-49.00  sec  28.9 MBytes  242679 Kbits/sec    0   6.00 MBytes       
[  4]  49.00-50.00  sec  28.7 MBytes  240532 Kbits/sec    0   6.00 MBytes       
[  4]  50.00-51.00  sec  28.9 MBytes  242726 Kbits/sec    0   6.00 MBytes       
