Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 40728 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  20.00-21.00  sec  28.7 MBytes  240590 Kbits/sec    0   8.88 MBytes       
[  4]  21.00-22.00  sec  28.7 MBytes  241098 Kbits/sec    0   8.88 MBytes       
[  4]  22.00-23.00  sec  28.7 MBytes  240583 Kbits/sec    0   8.88 MBytes       
[  4]  23.00-24.00  sec  28.7 MBytes  240598 Kbits/sec    0   8.88 MBytes       
[  4]  24.00-25.00  sec  28.9 MBytes  242699 Kbits/sec    0   8.88 MBytes       
[  4]  25.00-26.00  sec  28.9 MBytes  242168 Kbits/sec    0   8.88 MBytes       
[  4]  26.00-27.00  sec  28.7 MBytes  240529 Kbits/sec    0   8.88 MBytes       
[  4]  27.00-28.00  sec  28.9 MBytes  242722 Kbits/sec    0   8.88 MBytes       
[  4]  28.00-29.00  sec  28.7 MBytes  240535 Kbits/sec    0   8.88 MBytes       
[  4]  29.00-30.00  sec  28.8 MBytes  241166 Kbits/sec    0   8.88 MBytes       
[  4]  30.00-31.00  sec  17.7 MBytes  148340 Kbits/sec    0   8.88 MBytes       
[  4]  31.00-32.00  sec  28.7 MBytes  240549 Kbits/sec    0   8.88 MBytes       
[  4]  32.00-33.00  sec  28.9 MBytes  242695 Kbits/sec    0   8.88 MBytes       
[  4]  33.00-34.00  sec  29.4 MBytes  246313 Kbits/sec    0   8.88 MBytes       
[  4]  34.00-35.00  sec  28.6 MBytes  240050 Kbits/sec    0   8.88 MBytes       
[  4]  35.00-36.00  sec  28.7 MBytes  240577 Kbits/sec    0   8.88 MBytes       
[  4]  36.00-37.00  sec  28.7 MBytes  240575 Kbits/sec    0   8.88 MBytes       
[  4]  37.00-38.00  sec  28.7 MBytes  240571 Kbits/sec    0   8.88 MBytes       
[  4]  38.00-39.00  sec  28.7 MBytes  240590 Kbits/sec    0   8.88 MBytes       
[  4]  39.00-40.00  sec  28.9 MBytes  242709 Kbits/sec    0   8.88 MBytes       
[  4]  40.00-41.00  sec  28.9 MBytes  242680 Kbits/sec    0   8.88 MBytes       
[  4]  41.00-42.00  sec  28.7 MBytes  240539 Kbits/sec    0   8.88 MBytes       
