Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 52486 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  23.9 MBytes  200861 Kbits/sec  455   8.35 MBytes       
[  4]   1.00-2.00   sec  48.8 MBytes  408926 Kbits/sec  135   6.50 MBytes       
[  4]   2.00-3.00   sec  57.0 MBytes  477901 Kbits/sec    0   6.52 MBytes       
[  4]   3.00-4.00   sec  57.1 MBytes  478906 Kbits/sec    0   6.50 MBytes       
[  4]   4.00-5.00   sec  56.9 MBytes  477377 Kbits/sec    0   6.52 MBytes       
[  4]   5.00-6.00   sec  57.0 MBytes  478342 Kbits/sec    0   6.52 MBytes       
[  4]   6.00-7.00   sec  57.1 MBytes  478842 Kbits/sec    0   6.50 MBytes       
[  4]   7.00-8.00   sec  57.0 MBytes  477846 Kbits/sec    0   6.50 MBytes       
[  4]   8.00-9.00   sec  57.0 MBytes  478342 Kbits/sec    0   6.50 MBytes       
[  4]   9.00-10.00  sec  57.0 MBytes  478374 Kbits/sec    0   6.50 MBytes       
[  4]  10.00-11.00  sec  40.5 MBytes  339563 Kbits/sec    0   6.71 MBytes       
[  4]  11.00-12.00  sec  56.4 MBytes  473340 Kbits/sec    0   6.50 MBytes       
[  4]  12.00-13.00  sec  56.9 MBytes  477357 Kbits/sec    0   6.52 MBytes       
[  4]  13.00-14.00  sec  57.0 MBytes  477879 Kbits/sec    0   6.50 MBytes       
[  4]  14.00-15.00  sec  57.0 MBytes  477910 Kbits/sec    0   6.50 MBytes       
[  4]  15.00-16.00  sec  57.0 MBytes  478374 Kbits/sec    0   6.50 MBytes       
[  4]  16.00-17.00  sec  57.0 MBytes  478375 Kbits/sec    0   6.50 MBytes       
[  4]  17.00-18.00  sec  57.0 MBytes  477846 Kbits/sec    0   6.50 MBytes       
[  4]  18.00-19.00  sec  57.1 MBytes  478903 Kbits/sec    0   6.50 MBytes       
