Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 51266 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  5.31 MBytes  44520 Kbits/sec   81    839 KBytes       
[  4]   1.00-2.00   sec  6.25 MBytes  52417 Kbits/sec  202   1.30 MBytes       
[  4]   2.00-3.00   sec  6.00 MBytes  50303 Kbits/sec   34   1.30 MBytes       
[  4]   3.00-4.00   sec  5.91 MBytes  49603 Kbits/sec   16   1.30 MBytes       
[  4]   4.00-5.00   sec  5.85 MBytes  49111 Kbits/sec   16   1.31 MBytes       
[  4]   5.00-6.00   sec  5.56 MBytes  46600 Kbits/sec   28    647 KBytes       
[  4]   6.00-7.00   sec  6.25 MBytes  52428 Kbits/sec   22   1.31 MBytes       
[  4]   7.00-8.00   sec  5.88 MBytes  49282 Kbits/sec   16   1.31 MBytes       
[  4]   8.00-9.00   sec  5.91 MBytes  49618 Kbits/sec   18   1.31 MBytes       
[  4]   9.00-10.00  sec  5.38 MBytes  45098 Kbits/sec   32    690 KBytes       
[  4]  10.00-11.00  sec  6.45 MBytes  54125 Kbits/sec   18   1.31 MBytes       
[  4]  11.00-12.00  sec  4.24 MBytes  35574 Kbits/sec    0   1.31 MBytes       
[  4]  12.00-13.00  sec  5.56 MBytes  46598 Kbits/sec   28    708 KBytes       
[  4]  13.00-14.00  sec  6.21 MBytes  52112 Kbits/sec   22   1.31 MBytes       
[  4]  14.00-15.00  sec  5.91 MBytes  49608 Kbits/sec   16   1.31 MBytes       
[  4]  15.00-16.00  sec  5.91 MBytes  49610 Kbits/sec   18   1.31 MBytes       
[  4]  16.00-17.00  sec  5.44 MBytes  45601 Kbits/sec   34    673 KBytes       
[  4]  17.00-18.00  sec  6.33 MBytes  53122 Kbits/sec   18   1.31 MBytes       
[  4]  18.00-19.00  sec  5.85 MBytes  49093 Kbits/sec   16   1.30 MBytes       
[  4]  19.00-20.00  sec  5.85 MBytes  49111 Kbits/sec   16   1.31 MBytes       
[  4]  20.00-21.00  sec  5.67 MBytes  47605 Kbits/sec   26    725 KBytes       
[  4]  21.00-22.00  sec  6.15 MBytes  51606 Kbits/sec   28   1.31 MBytes       
[  4]  22.00-23.00  sec  4.18 MBytes  35083 Kbits/sec    0   1.31 MBytes       
[  4]  23.00-24.00  sec  5.44 MBytes  45596 Kbits/sec   32    821 KBytes       
[  4]  24.00-25.00  sec  6.39 MBytes  53617 Kbits/sec   16   1.31 MBytes       
