Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 52318 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.31 MBytes  10947 Kbits/sec    0    210 KBytes       
[  4]   1.00-2.00   sec  6.28 MBytes  52731 Kbits/sec    0   3.82 MBytes       
[  4]   2.00-3.00   sec  14.4 MBytes  120673 Kbits/sec    0   8.79 MBytes       
[  4]   3.00-4.00   sec  14.9 MBytes  124599 Kbits/sec    0   8.79 MBytes       
[  4]   4.00-5.00   sec  14.1 MBytes  118149 Kbits/sec    0   8.79 MBytes       
[  4]   5.00-6.00   sec  14.1 MBytes  118138 Kbits/sec    0   8.79 MBytes       
[  4]   6.00-7.00   sec  14.4 MBytes  121105 Kbits/sec    0   8.79 MBytes       
[  4]   7.00-8.00   sec  14.8 MBytes  124115 Kbits/sec    0   8.79 MBytes       
[  4]   8.00-9.00   sec  14.0 MBytes  117643 Kbits/sec    0   8.79 MBytes       
[  4]   9.00-10.00  sec  14.3 MBytes  120142 Kbits/sec    0   8.79 MBytes       
[  4]  10.00-11.00  sec  14.0 MBytes  117671 Kbits/sec    0   8.79 MBytes       
[  4]  11.00-12.00  sec  14.5 MBytes  121640 Kbits/sec    0   8.79 MBytes       
[  4]  12.00-13.00  sec  14.7 MBytes  123077 Kbits/sec    0   8.79 MBytes       
[  4]  13.00-14.00  sec  14.1 MBytes  118143 Kbits/sec    0   8.79 MBytes       
[  4]  14.00-15.00  sec  14.4 MBytes  121104 Kbits/sec    0   8.79 MBytes       
[  4]  15.00-16.00  sec  14.6 MBytes  122647 Kbits/sec    0   8.79 MBytes       
[  4]  16.00-17.00  sec  14.0 MBytes  117143 Kbits/sec    0   8.79 MBytes       
[  4]  17.00-18.00  sec  14.9 MBytes  124556 Kbits/sec    0   8.79 MBytes       
[  4]  18.00-19.00  sec  14.4 MBytes  120662 Kbits/sec    0   8.79 MBytes       
[  4]  19.00-20.00  sec  14.2 MBytes  119146 Kbits/sec    0   8.79 MBytes       
[  4]  20.00-21.00  sec  14.1 MBytes  118634 Kbits/sec    0   8.79 MBytes       
[  4]  21.00-22.00  sec  14.5 MBytes  121610 Kbits/sec    0   8.79 MBytes       
[  4]  22.00-23.00  sec  14.9 MBytes  124577 Kbits/sec    0   8.79 MBytes       
[  4]  23.00-24.00  sec  14.4 MBytes  120652 Kbits/sec    0   8.79 MBytes       
[  4]  24.00-25.00  sec  14.9 MBytes  124611 Kbits/sec    0   8.79 MBytes       
[  4]  25.00-26.00  sec  14.4 MBytes  120639 Kbits/sec    0   8.79 MBytes       
[  4]  26.00-27.00  sec  14.2 MBytes  119153 Kbits/sec    0   8.79 MBytes       
[  4]  27.00-28.00  sec  9.20 MBytes  77168 Kbits/sec    0   8.79 MBytes       
[  4]  28.00-29.00  sec  13.9 MBytes  116637 Kbits/sec    0   8.79 MBytes       
[  4]  29.00-30.00  sec  13.9 MBytes  116636 Kbits/sec    0   8.79 MBytes       
[  4]  30.00-31.00  sec  14.3 MBytes  120174 Kbits/sec    0   8.79 MBytes       
[  4]  31.00-32.00  sec  14.0 MBytes  117639 Kbits/sec    0   8.79 MBytes       
[  4]  32.00-33.00  sec  14.5 MBytes  121597 Kbits/sec    0   8.79 MBytes       
[  4]  33.00-34.00  sec  14.1 MBytes  118118 Kbits/sec    0   8.79 MBytes       
[  4]  34.00-35.00  sec  14.4 MBytes  121136 Kbits/sec    0   8.79 MBytes       
[  4]  35.00-36.00  sec  14.9 MBytes  124575 Kbits/sec    0   8.79 MBytes       
[  4]  36.00-37.00  sec  14.4 MBytes  120612 Kbits/sec    0   8.79 MBytes       
[  4]  37.00-38.00  sec  14.9 MBytes  124584 Kbits/sec    0   8.79 MBytes       
[  4]  38.00-39.00  sec  14.4 MBytes  120647 Kbits/sec    0   8.79 MBytes       
[  4]  39.00-40.00  sec  14.9 MBytes  124615 Kbits/sec    0   8.79 MBytes       
[  4]  40.00-41.00  sec  14.4 MBytes  120652 Kbits/sec    0   8.79 MBytes       
[  4]  41.00-42.00  sec  14.4 MBytes  120644 Kbits/sec    0   8.79 MBytes       
[  4]  42.00-43.00  sec  14.0 MBytes  117640 Kbits/sec    0   8.79 MBytes       
[  4]  43.00-44.00  sec  14.1 MBytes  118640 Kbits/sec    0   8.79 MBytes       
[  4]  44.00-45.00  sec  9.91 MBytes  83116 Kbits/sec    0   8.79 MBytes       
[  4]  45.00-46.00  sec  14.4 MBytes  120641 Kbits/sec    0   8.79 MBytes       
[  4]  46.00-47.00  sec  14.9 MBytes  124578 Kbits/sec    0   8.79 MBytes       
[  4]  47.00-48.00  sec  14.4 MBytes  120648 Kbits/sec    0   8.79 MBytes       
[  4]  48.00-49.00  sec  14.7 MBytes  123180 Kbits/sec    0   8.79 MBytes       
[  4]  49.00-50.00  sec  14.0 MBytes  117142 Kbits/sec    0   8.79 MBytes       
[  4]  50.00-51.00  sec  14.1 MBytes  118139 Kbits/sec    0   8.79 MBytes       
[  4]  51.00-52.00  sec  14.1 MBytes  118603 Kbits/sec    0   8.79 MBytes       
[  4]  52.00-53.00  sec  14.4 MBytes  120644 Kbits/sec    0   8.79 MBytes       
[  4]  53.00-54.00  sec  14.1 MBytes  118106 Kbits/sec    0   8.79 MBytes       
[  4]  54.00-55.00  sec  14.4 MBytes  121135 Kbits/sec    0   8.79 MBytes       
[  4]  55.00-56.00  sec  14.1 MBytes  118107 Kbits/sec    0   8.79 MBytes       
[  4]  56.00-57.00  sec  14.5 MBytes  121644 Kbits/sec    0   8.79 MBytes       
[  4]  57.00-58.00  sec  14.9 MBytes  124576 Kbits/sec    0   8.79 MBytes       
[  4]  58.00-59.00  sec  14.4 MBytes  120681 Kbits/sec    0   8.79 MBytes       
[  4]  59.00-60.00  sec  14.9 MBytes  124582 Kbits/sec    0   8.79 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
