Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 40732 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  7.07 MBytes  59338 Kbits/sec    0   3.18 MBytes       
[  4]   1.00-2.00   sec  29.4 MBytes  246868 Kbits/sec    0   6.02 MBytes       
[  4]   2.00-3.00   sec  29.0 MBytes  242982 Kbits/sec    0   6.02 MBytes       
[  4]   3.00-4.00   sec  28.5 MBytes  238678 Kbits/sec    0   6.02 MBytes       
[  4]   4.00-5.00   sec  28.5 MBytes  239240 Kbits/sec    0   6.02 MBytes       
[  4]   5.00-6.00   sec  29.0 MBytes  242963 Kbits/sec    0   6.02 MBytes       
[  4]   6.00-7.00   sec  28.9 MBytes  242397 Kbits/sec    0   6.02 MBytes       
[  4]   7.00-8.00   sec  28.6 MBytes  240039 Kbits/sec    0   6.02 MBytes       
[  4]   8.00-9.00   sec  28.6 MBytes  240280 Kbits/sec    0   6.02 MBytes       
[  4]   9.00-10.00  sec  28.6 MBytes  239805 Kbits/sec    0   6.02 MBytes       
[  4]  10.00-11.00  sec  28.6 MBytes  240255 Kbits/sec    0   6.02 MBytes       
[  4]  11.00-12.00  sec  29.0 MBytes  242973 Kbits/sec    0   6.02 MBytes       
[  4]  12.00-13.00  sec  28.7 MBytes  240770 Kbits/sec    0   6.02 MBytes       
[  4]  13.00-14.00  sec  29.0 MBytes  242970 Kbits/sec    0   6.02 MBytes       
[  4]  14.00-15.00  sec  28.6 MBytes  240262 Kbits/sec    0   6.02 MBytes       
[  4]  15.00-16.00  sec  28.5 MBytes  239224 Kbits/sec    0   6.02 MBytes       
[  4]  16.00-17.00  sec  28.6 MBytes  239939 Kbits/sec    0   6.02 MBytes       
[  4]  17.00-18.00  sec  29.0 MBytes  242962 Kbits/sec    0   6.02 MBytes       
[  4]  18.00-19.00  sec  28.8 MBytes  241095 Kbits/sec    0   6.02 MBytes       
