Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 41578 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  7.30 MBytes  61211 Kbits/sec    0   3.43 MBytes       
[  4]   1.00-2.00   sec  28.9 MBytes  242690 Kbits/sec    0   8.87 MBytes       
[  4]   2.00-3.00   sec  28.7 MBytes  240544 Kbits/sec    0   8.87 MBytes       
[  4]   3.00-4.00   sec  28.9 MBytes  242709 Kbits/sec    0   8.87 MBytes       
[  4]   4.00-5.00   sec  28.9 MBytes  242690 Kbits/sec    0   8.87 MBytes       
[  4]   5.00-6.00   sec  28.7 MBytes  240536 Kbits/sec    0   8.87 MBytes       
[  4]   6.00-7.00   sec  28.9 MBytes  242707 Kbits/sec    0   8.87 MBytes       
[  4]   7.00-8.00   sec  29.4 MBytes  246834 Kbits/sec    0   8.87 MBytes       
[  4]   8.00-9.00   sec  28.9 MBytes  242173 Kbits/sec    0   8.87 MBytes       
[  4]   9.00-10.00  sec  28.7 MBytes  240551 Kbits/sec    0   8.87 MBytes       
[  4]  10.00-11.00  sec  26.5 MBytes  222102 Kbits/sec    0   5.66 KBytes       
[  4]  11.00-12.00  sec  20.7 MBytes  173430 Kbits/sec    0   8.87 MBytes       
[  4]  12.00-13.00  sec  29.4 MBytes  246871 Kbits/sec    0   8.87 MBytes       
[  4]  13.00-14.00  sec  29.4 MBytes  246852 Kbits/sec    0   8.87 MBytes       
[  4]  14.00-15.00  sec  29.1 MBytes  244230 Kbits/sec    0   8.87 MBytes       
[  4]  15.00-16.00  sec  28.6 MBytes  240025 Kbits/sec    0   8.87 MBytes       
[  4]  16.00-17.00  sec  28.6 MBytes  239492 Kbits/sec    0   8.87 MBytes       
[  4]  17.00-18.00  sec  28.7 MBytes  240592 Kbits/sec    0   8.87 MBytes       
[  4]  18.00-19.00  sec  28.7 MBytes  241121 Kbits/sec    0   8.87 MBytes       
[  4]  19.00-20.00  sec  28.9 MBytes  242720 Kbits/sec    0   8.87 MBytes       
[  4]  20.00-21.00  sec  28.9 MBytes  242678 Kbits/sec    0   8.87 MBytes       
[  4]  21.00-22.00  sec  18.1 MBytes  151929 Kbits/sec    0   8.87 MBytes       
[  4]  22.00-23.00  sec  29.4 MBytes  246837 Kbits/sec    0   8.87 MBytes       
[  4]  23.00-24.00  sec  29.4 MBytes  246848 Kbits/sec    0   8.87 MBytes       
[  4]  24.00-25.00  sec  29.4 MBytes  246338 Kbits/sec    0   8.87 MBytes       
[  4]  25.00-26.00  sec  28.6 MBytes  240036 Kbits/sec    0   8.87 MBytes       
[  4]  26.00-27.00  sec  28.6 MBytes  239553 Kbits/sec    0   8.87 MBytes       
[  4]  27.00-28.00  sec  28.6 MBytes  239541 Kbits/sec    0   8.87 MBytes       
[  4]  28.00-29.00  sec  28.9 MBytes  242710 Kbits/sec    0   8.87 MBytes       
[  4]  29.00-30.00  sec  29.2 MBytes  245258 Kbits/sec    0   8.87 MBytes       
[  4]  30.00-31.00  sec  28.7 MBytes  240583 Kbits/sec    0   8.87 MBytes       
[  4]  31.00-32.00  sec  28.9 MBytes  242706 Kbits/sec    0   8.87 MBytes       
[  4]  32.00-33.00  sec  18.2 MBytes  152460 Kbits/sec    0   8.87 MBytes       
[  4]  33.00-34.00  sec  29.4 MBytes  246844 Kbits/sec    0   8.87 MBytes       
[  4]  34.00-35.00  sec  29.4 MBytes  246832 Kbits/sec    0   8.87 MBytes       
[  4]  35.00-36.00  sec  28.9 MBytes  242707 Kbits/sec    0   8.87 MBytes       
[  4]  36.00-37.00  sec  28.5 MBytes  238928 Kbits/sec    0   8.87 MBytes       
[  4]  37.00-38.00  sec  28.6 MBytes  239478 Kbits/sec    0   8.87 MBytes       
[  4]  38.00-39.00  sec  28.9 MBytes  242714 Kbits/sec    0   8.87 MBytes       
[  4]  39.00-40.00  sec  29.2 MBytes  245281 Kbits/sec    0   8.87 MBytes       
[  4]  40.00-41.00  sec  28.7 MBytes  240547 Kbits/sec    0   8.87 MBytes       
[  4]  41.00-42.00  sec  28.9 MBytes  242712 Kbits/sec    0   8.87 MBytes       
[  4]  42.00-43.00  sec  29.4 MBytes  246816 Kbits/sec    0   8.87 MBytes       
[  4]  43.00-44.00  sec  29.1 MBytes  243748 Kbits/sec    0   8.87 MBytes       
[  4]  44.00-45.00  sec  28.7 MBytes  240545 Kbits/sec    0   8.87 MBytes       
[  4]  45.00-46.00  sec  28.9 MBytes  242715 Kbits/sec    0   8.87 MBytes       
[  4]  46.00-47.00  sec  28.8 MBytes  241167 Kbits/sec    0   8.87 MBytes       
[  4]  47.00-48.00  sec  28.9 MBytes  242679 Kbits/sec    0   8.87 MBytes       
[  4]  48.00-49.00  sec  28.7 MBytes  240537 Kbits/sec    0   8.87 MBytes       
[  4]  49.00-50.00  sec  28.9 MBytes  242716 Kbits/sec    0   8.87 MBytes       
[  4]  50.00-51.00  sec  29.2 MBytes  244753 Kbits/sec    0   8.87 MBytes       
[  4]  51.00-52.00  sec  28.7 MBytes  240544 Kbits/sec    0   8.87 MBytes       
[  4]  52.00-53.00  sec  28.9 MBytes  242717 Kbits/sec    0   8.87 MBytes       
[  4]  53.00-54.00  sec  29.4 MBytes  246828 Kbits/sec    0   8.87 MBytes       
[  4]  54.00-55.00  sec  28.8 MBytes  241145 Kbits/sec    0   8.87 MBytes       
[  4]  55.00-56.00  sec  28.7 MBytes  240589 Kbits/sec    0   8.87 MBytes       
[  4]  56.00-57.00  sec  28.9 MBytes  242715 Kbits/sec    0   8.87 MBytes       
[  4]  57.00-58.00  sec  28.8 MBytes  241190 Kbits/sec    0   8.87 MBytes       
