Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 41128 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  7.30 MBytes  61213 Kbits/sec    0   3.44 MBytes       
[  4]   1.00-2.00   sec  28.9 MBytes  242696 Kbits/sec    0   8.87 MBytes       
[  4]   2.00-3.00   sec  28.7 MBytes  240527 Kbits/sec    0   8.87 MBytes       
[  4]   3.00-4.00   sec  28.9 MBytes  242721 Kbits/sec    0   8.87 MBytes       
[  4]   4.00-5.00   sec  28.9 MBytes  242683 Kbits/sec    0   8.87 MBytes       
[  4]   5.00-6.00   sec  28.7 MBytes  240525 Kbits/sec    0   8.87 MBytes       
[  4]   6.00-7.00   sec  28.9 MBytes  242721 Kbits/sec    0   8.87 MBytes       
[  4]   7.00-8.00   sec  29.4 MBytes  246822 Kbits/sec    0   8.87 MBytes       
[  4]   8.00-9.00   sec  28.9 MBytes  242699 Kbits/sec    0   8.87 MBytes       
[  4]   9.00-10.00  sec  28.7 MBytes  240538 Kbits/sec    0   8.87 MBytes       
[  4]  10.00-11.00  sec  28.9 MBytes  242715 Kbits/sec    0   8.87 MBytes       
[  4]  11.00-12.00  sec  29.0 MBytes  243203 Kbits/sec    0   8.87 MBytes       
[  4]  12.00-13.00  sec  28.7 MBytes  240534 Kbits/sec    0   8.87 MBytes       
[  4]  13.00-14.00  sec  28.9 MBytes  242716 Kbits/sec    0   8.87 MBytes       
[  4]  14.00-15.00  sec  29.2 MBytes  245278 Kbits/sec    0   8.87 MBytes       
[  4]  15.00-16.00  sec  28.7 MBytes  240542 Kbits/sec    0   8.87 MBytes       
[  4]  16.00-17.00  sec  18.9 MBytes  158816 Kbits/sec    0   8.87 MBytes       
[  4]  17.00-18.00  sec  29.4 MBytes  246831 Kbits/sec    0   8.87 MBytes       
[  4]  18.00-19.00  sec  28.7 MBytes  240558 Kbits/sec    0   8.87 MBytes       
[  4]  19.00-20.00  sec  28.5 MBytes  238996 Kbits/sec    0   8.87 MBytes       
[  4]  20.00-21.00  sec  28.7 MBytes  240568 Kbits/sec    0   8.87 MBytes       
[  4]  21.00-22.00  sec  28.7 MBytes  240583 Kbits/sec    0   8.87 MBytes       
[  4]  22.00-23.00  sec  28.9 MBytes  242739 Kbits/sec    0   8.87 MBytes       
[  4]  23.00-24.00  sec  28.7 MBytes  240529 Kbits/sec    0   8.87 MBytes       
[  4]  24.00-25.00  sec  28.9 MBytes  242722 Kbits/sec    0   8.87 MBytes       
[  4]  25.00-26.00  sec  29.4 MBytes  246826 Kbits/sec    0   8.87 MBytes       
[  4]  26.00-27.00  sec  29.4 MBytes  246835 Kbits/sec    0   8.87 MBytes       
[  4]  27.00-28.00  sec  21.0 MBytes  176567 Kbits/sec    0   8.87 MBytes       
[  4]  28.00-29.00  sec  28.2 MBytes  236381 Kbits/sec    0   8.87 MBytes       
[  4]  29.00-30.00  sec  28.6 MBytes  239517 Kbits/sec    0   8.87 MBytes       
[  4]  30.00-31.00  sec  28.9 MBytes  242700 Kbits/sec    0   8.87 MBytes       
[  4]  31.00-32.00  sec  29.4 MBytes  246824 Kbits/sec    0   8.87 MBytes       
[  4]  32.00-33.00  sec  29.4 MBytes  246841 Kbits/sec    0   8.87 MBytes       
[  4]  33.00-34.00  sec  29.4 MBytes  246850 Kbits/sec    0   8.87 MBytes       
[  4]  34.00-35.00  sec  28.8 MBytes  241150 Kbits/sec    0   8.87 MBytes       
[  4]  35.00-36.00  sec  28.6 MBytes  240056 Kbits/sec    0   8.87 MBytes       
[  4]  36.00-37.00  sec  28.6 MBytes  240060 Kbits/sec    0   8.87 MBytes       
[  4]  37.00-38.00  sec  28.6 MBytes  240055 Kbits/sec    0   8.87 MBytes       
[  4]  38.00-39.00  sec  28.7 MBytes  240587 Kbits/sec    0   8.87 MBytes       
[  4]  39.00-40.00  sec  28.9 MBytes  242714 Kbits/sec    0   8.87 MBytes       
[  4]  40.00-41.00  sec  29.2 MBytes  245276 Kbits/sec    0   8.87 MBytes       
[  4]  41.00-42.00  sec  28.7 MBytes  240545 Kbits/sec    0   8.87 MBytes       
[  4]  42.00-43.00  sec  28.9 MBytes  242723 Kbits/sec    0   8.87 MBytes       
[  4]  43.00-44.00  sec  29.4 MBytes  246823 Kbits/sec    0   8.87 MBytes       
[  4]  44.00-45.00  sec  29.0 MBytes  243219 Kbits/sec    0   8.87 MBytes       
[  4]  45.00-46.00  sec  28.7 MBytes  240566 Kbits/sec    0   8.87 MBytes       
[  4]  46.00-47.00  sec  28.9 MBytes  242693 Kbits/sec    0   8.87 MBytes       
[  4]  47.00-48.00  sec  28.7 MBytes  240533 Kbits/sec    0   8.87 MBytes       
[  4]  48.00-49.00  sec  28.7 MBytes  240586 Kbits/sec    0   8.87 MBytes       
[  4]  49.00-50.00  sec  28.9 MBytes  242707 Kbits/sec    0   8.87 MBytes       
[  4]  50.00-51.00  sec  29.4 MBytes  246832 Kbits/sec    0   8.87 MBytes       
